Aspendale,117C Nepean Hwy,townhouse,3,1710000.0,2015,10,10,passed in at auction,hockingstuart,
Aspendale,36 Laura St,house,4,812000.0,2015,10,9,sold before auction,Ray White Mordialloc,
Aspendale,38 Albany Cr,house,4,980000.0,2015,10,7,sold before auction,Buxton,http://www.realestateview.com.au/Real-Estate/38-albany-crescent-aspendale/Property-Details-sold-residential-9483112.html
Aspendale Gardens,22 Llewellyn Av,house,3,715000.0,2015,10,10,auction sale,iSell,
Aspendale Gardens,1 Spicer Ct,house,4,791000.0,2015,10,10,auction sale,Buxton,
Avondale Heights,29 Barbara Cr,house,3,630000.0,2015,10,10,auction sale,Moonee Valley RE,
Avondale Heights,10 Herbert St,house,3,702000.0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,40 Skewes St,house,3,518000.0,2015,10,10,auction sale,Harcourts Vision,
Avondale Heights,Weyburn Pl,land,0,290000.0,2015,10,2,private sale,Barry Plant,
Avondale Heights,120 Canning St,house,4,0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,3 Hillman Ct,house,4,0,2015,10,10,auction sale,Nelson Alexander,
Avondale Heights,24 Sovereign Way,house,4,0,2015,10,10,auction sale,Brad Teal,
Bairnsdale,37 Day St,house,4,0,2015,10,10,passed in at auction,Bill Wyndham & Co Bairnsdale,
Balaclava,4/ 38 The Avenue,apartment,2,550000.0,2015,9,23,sold before auction,Hodges,
Ballarat Central,Dana St,house,0,340000.0,2015,9,22,private sale,Harcourts Ballarat,http://www.realestateview.com.au/Real-Estate/702a-dana-street-ballarat-central/Property-Details-sold-residential-9459078.html
Ballarat East,Fussell St,unit,2,309000.0,2015,10,5,private sale,PRD Nationwide,
Ballarat East,Ebden St,house,3,371000.0,2015,10,2,private sale,Ballarat Real Estate Pty Ltd,
Ballarat East,Wesley Ct,house,4,320000.0,2015,9,29,private sale,Wilson Estate Agents,
Ballarat East,York St,house,2,230000.0,2015,9,11,private sale,Ray White Ballarat,http://www.realestateview.com.au/Real-Estate/309-york-street-ballarat-east/Property-Details-sold-residential-9278856.html
Ballarat North,Mathoura Pl,house,2,275000.0,2015,10,4,private sale,PRD Nationwide,http://www.realestateview.com.au/Real-Estate/30-mathoura-place-ballarat-north/Property-Details-sold-residential-9267834.html
Balnarring,Warrawee Rd,house,2,480000.0,2015,9,2,private sale,Harcourts Hastings,
Balwyn,2 Bennett St,house,3,2910000.0,2015,10,10,auction sale,hockingstuart,
Balwyn,44 Birdwood St,house,2,1810000.0,2015,10,10,auction sale,Fletchers,
Balwyn,3/ 3 Birtles St,apartment,2,478800.0,2015,10,10,auction sale,Nelson Alexander,
Balwyn,2/ 4A Collins Ct,townhouse,4,1300000.0,2015,10,10,passed in at auction,Jellis Craig,
Balwyn,4 Kalgurli Ct,house,4,1650000.0,2015,10,10,passed in at auction,hockingstuart,
Balwyn,5/ 352-354 Whitehorse Rd,townhouse,3,1270000.0,2015,10,10,auction sale,Jellis Craig,
Balwyn,125B Winmalee Rd,house,3,1650000.0,2015,10,10,passed in vendor bid,Jellis Craig,
Balwyn,4/ 34 -36 Yerrin St,unit,2,650100.0,2015,10,10,auction sale,Noel Jones,
Balwyn,3 Evergreen Av,house,3,1565000.0,2015,10,8,sold before auction,hockingstuart,http://www.realestateview.com.au/Real-Estate/3-evergreen-avenue-balwyn/Property-Details-sold-residential-9504638.html
Balwyn,Ug13/ 201 Whitehorse Rd,apartment,1,575000.0,2015,10,5,sold before auction,Jellis Craig,http://www.realestateview.com.au/Real-Estate/ug13-201-whitehorse-road-balwyn/Property-Details-sold-residential-8342210.html
Balwyn,2/ 26 Grey St,house,3,0,2015,10,10,auction sale,Marshall White & Co,
Balwyn,Head St,house,4,0,2015,9,22,private sale,Jellis Craig,http://www.realestateview.com.au/Real-Estate/15-head-street-balwyn/Property-Details-sold-residential-9391886.html
Balwyn North,2/ 38 Aylmer St,unit,3,1355000.0,2015,10,10,auction sale,Noel Jones,
Balwyn North,371 Belmore Rd,house,5,3200000.0,2015,10,10,auction sale,Noel Jones,
Balwyn North,58 Bulleen Rd,house,2,1371000.0,2015,10,10,auction sale,Fletchers,
Balwyn North,17 Columba St,house,3,1100000.0,2015,10,10,passed in at auction,Jellis Craig,
Balwyn North,69 Greythorn Rd,house,4,1600000.0,2015,10,10,passed in at auction,Marshall White & Co,
Balwyn North,73 Mountain View Rd,house,4,2800000.0,2015,10,10,passed in at auction,Jellis Craig,
Balwyn North,4A Nicholson St,house,3,1350000.0,2015,10,10,auction sale,Jellis Craig,
Balwyn North,38 Hood St,house,5,3020000.0,2015,10,5,sold before auction,Fletchers,http://www.realestateview.com.au/Real-Estate/38-hood-street-balwyn-north/Property-Details-sold-residential-9494228.html
Balwyn North,78 Almond St,house,4,0,2015,10,10,auction sale,Fletchers,
Balwyn North,1 Almond St,house,3,0,2015,10,10,auction sale,Biggin & Scott Manningham,
Balwyn North,21 Hood St,house,5,0,2015,10,10,auction sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/21-hood-street-balwyn-north/Property-Details-sold-residential-8294028.html
Balwyn North,2/ 59 Sweyn St,townhouse,3,0,2015,10,10,passed in vendor bid,Ray White Glen Waverley,
Balwyn North,Kenny St,townhouse,4,0,2015,10,3,private sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/3-35-kenny-street-balwyn-north/Property-Details-sold-residential-9413250.html
Balwyn North,Sweyn St,house,3,0,2015,9,23,private sale,Jellis Craig,http://www.realestateview.com.au/Real-Estate/1-66-sweyn-street-balwyn-north/Property-Details-sold-residential-9388538.html
Bayswater,Ozone Rd,unit,2,450000.0,2015,9,28,private sale,Barry Plant,http://www.realestateview.com.au/Real-Estate/1-3-ozone-road-bayswater/Property-Details-sold-residential-9479666.html
Bayswater North,Wendover Av,townhouse,3,701000.0,2015,10,1,private sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/4a-wendover-avenue-bayswater-north/Property-Details-sold-residential-9534396.html
Bayswater North,Central Av,house,2,310000.0,2015,9,30,private sale,Philip Webb,
Bayswater North,Grant Dr,house,4,685000.0,2015,9,29,private sale,Ray White Croydon,http://www.realestateview.com.au/Real-Estate/21-grant-drive-bayswater-north/Property-Details-sold-residential-9475640.html
Beaumaris,452 Balcombe Rd,house,3,1146000.0,2015,10,10,auction sale,Hodges,
Beaumaris,68 Tramway Pde,house,3,1485000.0,2015,10,10,passed in at auction,Hodges,
Beaumaris,Balcombe Park La,house,5,0,2015,9,21,private sale,Greg Hocking Poulios,http://www.realestateview.com.au/Real-Estate/21-balcombe-park-lane-beaumaris/Property-Details-sold-residential-9317424.html
Bell Post Hill,1-4/ 36 Rollins Rd,unit,1,481000.0,2015,10,10,passed in at auction,P Di Natale Werribee,
Bellfield,9 & 10 Willow Ct,house,5,1002000.0,2015,10,10,auction sale,hockingstuart,
Belmont,Kinnon Av,land,0,133000.0,2015,9,22,private sale,Buxton,
Bendigo,168 High St,townhouse,2,570000.0,2015,10,10,passed in vendor bid,PH Property,
Bendigo,92 Short St,house,2,400000.0,2015,10,10,passed in vendor bid,Tweed Sutherland First National,
Bentleigh,9/ 3 Anderson St,unit,2,605000.0,2015,10,10,auction sale,Buxton,
Bentleigh,11B Paschal St,townhouse,4,1200000.0,2015,10,10,passed in at auction,Buxton,
Bentleigh,5/ 121 Tucker Rd,apartment,2,335000.0,2015,10,10,auction sale,hockingstuart,
Bentleigh,2/ 175 Tucker Rd,unit,3,750000.0,2015,10,10,passed in vendor bid,Buxton,
Bentleigh,Brentwood St,apartment,2,370000.0,2015,10,7,private sale,Century 21 On Centre,
Bentleigh,Brentwood St,apartment,2,340000.0,2015,10,1,private sale,Century 21 On Centre,http://www.realestateview.com.au/Real-Estate/6-9-brentwood-street-bentleigh/Property-Details-sold-residential-9447450.html
Bentleigh,Mortimore St,house,4,1315000.0,2015,9,30,private sale,hockingstuart,
Bentleigh,Bent St,apartment,2,569000.0,2015,9,28,private sale,hockingstuart,
Bentleigh,Bent St,house,2,644000.0,2015,9,28,private sale,hockingstuart,
Bentleigh,Jeffrey St,house,3,1115000.0,2015,9,21,private sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/17-jeffrey-street-bentleigh/Property-Details-sold-residential-8694096.html
Bentleigh,7 Burgess St,house,3,0,2015,10,10,auction sale,hockingstuart,
Bentleigh,20 Gilmour Rd,townhouse,3,0,2015,10,10,passed in vendor bid,Empire Property Investors,
Bentleigh,1/ 120 Patterson Rd,unit,2,0,2015,10,10,passed in vendor bid,Obrien RE Mentone,
Bentleigh,12 Jeffrey St,townhouse,4,0,2015,10,8,auction sale,Buxton,http://www.realestateview.com.au/Real-Estate/12-jeffrey-street-bentleigh/Property-Details-sold-residential-9526518.html
Bentleigh East,2/ 62 Brooks St,townhouse,3,750000.0,2015,10,10,passed in at auction,Buxton,
Bentleigh East,49 Brooks St,house,5,1362000.0,2015,10,10,auction sale,hockingstuart,
Bentleigh East,1/ 31 George St,unit,3,1115000.0,2015,10,10,auction sale,hockingstuart,
Bentleigh East,10A Gowrie St,townhouse,4,1120000.0,2015,10,10,auction sale,Woodards,
Bentleigh East,2/ 38 Kennedy St,townhouse,3,910000.0,2015,10,10,auction sale,Buxton,
Bentleigh East,3 Mawby Rd,house,3,1105000.0,2015,10,10,auction sale,hockingstuart,
Bentleigh East,58 Purtell St,house,4,1350000.0,2015,10,10,auction sale,Buxton,
Bentleigh East,8B Sassella St,townhouse,3,1082000.0,2015,10,10,auction sale,Buxton,
Bentleigh East,17 Stratford Av,house,3,1010000.0,2015,10,10,auction sale,Woodards,
Bentleigh East,27A Tambet St,townhouse,3,1017000.0,2015,10,10,auction sale,Gary Peer & Associates,
Bentleigh East,53A Waratah St,townhouse,3,930000.0,2015,10,10,passed in at auction,hockingstuart,
Bentleigh East,South Rd,townhouse,3,770000.0,2015,9,25,private sale,hockingstuart,http://www.realestateview.com.au/Real-Estate/1-737-south-road-bentleigh-east/Property-Details-sold-residential-9439282.html
Bentleigh East,8 Namron St,house,2,0,2015,10,9,sold before auction,hockingstuart,http://www.realestateview.com.au/Real-Estate/8-namron-street-bentleigh-east/Property-Details-sold-residential-9523334.html
