Abbotsford,Flockhart St,apartment,2,515000.0,2016,3,21,private sale,hockingstuart,http://www.realestateview.com.au/real-estate/202-5-flockhart-street-abbotsford/property-details-sold-residential-9964225
Abbotsford,123/ 56 Nicholson St,apartment,2,0,2016,4,9,passed in at auction,Biggin & Scott,
Abbotsford,69 Studley St,house,2,0,2016,4,9,auction sale,Jellis Craig,http://www.realestateview.com.au/real-estate/69-studley-street-abbotsford/property-details-sold-residential-10066161
Aberfeldie,3 St Kinnord St,house,4,2750000.0,2016,4,9,auction sale,Rendina,
Airport West,28 Etzel St,house,3,550000.0,2016,4,9,passed in at auction,Barry Plant,
Airport West,Elstone Av,house,3,620000.0,2016,4,8,private sale,Barry Plant,http://www.realestateview.com.au/real-estate/45a-elstone-avenue-airport-west/property-details-sold-residential-9936867
Airport West,2/ 10 Clydesdale Rd,villa,2,496000.0,2016,4,6,sold before auction,Harcourts Vision,
Airport West,Parer Rd,house,3,590000.0,2016,4,5,private sale,Barry Plant,http://www.realestateview.com.au/real-estate/214-parer-road-airport-west/property-details-sold-residential-10037788
Albanvale,Sherwood Cl,house,3,363000.0,2016,4,1,private sale,Barry Plant,http://www.realestateview.com.au/real-estate/2-sherwood-close-albanvale/property-details-sold-residential-9869978
Albanvale,Trenton Pl,house,3,385000.0,2016,3,30,private sale,Barry Plant,http://www.realestateview.com.au/real-estate/5-trenton-close-albanvale/property-details-sold-residential-10046764
Albert Park,64 Barrett St,house,3,2400000.0,2016,4,9,passed in at auction,Greg Hocking Holdsworth,
Albert Park,14/ 123 Beaconsfield Pde,apartment,2,1565000.0,2016,4,9,auction sale,Marshall White & Co,http://www.realestateview.com.au/real-estate/14-123-beaconsfield-parade-albert-park/property-details-sold-residential-10061756
Albert Park,3/ 36 Philipson St,apartment,2,688500.0,2016,4,9,auction sale,hockingstuart,http://www.realestateview.com.au/real-estate/3-36-philipson-street-albert-park/property-details-sold-residential-10047651
Albert Park,28 Philipson St,house,4,1880000.0,2016,4,9,auction sale,Greg Hocking Holdsworth,
Alfredton,Capital St,land,0,329500.0,2016,3,16,private sale,Ray White Ballarat,http://www.realestateview.com.au/real-estate/17-capital-street-alfredton/property-details-sold-residential-9906165
Alfredton,Arch Dr,land,0,0,2016,3,31,private sale,hockingstuart,
Alfredton,Arch Dr,land,0,0,2016,3,31,private sale,hockingstuart,
Alfredton,Distinction Dr,land,0,0,2016,3,31,private sale,hockingstuart,
Alfredton,Sturt St,land,0,0,2016,3,31,private sale,hockingstuart,
Alfredton,Sturt St,land,0,0,2016,3,31,private sale,hockingstuart,
Alphington,34 Bennett St,house,2,1630000.0,2016,4,9,auction sale,Jellis Craig,http://www.realestateview.com.au/real-estate/34-bennett-street-alphington/property-details-sold-residential-10067004
Alphington,13 Parklands Av,house,3,1250000.0,2016,4,9,auction sale,Nelson Alexander,http://www.realestateview.com.au/real-estate/13-parklands-avenue-alphington/property-details-sold-residential-10070012
Alphington,Grange Rd,apartment,1,250000.0,2016,3,30,private sale,Miles RE,http://www.realestateview.com.au/real-estate/3-150-grange-road-alphington/property-details-sold-residential-10008302
Altona,22 Brook Dr,house,3,630000.0,2016,4,9,auction sale,Barlow McEwan Tribe,
Altona,3/ 22 David St,unit,3,680000.0,2016,4,9,auction sale,hockingstuart,http://www.realestateview.com.au/real-estate/3-22-david-street-altona/property-details-sold-residential-10054580
Altona,Karingal St,house,3,723500.0,2016,3,31,private sale,hockingstuart,http://www.realestateview.com.au/real-estate/4-karingal-street-altona/property-details-sold-residential-9910805
Altona,3/ 133 Grieve Pde,unit,2,0,2016,4,9,passed in at auction,Sweeney,
Altona Meadows,20 Nicholson St,house,3,450000.0,2016,4,9,auction sale,Greg Hocking Elly Partners,
Altona North,34 Binns St,house,5,640000.0,2016,4,9,auction sale,hockingstuart,http://www.realestateview.com.au/real-estate/34-binns-street-altona-north/property-details-sold-residential-10074814
Altona North,9 Marigold Av,house,3,900000.0,2016,4,9,passed in vendor bid,Greg Hocking Elly Partners,
Altona North,6 Clematis Av,house,3,758500.0,2016,3,31,sold before auction,hockingstuart,http://www.realestateview.com.au/real-estate/6-clematis-avenue-altona-north/property-details-sold-residential-10074775
Ararat,12 Eucalypt Ct,house,3,290000.0,2016,3,10,sold before auction,Landmark Harcourts Ararat,
Ardeer,38 Holt St,house,3,601000.0,2016,4,9,passed in at auction,Douglas Kay Sunshine,
Armadale,4/ 515 Dandenong Rd,apartment,3,890000.0,2016,4,9,auction sale,Jellis Craig,http://www.realestateview.com.au/real-estate/4-515-dandenong-road-armadale/property-details-sold-residential-10053413
Armadale,1/ 26 Gladstone Av,apartment,2,400000.0,2016,4,9,passed in at auction,hockingstuart,http://www.realestateview.com.au/real-estate/1-26-gladstone-avenue-armadale/property-details-sold-residential-10060313
Armadale,5/ 48 Sutherland Rd,apartment,1,0,2016,4,9,auction sale,hockingstuart,http://www.realestateview.com.au/real-estate/5-48-sutherland-road-armadale/property-details-sold-residential-10060638
Armadale,Dandenong Rd,apartment,1,0,2016,4,1,private sale,hockingstuart,http://www.realestateview.com.au/real-estate/5-405-dandenong-road-armadale/property-details-sold-residential-9999313
Armstrong Creek,Saltbreeze Blvd,house,4,535000.0,2016,3,8,private sale,Buxton,http://www.realestateview.com.au/real-estate/29-saltbreeze-boulevard-armstrong-creek/property-details-sold-residential-9950895
Ascot Vale,91 Charles St,house,3,1060000.0,2016,4,9,auction sale,Brad Teal,http://www.realestateview.com.au/real-estate/91-charles-street-ascot-vale/property-details-sold-residential-10053817
Ascot Vale,29 Elliott St,house,4,1300000.0,2016,4,9,passed in vendor bid,Brad Teal,
Ascot Vale,80 Francis St,house,3,1141000.0,2016,4,9,auction sale,Barry Plant,http://www.realestateview.com.au/real-estate/80-francis-street-ascot-vale/property-details-sold-residential-10033834
Ascot Vale,1 Victory Pde,house,2,800000.0,2016,4,9,auction sale,Rendina,http://www.realestateview.com.au/real-estate/1-victory-parade-ascot-vale/property-details-sold-residential-10068063
Ascot Vale,26 Myross Av,house,4,1900000.0,2016,4,8,sold before auction,Brad Teal,http://www.realestateview.com.au/real-estate/26-myross-avenue-ascot-vale/property-details-sold-residential-10060595
Ascot Vale,15 Haven Cr,house,3,826000.0,2016,4,7,sold before auction,Nelson Alexander,http://www.realestateview.com.au/real-estate/15-haven-crescent-ascot-vale/property-details-sold-residential-10052862
Ascot Vale,Charles St,townhouse,2,730000.0,2016,4,4,private sale,Nelson Alexander,http://www.realestateview.com.au/real-estate/1d-charles-street-ascot-vale/property-details-sold-residential-10088597
Ascot Vale,Munro St,house,3,0,2016,4,6,private sale,Brad Teal,http://www.realestateview.com.au/real-estate/82-munro-street-ascot-vale/property-details-sold-residential-10004571
Ashwood,1/ 18 Eildon Rd,townhouse,5,0,2016,4,9,passed in at auction,Buxton,
Aspendale,4/ 203 Nepean Hwy,townhouse,3,687500.0,2016,4,9,auction sale,Eview Group Chelsea,http://www.realestateview.com.au/real-estate/4-203-nepean-highway-aspendale/property-details-sold-residential-10083894
Aspendale,1/ 203 Nepean Hwy,townhouse,3,639000.0,2016,4,9,auction sale,Eview Group Chelsea,http://www.realestateview.com.au/real-estate/1-203-nepean-highway-aspendale/property-details-sold-residential-10061368
Aspendale Gardens,31 Bianca Dr,house,4,720000.0,2016,4,9,passed in at auction,Ray White Mordialloc,
Avondale Heights,11 Carmyle Ct,house,5,938000.0,2016,4,9,auction sale,Nelson Alexander,http://www.realestateview.com.au/real-estate/11-carmyle-court-avondale-heights/property-details-sold-residential-10054825
Avondale Heights,111 North Rd,house,3,655000.0,2016,4,9,auction sale,Nelson Alexander,http://www.realestateview.com.au/real-estate/111-north-road-avondale-heights/property-details-sold-residential-10066983
Avondale Heights,27 Skewes St,house,3,810000.0,2016,4,9,auction sale,Brad Teal,http://www.realestateview.com.au/real-estate/27-skewes-street-avondale-heights/property-details-sold-residential-10067590
Avonsleigh,5 Avon Rd,house,4,905000.0,2016,4,9,auction sale,Stockdale & Leggo Emerald,
Bairnsdale,4 Morgan St,house,3,150000.0,2016,4,9,passed in at auction,Bill Wyndham & Co Bairnsdale,
Balaclava,11 Nelson St,house,2,0,2016,4,9,auction sale,Marshall White & Co,http://www.realestateview.com.au/real-estate/11-nelson-street-balaclava/property-details-sold-residential-10071131
Ballarat Central,18A Talbot St.N,house,2,340000.0,2016,4,9,passed in vendor bid,PRD Nationwide,
Ballarat Central,Skipton St,house,3,214400.0,2016,4,4,private sale,Ballarat Real Estate Pty Ltd,http://www.realestateview.com.au/real-estate/105-skipton-street-ballarat-central/property-details-sold-residential-7865066
Ballarat Central,South St,house,3,473000.0,2016,4,2,private sale,Ballarat Real Estate Pty Ltd,http://www.realestateview.com.au/real-estate/506-south-street-ballarat-central/property-details-sold-residential-9771249
