Abbotsford,7Lg/ 4 Acacia Pl,apartment,2,750000.0,2015,9,12,passed in vendor bid,Dingle Partners,
Abbotsford,24 Lulie St,house,3,875000.0,2015,9,12,passed in at auction,hockingstuart,
Abbotsford,34/ 80 Trenerry Cr,townhouse,2,650000.0,2015,9,12,passed in vendor bid,Nelson Alexander,
Abbotsford,Victoria St,apartment,2,790000.0,2015,9,7,private sale,Biggin & Scott,http://www.realestateview.com.au/Real-Estate/411a-609-victoria-street-abbotsford/Property-Details-sold-residential-8943052.html
Aberfeldie,20 Afton St,house,3,1032000.0,2015,9,12,auction sale,Nelson Alexander,http://www.realestateview.com.au/Real-Estate/20-afton-street-aberfeldie/Property-Details-sold-residential-9342216.html
Aberfeldie,10 Caroline St,townhouse,5,1350000.0,2015,9,12,passed in vendor bid,Nelson Alexander,
Aberfeldie,3/ 21 Ramsay St,unit,2,510000.0,2015,9,12,passed in at auction,Brad Teal,http://www.realestateview.com.au/Real-Estate/3-21-ramsay-street-aberfeldie/Property-Details-sold-residential-9341606.html
Airport West,1/ 6 Green St,townhouse,2,450000.0,2015,9,12,passed in at auction,Nelson Alexander,
Airport West,24 Harrington Rd,house,3,550000.0,2015,9,12,passed in at auction,Brad Teal,http://www.realestateview.com.au/Real-Estate/24-harrington-road-airport-west/Property-Details-sold-residential-9341604.html
Airport West,33A Mcnamara Av,unit,3,700000.0,2015,9,12,auction sale,Barry Plant,http://www.realestateview.com.au/Real-Estate/33a-mcnamara-avenue-airport-west/Property-Details-sold-residential-9343150.html
Airport West,1/ 20 Moorna Dr,townhouse,2,500000.0,2015,9,12,auction sale,Nelson Alexander,http://www.realestateview.com.au/Real-Estate/1-20-moorna-drive-airport-west/Property-Details-sold-residential-9338316.html
Albanvale,Mccann Dr,house,3,410000.0,2015,9,8,private sale,Ray White St Albans,
Albert Park,135 Danks St,house,3,1505000.0,2015,9,12,auction sale,Cayzer,http://www.realestateview.com.au/Real-Estate/135-danks-street-albert-park/Property-Details-sold-residential-9353226.html
Albert Park,62 Page St,house,2,0,2015,9,12,auction sale,Greg Hocking Holdsworth,
Albert Park,101 Richardson St,house,3,0,2015,9,12,auction sale,Greg Hocking Holdsworth,
Albert Park,Boyd St,house,4,0,2015,8,31,private sale,Marshall White & Co,
