Alfredton,3 Harold Ct,house,4,455000.0,2017,4,10,private sale,Buxton,https://www.realestateview.com.au/real-estate/3-harold-court-alfredton-vic/property-details-sold-residential-10780771/
Alfredton,110 Cuthberts Rd,house,3,348000.0,2017,3,17,private sale,Ray White Ballarat,https://www.realestateview.com.au/real-estate/110-cuthberts-road-alfredton-vic/property-details-sold-residential-10763684/
Ballarat Central,313 Talbot St.S,house,3,310000.0,2017,4,4,private sale,Trevor Petrie RE,
Balwyn North,22 Reading Av,house,4,2000000.0,2017,4,15,passed in at auction,Fletchers,https://www.realestateview.com.au/real-estate/22-reading-avenue-balwyn-north-vic/property-details-buy-residential-10929843/
Balwyn North,22 Reading Av,house,4,0,2017,4,15,auction sale,Fletchers,https://www.realestateview.com.au/real-estate/22-reading-avenue-balwyn-north-vic/property-details-buy-residential-10929843/
Barwon Heads,20 Taits Rd,land,0,775000.0,2017,3,9,sold before auction,Bellarine Property,https://www.realestateview.com.au/real-estate/20-taits-road-barwon-heads-vic/property-details-sold-residential-10932438/
Bayswater,22 John St,house,3,1000000.0,2017,4,10,private sale,Ray White Bayswater,https://www.realestateview.com.au/real-estate/22-john-street-bayswater-vic/property-details-sold-residential-10916295/
Bayswater North,10-12 Ivon St,house,4,775000.0,2017,4,5,private sale,Barry Plant,https://www.realestateview.com.au/real-estate/10-12-ivon-street-bayswater-north-vic/property-details-buy-residential-10962151/
Beaumaris,9 Comport St,house,3,0,2017,4,5,private sale,Century 21 McCann Alliance,https://www.realestateview.com.au/real-estate/9-comport-street-beaumaris-vic/property-details-buy-residential-10922709/
Belgrave,45 Glen Harrow Heights Rd,house,3,680000.0,2017,4,4,private sale,Fletchers,https://www.realestateview.com.au/real-estate/45-glen-harrow-heights-road-belgrave-vic/property-details-buy-residential-10955197/
Belgrave South,6 Bartley Rd,house,4,745000.0,2017,3,27,private sale,Fletchers,https://www.realestateview.com.au/real-estate/6-bartley-road-belgrave-south-vic/property-details-buy-residential-10825657/
Belmont,351 High St,house,3,0,2017,4,13,auction sale,Ray White Highton,https://www.realestateview.com.au/real-estate/351-high-street-belmont-vic/property-details-buy-residential-10936189/
Bendigo,129 Lily St,house,3,317000.0,2017,3,7,private sale,Tweed Sutherland First National,https://www.realestateview.com.au/real-estate/129-lily-street-bendigo-vic/property-details-buy-residential-10599854/
Black Hill,2/ 517 Sherrard St,house,2,285000.0,2017,4,13,private sale,Buxton,
Black Rock,1/ 1 Karrakatta St,apartment,2,635000.0,2017,3,30,private sale,Buxton,
Blairgowrie,4 Penman St,house,3,692000.0,2017,4,15,auction sale,Fletchers,
Blairgowrie,42 Ridley St,house,4,1100000.0,2017,4,15,passed in vendor bid,Fletchers,
Blairgowrie,24 Wilson Rd,house,4,0,2017,4,15,passed in vendor bid,R T Edgar,https://www.realestateview.com.au/real-estate/24-wilson-road-blairgowrie-vic/property-details-buy-residential-10922966/
Box Hill North,21 Mckean St,house,3,1550000.0,2017,3,29,private sale,T G Newton & Co,
Braybrook,5/ 12-18 Margaret Cr,unit,1,316000.0,2017,4,12,auction sale,Biggin & Scott,https://www.realestateview.com.au/real-estate/5-12-18-margaret-crescent-braybrook-vic/property-details-sold-residential-10936570/
Broadmeadows,1/ 19 Blair St,townhouse,4,431000.0,2017,4,15,auction sale,YPA Estate Agents,
Broadmeadows,9 Cooper St,house,3,540000.0,2017,4,15,auction sale,YPA Estate Agents,
Brown Hill,18 Holmsgarth Ct,land,0,130000.0,2017,3,24,private sale,Ray White Ballarat,
Bundoora,Lot 1/ 41 Carbeen Dr,townhouse,3,737500.0,2017,3,25,private sale,Flannagan Peressini & Shaw,
Bunyip,7 Hilltop Av,house,3,398000.0,2017,4,12,private sale,Barry Plant,https://www.realestateview.com.au/real-estate/7-hilltop-avenue-bunyip-vic/property-details-sold-residential-10938120/
Capel Sound,75 Cootamundra Av,house,3,520000.0,2017,4,15,auction sale,Barry Plant,
Capel Sound,323 Eastbourne Rd,house,3,400000.0,2017,4,15,passed in vendor bid,Barry Plant,
Carrum Downs,17 Jacana Dr,house,3,515500.0,2017,3,28,private sale,Eview Group Frankston,https://www.realestateview.com.au/real-estate/17-jacana-drive-carrum-downs-vic/property-details-sold-residential-10937336/
