"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","133 Yarra St","house",2,1190000.0,"2017-07-22","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/133-yarra-street-abbotsford-vic/property-details-sold-residential-11147777/"
"Aberfeldie","6/ 39 St Kinnord St","unit",1,310000.0,"2017-07-22","auction sale","Brad Teal","https://www.realestateview.com.au/real-estate/6-39-st-kinnord-street-aberfeldie-vic/property-details-buy-residential-11135241/"
"Aberfeldie","4/ 37 St Kinnord St","apartment",1,280000.0,"2017-07-22","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/4-37-st-kinnord-street-aberfeldie-vic/property-details-buy-residential-11147280/"
"Aberfeldie","18 Valencia St","house",5,1472000.0,"2017-07-22","auction sale","Rendina",""
"Aberfeldie","5 Aroona Ct","house",3,1680000.0,"2017-07-21","sold before auction","Raine & Horne Ascot Vale","https://www.realestateview.com.au/real-estate/5-aroona-court-aberfeldie-vic/property-details-sold-residential-11129419/"
"Aberfeldie","45A Afton St","townhouse",3,2050000.0,"2017-07-13","sold before auction","McDonald Upton","https://www.realestateview.com.au/real-estate/45a-afton-street-aberfeldie-vic/property-details-sold-residential-11136630/"
"Airport West","6/ 6 Etzel St","unit",2,454000.0,"2017-07-22","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/6-6-etzel-street-airport-west-vic/property-details-buy-residential-11147367/"
"Airport West","3/ 81 Mcintosh St","unit",3,635000.0,"2017-07-22","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/3-81-mcintosh-street-airport-west-vic/property-details-buy-residential-11141566/"
"Airport West","11 Bedford St","house",3,"","2017-07-22","auction sale","Sweeney","https://www.realestateview.com.au/real-estate/11-bedford-street-airport-west-vic/property-details-buy-residential-11153134/"
"Albanvale","3A Dover St","unit",3,370000.0,"2017-07-22","auction sale","Raine & Horne Roxburgh Park","https://www.realestateview.com.au/real-estate/3a-dover-street-albanvale-vic/property-details-buy-residential-11153861/"
