"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","5/ 29 Church St","apartment",2,480000.0,"2017-06-17","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/5-29-church-street-abbotsford-vic/property-details-buy-residential-11078258/"
"Abbotsford","106/ 8 Grosvenor St","apartment",1,310000.0,"2017-06-16","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/106-8-grosvenor-street-abbotsford-vic/property-details-sold-residential-10969857/"
"Abbotsford","Alg05/ 627 Victoria St","apartment",0,485000.0,"2017-06-08","private sale","McGrath Projects",""
"Abbotsford","229/ 1 Acacia Pl","apartment",1,"","2017-06-17","passed in at auction","MICM Real Estate","https://www.realestateview.com.au/real-estate/229-1-acacia-place-abbotsford-vic/property-details-buy-residential-10152974/"
"Abbotsford","309B/ 8 Grosvenor St","apartment",2,"","2017-06-17","passed in at auction","hockingstuart","https://www.realestateview.com.au/real-estate/309b-8-grosvenor-street-abbotsford-vic/property-details-buy-residential-11064974/"
"Abbotsford","B422/ 627 Victoria St","apartment",0,"","2017-06-08","private sale","McGrath Projects",""
"Airport West","24 El Reno Cr","house",4,1045000.0,"2017-06-17","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/24-el-reno-crescent-airport-west-vic/property-details-buy-residential-11068814/"
"Airport West","2/ 6 Green St","townhouse",2,540000.0,"2017-06-16","sold before auction","Real Estate Edge",""
"Airport West","18A Hart St","townhouse",3,730000.0,"2017-06-16","sold before auction","Brad Teal","https://www.realestateview.com.au/real-estate/18a-hart-street-airport-west-vic/property-details-sold-residential-11067183/"
"Albanvale","4 Oakwood Rd","house",3,572000.0,"2017-06-17","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/4-oakwood-road-albanvale-vic/property-details-buy-residential-11050552/"
"Albert Park","225 Danks St","house",4,3205000.0,"2017-06-18","passed in at auction","Cayzer","https://www.realestateview.com.au/real-estate/225-danks-street-albert-park-vic/property-details-buy-residential-11038934/"
"Albert Park","242 Danks St","house",4,"","2017-06-17","passed in at auction","Thomas Wong Real Estate",""
"Albion","3 Merlow St","house",4,820000.0,"2017-06-17","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/3-merlow-street-albion-vic/property-details-buy-residential-11056656/"
"Albion","4 Westgate Av","house",4,746000.0,"2017-06-17","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/4-westgate-avenue-albion-vic/property-details-buy-residential-11064876/"
"Albion","2/ 36 Selwyn St","unit",3,600000.0,"2017-06-05","private sale","Douglas Kay Sunshine",""
"Alphington","38 Grange Rd","house",3,1650000.0,"2017-06-17","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/38-grange-road-alphington-vic/property-details-buy-residential-11077764/"
"Alphington","10/ 1A Hamilton St","townhouse",3,987000.0,"2017-06-17","auction sale","Love Real Estate",""
"Alphington","30 Shiers St","house",4,2750000.0,"2017-06-17","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/30-shiers-street-alphington-vic/property-details-buy-residential-11078464/"
"Altona","21 Harrington St","house",3,853000.0,"2017-06-17","auction sale","Barlow McEwan Tribe",""
"Altona","2/ 10 Mcalpine Ct","unit",2,670000.0,"2017-06-17","auction sale","Sweeney",""
"Altona","1/ 20 Mulga St","townhouse",3,765000.0,"2017-06-17","auction sale","Williams RE","https://www.realestateview.com.au/real-estate/1-20-mulga-street-altona-vic/property-details-buy-residential-11067956/"
"Altona","2/ 19 Linnet St","townhouse",3,810000.0,"2017-06-14","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-19-linnet-street-altona-vic/property-details-sold-residential-10929295/"
"Altona","94 Grieve Pde","house",4,"","2017-06-17","passed in at auction","LJ Hooker St Albans",""
