"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Doncaster East","126 Landscape Dr","house",4,1380000.0,"2016-08-21","auction sale","Ray White Manningham",""
"Doncaster East","2/ 22 Amdura Rd","townhouse",4,890000.0,"2016-08-20","passed in vendor bid","Noel Jones","http://www.realestateview.com.au/real-estate/2-22-amdura-road-doncaster-east-vic/property-details-buy-residential-10378103/"
"Doncaster East","2/ 49 Banool Qdrnt","townhouse",0,890000.0,"2016-08-16","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/2-49-banool-quadrant-doncaster-east-vic/property-details-sold-residential-10403480/"
"Doncaster East","4 Tristania St","house",0,1233000.0,"2016-08-16","auction sale","Ray White Manningham",""
"Doncaster East","1/ 18 Ross St","townhouse",0,1300000.0,"2016-08-14","private sale","Barry Plant",""
"Doncaster East","4 Hamilton Cr","house",0,1325000.0,"2016-08-09","private sale","Vendor Advocacy Australia",""
"Doncaster East","55 Franklin Rd","house",3,1745000.0,"2016-08-08","sold before auction","Noel Jones","http://www.realestateview.com.au/real-estate/55-franklin-road-doncaster-east-vic/property-details-sold-residential-10377940/"
"Doncaster East","1/ 13 Leura St","unit",0,825000.0,"2016-05-25","sold before auction","Jellis Craig",""
"Doncaster East","4/ 12-14 Franklin Rd","unit",2,"","2016-08-20","auction sale","hockingstuart",""
"Doncaster East","17 Jefferson Gr","house",4,"","2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/17-jefferson-grove-doncaster-east-vic/property-details-buy-residential-10372453/"
"Donvale","6 Vistaway Ct","house",4,1126000.0,"2016-08-20","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/6-vistaway-court-donvale-vic/property-details-buy-residential-10384893/"
"Donvale","80 Woodhouse Rd","house",4,1640000.0,"2016-08-20","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/80-woodhouse-road-donvale-vic/property-details-buy-residential-10386313/"
"Doreen","5 Furlong Dr","house",4,470100.0,"2016-08-14","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/5-furlong-drive-doreen-vic/property-details-sold-residential-10066605/"
"Doreen","2 Harbor St","house",5,600000.0,"2016-08-09","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/2-harbor-street-doreen-vic/property-details-sold-residential-10403064/"
"Doreen","26 Downey Dr","house",5,630000.0,"2016-08-02","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/26-downey-drive-doreen-vic/property-details-sold-residential-10319048/"
"Doreen","10 Brookwood Av","house",7,620000.0,"2016-07-30","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/10-brookwood-avenue-doreen-vic/property-details-sold-residential-10375555/"
"Doreen","9 Shorthorn Cr","house",4,632500.0,"2016-07-15","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/9-shorthorn-crescent-doreen-vic/property-details-sold-residential-10305629/"
"Doreen","5 Watercress Gr","house",4,"","2016-08-15","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/5-watercress-grove-doreen-vic/property-details-sold-residential-10320791/"
"Doreen","1 Sheoak St","house",6,"","2016-08-12","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/1-sheoak-street-doreen-vic/property-details-sold-residential-10416181/"
"Doveton","9 Lillypilly Av","house",3,407500.0,"2016-08-20","passed in at auction","Stockdale & Leggo Dandenong","http://www.realestateview.com.au/real-estate/9-lillypilly-avenue-doveton-vic/property-details-buy-residential-10401243/"
"Doveton","174 Power Rd","house",4,450000.0,"2016-08-20","auction sale","Just Realty International",""
"Doveton","190 Power Rd","house",3,300000.0,"2016-08-20","passed in vendor bid","hockingstuart","http://www.realestateview.com.au/real-estate/190-power-road-doveton-vic/property-details-buy-residential-10384529/"
"Dromana","125 Rainier Av","house",3,430000.0,"2016-08-20","passed in vendor bid","YPA Estate Agents",""
"East Geelong","3/ 3-5 Lomond Tce","house",0,445000.0,"2016-08-12","private sale","Buxton","http://www.realestateview.com.au/real-estate/3-3-5-lomond-terrace-east-geelong-vic/property-details-sold-residential-10382413/"
"East Melbourne","1/ 187 George St","apartment",2,700000.0,"2016-08-20","passed in at auction","Melbourne City Harcourts",""
"East Melbourne","58/ 1 Wellington Cr","apartment",3,1155000.0,"2016-08-20","auction sale","Melbourne City Harcourts",""
"East Melbourne","17/ 2 Wellington Cr","apartment",2,"","2016-08-20","passed in at auction","Caine RE","http://www.realestateview.com.au/real-estate/17-2-wellington-crescent-east-melbourne-vic/property-details-buy-residential-10387073/"
"East Melbourne","1404/ 279 Wellington Parade Sth","apartment",3,"","2016-08-09","expression of interest","Kay & Burton","http://www.realestateview.com.au/real-estate/1404-279-wellington-parade-south-east-melbourne-vic/property-details-buy-residential-10350671/"
"East Warburton","16 Surman Av","house",4,450000.0,"2016-07-24","private sale","Andrew McMath Real Estate",""
"Eastwood","16A Balmoral Cr","house",3,335000.0,"2016-07-18","private sale","Elders Bairnsdale","http://www.realestateview.com.au/real-estate/16a-balmoral-crescent-eastwood-vic/property-details-sold-residential-10352127/"
"Echuca","1/ 336 High St","townhouse",2,265000.0,"2016-08-20","passed in vendor bid","Charles L King & Co Echuca","http://www.realestateview.com.au/real-estate/1-336-high-street-echuca-vic/property-details-buy-residential-10362759/"
"Elsternwick","27 Oswald St","unit",4,1700000.0,"2016-08-21","passed in at auction","Gary Peer & Associates","http://www.realestateview.com.au/real-estate/27-oswald-street-elsternwick-vic/property-details-buy-residential-10381894/"
"Elsternwick","8/ 1-3 Carre St","apartment",1,370000.0,"2016-08-20","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/8-1-3-carre-street-elsternwick-vic/property-details-buy-residential-10382090/"
"Elsternwick","3 Clarence St","house",4,1450000.0,"2016-08-20","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/3-clarence-street-elsternwick-vic/property-details-buy-residential-10371458/"
"Elsternwick","37/ 2 Gordon St","apartment",2,500000.0,"2016-08-20","auction sale","Gary Peer & Associates","http://www.realestateview.com.au/real-estate/37-2-gordon-street-elsternwick-vic/property-details-buy-residential-10348733/"
"Elsternwick","53 Shoobra Rd","house",4,2600000.0,"2016-08-19","sold before auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/53-shoobra-road-elsternwick-vic/property-details-buy-residential-10390860/"
"Elsternwick","4/ 12 Blanche St","unit",3,"","2016-08-21","auction sale","Wilson","http://www.realestateview.com.au/real-estate/4-12-blanche-street-elsternwick-vic/property-details-buy-residential-10385181/"
"Elsternwick","1 Liscard St","house",4,"","2016-08-18","sold before auction","Wilson","http://www.realestateview.com.au/real-estate/1-liscard-street-elsternwick-vic/property-details-sold-residential-10385323/"
"Elsternwick","12 Parnell St","land",0,"","2016-07-28","private sale","Gary Peer & Associates",""
"Eltham","2/ 42 Shalbury Av","house",4,680100.0,"2016-08-10","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/2-42-shalbury-avenue-eltham-vic/property-details-sold-residential-10404868/"
"Eltham","5 Lyons Rise","house",4,"","2016-08-09","private sale","Morrison Kleeman","http://www.realestateview.com.au/real-estate/5-lyons-rise-eltham-vic/property-details-sold-residential-10396792/"
"Elwood","3/ 45 Broadway","apartment",2,867000.0,"2016-08-20","auction sale","Wilson","http://www.realestateview.com.au/real-estate/3-45-broadway-elwood-vic/property-details-buy-residential-10384000/"
"Elwood","2/ 1-3 Coleridge St","apartment",2,775000.0,"2016-08-20","auction sale","Marshall White One","http://www.realestateview.com.au/real-estate/2-1-3-coleridge-street-elwood-vic/property-details-buy-residential-10378363/"
"Elwood","5/ 6 May St","apartment",2,585000.0,"2016-08-11","private sale","Gary Peer & Associates",""
"Endeavour Hills","1/ 65 Kennington Park Dr","townhouse",3,515000.0,"2016-08-20","auction sale","iSell","http://www.realestateview.com.au/real-estate/1-65-kennington-park-drive-endeavour-hills-vic/property-details-buy-residential-10380532/"
"Endeavour Hills","23 Crossdale Rise","house",3,565000.0,"2016-08-06","sold before auction","O'Brien Real Estate Pty Ltd","http://www.realestateview.com.au/real-estate/23-crossdale-rise-endeavour-hills-vic/property-details-sold-residential-10388065/"
"Epping","50 Carlisle Dr","house",3,498000.0,"2016-08-20","auction sale","Harcourts","http://www.realestateview.com.au/real-estate/50-carlisle-drive-epping-vic/property-details-buy-residential-10376791/"
"Epping","10 Coulstock St","house",2,346000.0,"2016-08-20","auction sale","Harcourts","http://www.realestateview.com.au/real-estate/10-coulstock-street-epping-vic/property-details-buy-residential-10379583/"
"Epping","103 Lyndarum Dr","townhouse",3,416000.0,"2016-08-20","auction sale","Harcourts","http://www.realestateview.com.au/real-estate/103-lyndarum-drive-epping-vic/property-details-buy-residential-10366962/"
"Epping","81 Grand Pde","house",5,515000.0,"2016-08-10","sold before auction","hockingstuart","http://www.realestateview.com.au/real-estate/81-grand-parade-epping-vic/property-details-sold-residential-10388810/"
"Epping","5 Ferraro Cl","house",3,"","2016-08-20","auction sale","Harcourts","http://www.realestateview.com.au/real-estate/5-ferraro-close-epping-vic/property-details-buy-residential-10382179/"
"Epping","1 Devora Rd","house",3,"","2016-08-10","sold before auction","Ray White Reservoir","http://www.realestateview.com.au/real-estate/1-devora-road-epping-vic/property-details-sold-residential-10376600/"
"Essendon","7/ 18 Raleigh St","apartment",2,457000.0,"2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/7-18-raleigh-street-essendon-vic/property-details-buy-residential-10379086/"
"Essendon","22 Tweedside St","house",3,1460000.0,"2016-08-20","auction sale","Paul McDonald","http://www.realestateview.com.au/real-estate/22-tweedside-street-essendon-vic/property-details-buy-residential-10386155/"
"Essendon","6 Cooper St","house",4,"","2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/6-cooper-street-essendon-vic/property-details-buy-residential-10378085/"
"Essendon North","21 Greville St","house",4,1605000.0,"2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/21-greville-street-essendon-north-vic/property-details-buy-residential-10427933/"
"Essendon North","2/ 26 Renown St","unit",3,712000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/2-26-renown-street-essendon-north-vic/property-details-buy-residential-10377670/"
"Essendon West","27 Ruby St","house",3,810000.0,"2016-08-18","sold before auction","Paul McDonald","http://www.realestateview.com.au/real-estate/27-ruby-street-essendon-west-vic/property-details-buy-residential-10388788/"
"Fairfield","100 Perry St","house",2,1010000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/100-perry-street-fairfield-vic/property-details-buy-residential-10387713/"
"Fairfield","6/ 61A Station St","townhouse",2,810000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/6-61a-station-street-fairfield-vic/property-details-buy-residential-10387676/"
"Fawkner","16B Victory St","house",3,460000.0,"2016-08-10","sold before auction","Ray White Coburg","http://www.realestateview.com.au/real-estate/16b-victory-street-fawkner-vic/property-details-sold-residential-10380420/"
"Fawkner","9/ 104-110 Lorne St","unit",2,290000.0,"2016-07-31","private sale","Stockdale & Leggo Glenroy",""
"Fawkner","20 Disney St","house",3,"","2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/20-disney-street-fawkner-vic/property-details-buy-residential-10379273/"
"Fawkner","31 Major Rd","house",3,"","2016-08-20","passed in at auction","Harcourts Vision",""
"Ferntree Gully","456 Scoresby Rd","house",3,630000.0,"2016-08-18","auction sale","Ray White Rowville","http://www.realestateview.com.au/real-estate/456-scoresby-road-ferntree-gully-vic/property-details-sold-residential-10384721/"
"Fitzroy","309/ 416 Gore St","apartment",2,790000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/309-416-gore-street-fitzroy-vic/property-details-buy-residential-10389304/"
"Fitzroy","84 Kerr St","house",2,1122000.0,"2016-08-20","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/84-kerr-street-fitzroy-vic/property-details-buy-residential-10389031/"
"Fitzroy North","22/ 44 Kneen St","apartment",1,317000.0,"2016-08-19","sold before auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/22-44-kneen-street-fitzroy-north-vic/property-details-buy-residential-10385904/"
"Flinders","150 Wood St","house",5,1500000.0,"2016-08-12","private sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/150-wood-street-flinders-vic/property-details-buy-residential-10395309/"
"Flora Hill","22 Keck St","house",3,235000.0,"2016-07-11","private sale","Vendor Advocacy Australia",""
"Footscray","49 Macpherson St","house",2,661000.0,"2016-08-20","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/49-macpherson-street-footscray-vic/property-details-buy-residential-10375442/"
"Footscray","69 Macpherson St","house",2,757500.0,"2016-08-20","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/69-macpherson-street-footscray-vic/property-details-buy-residential-10388537/"
"Footscray","36 Stafford St","townhouse",2,656000.0,"2016-08-20","auction sale","hockingstuart",""
"Footscray","35 Leander St","house",2,835000.0,"2016-07-19","sold before auction","Jas Stephens - Yarraville",""
"Footscray","216A Ballarat Rd","townhouse",4,"","2016-08-20","passed in vendor bid","Raine & Horne Footscray",""
"Footscray","39 Moore St","house",3,"","2016-07-28","sold before auction","Burnham","http://www.realestateview.com.au/real-estate/39-moore-street-footscray-vic/property-details-sold-residential-10387443/"
"Footscray","41 Moore St","land",0,"","2016-07-28","sold before auction","Burnham","http://www.realestateview.com.au/real-estate/41-moore-street-footscray-vic/property-details-sold-residential-10387476/"
"Forest Hill","25 Longbrae Av","house",4,910000.0,"2016-08-20","auction sale","Ray White Blackburn","http://www.realestateview.com.au/real-estate/25-longbrae-avenue-forest-hill-vic/property-details-buy-residential-10382644/"
"Frankston","31 Hillcrest Rd","house",5,703000.0,"2016-08-20","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/31-hillcrest-road-frankston-vic/property-details-buy-residential-10376276/"
"Frankston","10 Oxford St","house",2,510000.0,"2016-08-20","auction sale","U First RE","http://www.realestateview.com.au/real-estate/10-oxford-street-frankston-vic/property-details-buy-residential-10398302/"
"Frankston","9 Frew Av","house",3,440000.0,"2016-08-11","private sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/9-frew-avenue-frankston-vic/property-details-buy-residential-10398867/"
"Frankston","3/ 3 Dell Rd","house",2,499000.0,"2016-07-20","private sale","Nicholas Lynch Pty Ltd",""
"Frankston","184 Karingal Dr","house",3,"","2016-07-30","private sale","hockingstuart",""
"Frankston","304/ 15-17 Ebdale St","apartment",2,"","2016-07-27","private sale","hockingstuart",""
"Frankston North","48 Rosemary Cr","house",3,339000.0,"2016-08-20","auction sale","Ray White Frankston","http://www.realestateview.com.au/real-estate/48-rosemary-crescent-frankston-north-vic/property-details-buy-residential-10381229/"
"Frankston North","11 Hoop Ct","house",3,375000.0,"2016-08-02","private sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/11-hoop-court-frankston-north-vic/property-details-sold-residential-10324884/"
"Frankston North","7 Ironbark Ct","house",3,338500.0,"2016-07-28","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/7-ironbark-court-frankston-north-vic/property-details-sold-residential-10358974/"
"Frankston South","3/ 46 Harcourt Av","unit",2,502000.0,"2016-08-12","private sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/3-46-harcourt-avenue-frankston-south-vic/property-details-buy-residential-10408797/"
"Frankston South","6 Goldthorp Ct","house",4,1375000.0,"2016-08-02","private sale","Nicholas Lynch Pty Ltd","http://www.realestateview.com.au/real-estate/6-goldthorp-court-frankston-south-vic/property-details-sold-residential-10377991/"
"Frankston South","3/ 35 Culcairn Dr","townhouse",3,520000.0,"2016-07-26","private sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/3-35-culcairn-drive-frankston-south-vic/property-details-sold-residential-10327911/"
"Frankston South","123 Kars St","house",6,"","2016-08-20","passed in at auction","Ray White Frankston","http://www.realestateview.com.au/real-estate/123-kars-street-frankston-south-vic/property-details-buy-residential-10381227/"
"Frankston South","13 Sarah Pl","house",4,"","2016-08-02","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/13-sarah-place-frankston-south-vic/property-details-sold-residential-10381302/"
"Geelong West","15 Britannia St","house",2,511000.0,"2016-08-20","auction sale","Harcourts North Geelong","http://www.realestateview.com.au/real-estate/15-britannia-street-geelong-west-vic/property-details-buy-residential-10382238/"
"Gisborne","280 Mt Gisborne Rd","house",5,1200000.0,"2016-08-20","passed in at auction","Raine & Horne Gisborne",""
"Gisborne","1B Worcester Rd","house",4,"","2016-08-04","private sale","R T Edgar",""
"Glen Huntly","27 Augusta St","house",5,2575000.0,"2016-08-20","auction sale","Gary Peer & Associates","http://www.realestateview.com.au/real-estate/27-augusta-street-glen-huntly-vic/property-details-buy-residential-10381250/"
"Glen Iris","1/ 58 Edgar St.N","townhouse",2,600000.0,"2016-08-20","passed in vendor bid","Woodards",""
"Glen Iris","1/ 8 Estella St","townhouse",3,1400000.0,"2016-08-20","auction sale","Woodards","http://www.realestateview.com.au/real-estate/1-8-estella-street-glen-iris-vic/property-details-sold-residential-10189063/"
"Glen Iris","1/ 270 Warrigal Rd","unit",2,500000.0,"2016-08-20","passed in vendor bid","Stockdale & Leggo Clayton",""
"Glen Iris","1/ 249 Burke Rd","apartment",2,600000.0,"2016-08-03","private sale","Jellis Craig",""
"Glen Waverley","634 Highbury Rd","house",3,950000.0,"2016-08-20","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/634-highbury-road-glen-waverley-vic/property-details-buy-residential-10385750/"
"Glen Waverley","590 Highbury Rd","house",3,960000.0,"2016-08-16","private sale","McGrath Waverley",""
"Glen Waverley","2/ 17 Mimosa St","townhouse",4,850000.0,"2016-08-11","private sale","McGrath Waverley","http://www.realestateview.com.au/real-estate/2-17-mimosa-street-glen-waverley-vic/property-details-buy-residential-10158250/"
