"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","46 Raphael St","house",2,820000.0,"2018-08-25","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/46-raphael-street-abbotsford-vic/property-details-buy-residential-12014025/"
"Abbotsford","65 Studley St","house",2,960000.0,"2018-08-24","sold before auction","Biggin & Scott","https://www.realestateview.com.au/real-estate/65-studley-street-abbotsford-vic/property-details-sold-residential-12018575/"
"Abbotsford","C607/11 Shamrock St","apartment",1,385000.0,"2018-08-21","private sale","Dingle Partners",""
"Abbotsford","92 Park St","house",3,,"2018-08-25","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/92-park-street-abbotsford-vic/property-details-buy-residential-11997243/"
"Aberfeldie","102 Fawkner St","house",4,1925000.0,"2018-08-25","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/102-fawkner-street-aberfeldie-vic/property-details-buy-residential-12008540/"
"Aberfeldie","7 Rita St","land",0,1450000.0,"2018-08-25","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/7-rita-street-aberfeldie-vic/property-details-buy-residential-12004726/"
"Airport West","41 Harrington Rd","house",4,750000.0,"2018-08-25","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/41-harrington-road-airport-west-vic/property-details-buy-residential-12017103/"
"Airport West","6A Peters St","house",4,1115000.0,"2018-08-25","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/6a-peters-street-airport-west-vic/property-details-sold-residential-12018678/"
"Airport West","3/1 Deidre Ct","townhouse",3,795000.0,"2018-08-08","private sale","Barry Plant",""
"Airport West","30 Hilbert Rd","house",4,,"2018-08-25","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/30-hilbert-road-airport-west-vic/property-details-buy-residential-11999008/"
"Airport West","2/36 Highlands Av","unit",3,,"2018-08-22","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/2-36-highlands-avenue-airport-west-vic/property-details-sold-residential-11984733/"
"Albert Park","88 Merton St","house",3,3015000.0,"2018-08-20","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/88-merton-street-albert-park-vic/property-details-sold-residential-11995008/"
"Altona","6A Finley Rd","townhouse",4,860000.0,"2018-08-25","passed in at auction","Williams RE",""
"Arcadia","10 Carters Rd","house",5,,"2018-08-25","passed in at auction","Stockdale & Leggo Shepparton",""
"Ardeer","2/15 North St","townhouse",3,511500.0,"2018-08-10","sold before auction","Jas Stephens - Yarraville",""
"Armadale","12 Ashleigh Rd","house",4,3180000.0,"2018-08-25","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/12-ashleigh-road-armadale-vic/property-details-sold-residential-12019500/"
"Armadale","8/11 Llaneast St","apartment",1,,"2018-08-25","passed in at auction","Biggin & Scott","https://www.realestateview.com.au/real-estate/8-11-llaneast-street-armadale-vic/property-details-buy-residential-12022019/"
"Armadale","4/31 Mercer Rd","apartment",2,,"2018-08-25","auction sale","Thomson","https://www.realestateview.com.au/real-estate/4-31-mercer-road-armadale-vic/property-details-sold-residential-12013556/"
"Ascot Vale","34 Kent St","house",4,1400000.0,"2018-08-25","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/34-kent-street-ascot-vale-vic/property-details-buy-residential-12003595/"
"Ascot Vale","7/1 Langs Rd","apartment",2,420000.0,"2018-08-25","passed in vendor bid","Brad Teal","https://www.realestateview.com.au/real-estate/7-1-langs-road-ascot-vale-vic/property-details-buy-residential-12025346/"
"Ascot Vale","5/8 Ormond Rd","unit",2,475000.0,"2018-08-25","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/5-8-ormond-road-ascot-vale-vic/property-details-sold-residential-12021258/"
"Ashburton","13 Highgate Gr","house",5,2150000.0,"2018-08-25","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/13-highgate-grove-ashburton-vic/property-details-sold-residential-12020862/"
"Ashburton","46 Gloucester Rd","house",3,,"2018-08-25","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/46-gloucester-road-ashburton-vic/property-details-sold-residential-12022266/"
"Ashwood","91 Ashwood Dr","house",3,1100000.0,"2018-08-25","passed in vendor bid","Buxton Ashburton","https://www.realestateview.com.au/real-estate/91-ashwood-drive-ashwood-vic/property-details-buy-residential-12018774/"
"Ashwood","2/25 Mulgrave St","townhouse",3,918000.0,"2018-08-23","private sale","McGrath Waverley",""
"Ashwood","61 Winbirra Pde","house",2,,"2018-08-25","passed in at auction","Buxton Ashburton","https://www.realestateview.com.au/real-estate/61-winbirra-parade-ashwood-vic/property-details-buy-residential-12019563/"
"Aspendale","47 Iluka Av","house",3,835000.0,"2018-08-25","auction sale","Buxton",""
"Aspendale","6 Tarlee Ct","house",5,,"2018-08-25","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/6-tarlee-court-aspendale-vic/property-details-buy-residential-12019318/"
"Aspendale Gardens","10 Carla Ct","house",3,695000.0,"2018-08-25","auction sale","Ray White Chelsea","https://www.realestateview.com.au/real-estate/10-carla-court-aspendale-gardens-vic/property-details-sold-residential-12016118/"
