"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","11/1 Abbott St","house",3,980000.0,"2017-11-18","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/11-1-abbott-street-abbotsford-vic/property-details-sold-residential-11401534/"
"Abbotsford","103R/88 Trenerry Cr","apartment",2,625000.0,"2017-11-18","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/103r-88-trenerry-crescent-abbotsford-vic/property-details-sold-residential-11401586/"
"Abbotsford","302/120 Gipps St","apartment",2,595000.0,"2017-11-09","private sale","McGrath Box Hill",""
"Aberfeldie","38 Clifton St","house",4,1700000.0,"2017-11-18","passed in vendor bid","Brad Teal","https://www.realestateview.com.au/real-estate/38-clifton-street-aberfeldie-vic/property-details-buy-residential-11393938/"
"Aberfeldie","2 Knight St","house",5,1825000.0,"2017-11-18","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/2-knight-street-aberfeldie-vic/property-details-buy-residential-11399394/"
"Airport West","2/21 Clydesdale Rd","unit",2,530000.0,"2017-11-18","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/2-21-clydesdale-road-airport-west-vic/property-details-buy-residential-11395621/"
"Airport West","51 El Reno Cr","house",3,842000.0,"2017-11-18","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/51-el-reno-crescent-airport-west-vic/property-details-buy-residential-11390024/"
"Airport West","108 Halsey Rd","house",3,860000.0,"2017-11-18","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/108-halsey-road-airport-west-vic/property-details-buy-residential-11395506/"
"Airport West","3/43-45 Hart St","villa",1,310000.0,"2017-11-18","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/3-43-45-hart-street-airport-west-vic/property-details-buy-residential-11398629/"
"Airport West","3/54 Hawker St","villa",2,495000.0,"2017-11-18","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/3-54-hawker-street-airport-west-vic/property-details-buy-residential-11398627/"
"Airport West","19 Hilbert Rd","house",4,807000.0,"2017-11-18","auction sale","Meallin RE Footscray",""
"Airport West","19-21 Louis St","development site",0,1534000.0,"2017-11-16","auction sale","Barry Plant",""
"Airport West","2/40 Hilbert Rd","unit",3,810000.0,"2017-11-08","private sale","Barry Plant",""
"Albert Park","14 Faussett St","house",2,1610000.0,"2017-11-18","passed in at auction","Greg Hocking Holdsworth",""
"Albert Park","38 Herbert Pl","house",2,1550000.0,"2017-11-18","auction sale","Cayzer","https://www.realestateview.com.au/real-estate/38-herbert-place-albert-park-vic/property-details-buy-residential-11403194/"
"Albert Park","188 Danks St","house",3,"","2017-11-18","auction sale","Greg Hocking Holdsworth",""
"Albert Park","14 Dundas Pl","house",3,"","2017-11-18","auction sale","Greg Hocking Holdsworth",""
"Albert Park","330 Ferrars St","house",3,"","2017-11-08","sold before auction","Marshall White & Co","https://www.realestateview.com.au/real-estate/330-ferrars-street-albert-park-vic/property-details-sold-residential-11401162/"
"Alfredton","10 Merino Dr","house",5,495000.0,"2017-10-26","private sale","Buxton","https://www.realestateview.com.au/real-estate/10-merino-drive-alfredton-vic/property-details-sold-residential-11358866/"
