"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","126/ 6 Acacia Pl","apartment",1,420000.0,"2017-07-20","private sale","Dingle Partners","https://www.realestateview.com.au/real-estate/126-6-acacia-place-abbotsford-vic/property-details-sold-residential-11110724/"
"Abbotsford","B504/ 627 Victoria St","apartment",3,"","2017-07-24","private sale","McGrath Projects",""
"Airport West","76 Bowes Av","house",3,800000.0,"2017-07-29","sold before auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/76-bowes-avenue-airport-west-vic/property-details-sold-residential-11165507/"
"Airport West","10A Coniston Av","townhouse",3,780000.0,"2017-07-29","auction sale","Real Estate City",""
"Airport West","4/ 24 Laurence Av","townhouse",2,670000.0,"2017-07-29","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/4-24-laurence-avenue-airport-west-vic/property-details-buy-residential-11168343/"
"Airport West","A/ 91 Marshall Rd","house",0,845000.0,"2017-07-22","private sale","Nelson Alexander",""
"Albanvale","10 Elinga Ct","house",3,550000.0,"2017-07-22","sold before auction","Sweeney",""
"Albanvale","59 Appian Dr","house",3,580000.0,"2017-07-14","private sale","Barry Plant",""
"Albion","10 Delmont St","house",3,660000.0,"2017-07-29","passed in vendor bid","Biggin & Scott","https://www.realestateview.com.au/real-estate/10-delmont-street-albion-vic/property-details-buy-residential-11082922/"
"Albion","55 Derrimut St","house",3,754000.0,"2017-07-29","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/55-derrimut-street-albion-vic/property-details-buy-residential-11151626/"
"Albion","40A Forrest St","house",3,615000.0,"2017-07-29","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/40a-forrest-street-albion-vic/property-details-sold-residential-11009632/"
"Albion","6 Hayden Cr","house",3,613000.0,"2017-07-29","auction sale","Moonee Valley RE",""
"Albion","2/ 20 Talmage St","townhouse",2,340000.0,"2017-07-29","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/2-20-talmage-street-albion-vic/property-details-buy-residential-11168664/"
"Albion","1/ 26 Talmage St","townhouse",2,580000.0,"2017-07-29","passed in at auction","Douglas Kay Sunshine",""
"Alfredton","9 Kallioota St","house",4,302500.0,"2017-07-07","private sale","Trevor Petrie RE",""
"Alphington","1/ 16 Miller St","house",3,1305000.0,"2017-07-29","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/1-16-miller-street-alphington-vic/property-details-buy-residential-11166073/"
"Alphington","2A Constance St","house",3,"","2017-07-29","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/2a-constance-street-alphington-vic/property-details-buy-residential-11164952/"
"Altona","46 Dove Av","house",3,1150000.0,"2017-07-29","auction sale","Sweeney",""
"Altona","21 Curlew Av","house",3,"","2017-07-29","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/21-curlew-avenue-altona-vic/property-details-buy-residential-11150086/"
"Altona","17/ 99 Queen St","apartment",3,"","2017-07-25","private sale","hockingstuart",""
"Altona Meadows","10 Hopetoun Ct","house",4,955000.0,"2017-07-29","sold before auction","Sweeney",""
