"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","142 Charles St","house",2,1300000.0,"2017-11-11","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/142-charles-street-abbotsford-vic/property-details-buy-residential-11383922/"
"Abbotsford","6/29 Church St","apartment",2,505000.0,"2017-11-11","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/6-29-church-street-abbotsford-vic/property-details-sold-residential-11387111/"
"Abbotsford","85 Nicholson St","apartment",3,940000.0,"2017-11-11","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/85-nicholson-street-abbotsford-vic/property-details-sold-residential-11385700/"
"Abbotsford","2/125 Park St","apartment",2,940000.0,"2017-11-11","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/2-125-park-street-abbotsford-vic/property-details-sold-residential-11382094/"
"Abbotsford","16 Park St","house",2,"","2017-11-11","auction sale","Dingle Partners","https://www.realestateview.com.au/real-estate/16-park-street-abbotsford-vic/property-details-buy-residential-11374613/"
"Aberfeldie","1A Vida St","townhouse",3,1150000.0,"2017-11-11","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/1a-vida-street-aberfeldie-vic/property-details-buy-residential-11378123/"
"Aberfeldie","22 Jean St","house",5,3100000.0,"2017-11-08","sold before auction","Rendina",""
"Albanvale","1 Fernhill Ct","house",4,560000.0,"2017-11-11","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/1-fernhill-court-albanvale-vic/property-details-buy-residential-11379726/"
"Albert Park","2 Graham St","house",6,3000000.0,"2017-11-11","passed in at auction","Marshall White & Co","https://www.realestateview.com.au/real-estate/2-graham-street-albert-park-vic/property-details-buy-residential-11384584/"
"Albert Park","7/370 Montague St","townhouse",2,1250000.0,"2017-11-11","passed in vendor bid","Cayzer","https://www.realestateview.com.au/real-estate/7-370-montague-street-albert-park-vic/property-details-buy-residential-11371736/"
"Albert Park","31A Barrett St","house",4,2200000.0,"2017-11-01","sold before auction","Greg Hocking Holdsworth",""
"Albion","54 Burnewang St","house",2,633000.0,"2017-11-11","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/54-burnewang-street-albion-vic/property-details-buy-residential-11378010/"
"Albion","2/14 Ridley St","apartment",2,375790.0,"2017-10-24","sold before auction","Jas Stephens - Yarraville",""
"Alfredton","5 Doramy Ct","house",3,390000.0,"2017-11-07","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/5-doramy-court-alfredton-vic/property-details-sold-residential-11407079/"
"Alfredton","42 Lawrie Dr","house",4,442000.0,"2017-11-06","private sale","Buxton","https://www.realestateview.com.au/real-estate/42-lawrie-drive-alfredton-vic/property-details-sold-residential-11210924/"
"Alfredton","6 Vale St","house",3,376000.0,"2017-11-06","private sale","Buxton","https://www.realestateview.com.au/real-estate/6-vale-street-alfredton-vic/property-details-sold-residential-11403632/"
"Alfredton","20 Ningana St","house",0,349000.0,"2017-10-18","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/20-ningana-street-alfredton-vic/property-details-sold-residential-11372292/"
"Alphington","31 Naroon Rd","house",3,"","2017-11-11","auction sale","Miles RE","https://www.realestateview.com.au/real-estate/31-naroon-road-alphington-vic/property-details-buy-residential-11381529/"
"Altona","13 Deavey Ct","house",3,880000.0,"2017-11-11","passed in vendor bid","@realty","https://www.realestateview.com.au/real-estate/13-deavey-court-altona-vic/property-details-buy-residential-11376867/"
"Altona","2/36 Upton St","unit",2,562500.0,"2017-11-09","sold before auction","hockingstuart","https://www.realestateview.com.au/real-estate/2-36-upton-street-altona-vic/property-details-buy-residential-11377271/"
"Altona","2 Lindwood Av","house",3,1050000.0,"2017-10-28","sold before auction","Raine & Horne Williamstown","https://www.realestateview.com.au/real-estate/2-lindwood-ave-altona-vic/property-details-sold-residential-11368339/"
"Altona Meadows","2/37-39 May Av","house",3,546000.0,"2017-11-11","auction sale","Barry Plant",""
"Altona Meadows","29 Talbot St","house",4,"","2017-11-11","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/29-talbot-street-altona-meadows-vic/property-details-buy-residential-11376057/"
"Altona North","46-48 Chambers Rd","house",5,1450000.0,"2017-11-11","auction sale","Greg Hocking Elly Partners",""
"Altona North","2/33 Fifth Av","house",3,760000.0,"2017-11-11","auction sale","R T Edgar",""
"Altona North","1/4 Prentice St","apartment",3,755000.0,"2017-11-11","auction sale","Jas Stephens - Williamstown",""
"Altona North","11 Prismall St","house",2,1025000.0,"2017-11-11","auction sale","Greg Hocking Elly Partners",""
"Altona North","7 Gadsden St","house",3,840000.0,"2017-11-09","sold before auction","First National Rickdale Real Estate","https://www.realestateview.com.au/real-estate/7-gadsden-street-altona-north-vic/property-details-buy-residential-11427393/"
"Altona North","62 Hansen St","house",4,940000.0,"2017-11-08","sold before auction","Hunter French RE",""
"Altona North","1/31 Hearn St","house",3,740000.0,"2017-10-30","private sale","Village Real Estate",""
"Altona North","11 Valerian Av","house",3,"","2017-11-11","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/11-valerian-avenue-altona-north-vic/property-details-buy-residential-11365926/"
"Ararat","7 Kims Cl","house",5,"","2017-10-20","sold before auction","Elders RE Ararat",""
"Ardeer","16 Blanche St","house",3,615000.0,"2017-11-11","passed in vendor bid","hockingstuart",""
"Armadale","11/26 Denbigh Rd","apartment",1,500000.0,"2017-11-11","auction sale","Marshall White One","https://www.realestateview.com.au/real-estate/11-26-denbigh-road-armadale-vic/property-details-buy-residential-11383970/"
"Arthurs Seat","20 Pindara Rd","house",4,1340000.0,"2017-11-06","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/20-pindara-road-arthurs-seat-vic/property-details-sold-residential-11333230/"
"Ascot Vale","7B Rothwell St","house",3,1275000.0,"2017-11-11","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/7b-rothwell-street-ascot-vale-vic/property-details-buy-residential-11369229/"
"Ascot Vale","46 South St","house",3,1155000.0,"2017-11-11","auction sale","Brad Teal","https://www.realestateview.com.au/real-estate/46-south-street-ascot-vale-vic/property-details-buy-residential-11381484/"
"Ascot Vale","133 The Parade","house",2,1365000.0,"2017-11-11","auction sale","Raine & Horne Ascot Vale","https://www.realestateview.com.au/real-estate/133-the-parade-ascot-vale-vic/property-details-buy-residential-11366086/"
"Ascot Vale","4/44 North St","flat",2,463000.0,"2017-11-06","private sale","Hodges","https://www.realestateview.com.au/real-estate/4-44-north-street-ascot-vale-vic/property-details-sold-residential-11372547/"
"Ascot Vale","18 Waratah St","house",4,"","2017-11-11","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/18-waratah-street-ascot-vale-vic/property-details-buy-residential-11388699/"
"Ashburton","6/9 Sunderland Av","townhouse",3,1200000.0,"2017-11-11","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/6-9-sunderland-avenue-ashburton-vic/property-details-buy-residential-11387668/"
"Ashburton","11 Markham Av","townhouse",4,"","2017-11-11","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/11-markham-avenue-ashburton-vic/property-details-buy-residential-11382700/"
"Ashburton","28 Highgate Gr","house",3,"","2017-10-27","sold before auction","Jellis Craig","https://www.realestateview.com.au/real-estate/28-highgate-grove-ashburton-vic/property-details-sold-residential-11383812/"
"Ashwood","44 Cleveland Rd","house",4,1425000.0,"2017-11-11","auction sale","Buxton","https://www.realestateview.com.au/real-estate/44-cleveland-road-ashwood-vic/property-details-buy-residential-11385681/"
"Aspendale","26 Station St","house",3,1075000.0,"2017-11-03","private sale","Hodges","https://www.realestateview.com.au/real-estate/26-station-street-aspendale-vic/property-details-sold-residential-11356247/"
"Aspendale","19 Bowman St","house",4,"","2017-11-11","sold before auction","Barry Plant",""
"Aspendale","30 Ebb St","house",4,"","2017-11-11","passed in at auction","Hodges","https://www.realestateview.com.au/real-estate/30-ebb-street-aspendale-vic/property-details-buy-residential-11387950/"
"Aspendale","6B Kubis Av","townhouse",3,"","2017-11-11","passed in at auction","hockingstuart",""
"Aspendale Gardens","17 Alexander Ct","house",4,"","2017-11-11","passed in at auction","Buxton","https://www.realestateview.com.au/real-estate/17-alexander-court-aspendale-gardens-vic/property-details-buy-residential-11382197/"
"Aspendale Gardens","7 Templeman Ct","house",4,"","2017-11-11","sold before auction","Barry Plant",""
"Athlone","75 Lang Lang Park Rd","house",3,495000.0,"2017-10-09","private sale","Harcourts Drouin","https://www.realestateview.com.au/real-estate/75-lang-lang-park-road-athlone-vic/property-details-sold-residential-11261877/"
"Attwood","21 Chisholm Av","house",4,600000.0,"2017-11-11","passed in at auction","Barry Plant","https://www.realestateview.com.au/real-estate/21-chisholm-avenue-attwood-vic/property-details-buy-residential-11383986/"
"Attwood","5 Coach House Dr","house",3,685000.0,"2017-11-11","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/5-coach-house-drive-attwood-vic/property-details-buy-residential-11383985/"
"Attwood","13 Kings College Ct","house",4,900000.0,"2017-11-11","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/13-kings-college-court-attwood-vic/property-details-buy-residential-11374153/"
"Avondale Heights","15 Cannes Av","house",4,840000.0,"2017-11-12","auction sale","Harcourts Vision",""
"Avondale Heights","13 Cortina Pl","house",4,1030000.0,"2017-11-11","passed in at auction","Barry Plant","https://www.realestateview.com.au/real-estate/13-cortina-place-avondale-heights-vic/property-details-buy-residential-11288001/"
"Avondale Heights","42 Ridge Dr","house",3,790000.0,"2017-11-11","passed in vendor bid","Little Real Estate","https://www.realestateview.com.au/real-estate/42-ridge-drive-avondale-heights-vic/property-details-buy-residential-11381447/"
"Avondale Heights","16 Sovereign Way","house",3,782500.0,"2017-11-11","auction sale","Brad Teal","https://www.realestateview.com.au/real-estate/16-sovereign-way-avondale-heights-vic/property-details-buy-residential-11381325/"
"Avondale Heights","3 Karen Ct","house",3,1100000.0,"2017-10-12","sold before auction","Moonee Valley RE",""
"Avondale Heights","35 Rogerson St","house",3,"","2017-11-11","passed in at auction","Brad Teal","https://www.realestateview.com.au/real-estate/35-rogerson-street-avondale-heights-vic/property-details-buy-residential-11361459/"
"Bacchus Marsh","2 Leila Ct","house",3,450000.0,"2017-11-04","sold before auction","First National Rayner","https://www.realestateview.com.au/real-estate/2-leila-court-bacchus-marsh-vic/property-details-sold-residential-11437046/"
"Balaclava","4 Hawsleigh Av","house",4,2302000.0,"2017-11-12","auction sale","McGrath St Kilda","https://www.realestateview.com.au/real-estate/4-hawsleigh-avenue-balaclava-vic/property-details-buy-residential-11382058/"
"Balaclava","4/45 Nelson St","apartment",1,600000.0,"2017-11-11","auction sale","Buxton","https://www.realestateview.com.au/real-estate/4-45-nelson-street-balaclava-vic/property-details-buy-residential-11388582/"
"Balaclava","1/11 The Avenue","apartment",2,532000.0,"2017-11-11","auction sale","Gary Peer & Associates",""
"Balaclava","5/44 The Avenue","apartment",2,500000.0,"2017-11-11","passed in vendor bid","Oak Estate Agents","https://www.realestateview.com.au/real-estate/5-44-the-avenue-balaclava-vic/property-details-buy-residential-11373298/"
"Balaclava","37 Elm Gr","house",3,"","2017-11-12","auction sale","Kay & Burton","https://www.realestateview.com.au/real-estate/37-elm-grove-balaclava-vic/property-details-buy-residential-11383194/"
"Ballarat Central","12 Baird St","house",3,355000.0,"2017-11-06","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/12-baird-street-ballarat-central-vic/property-details-sold-residential-11267399/"
"Ballarat Central","315 Ripon St.S","house",3,343000.0,"2017-11-06","auction sale","Ray White Ballarat",""
"Ballarat Central","9 Errard St.S","house",4,"","2017-11-07","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/9-errard-street-south-ballarat-central-vic/property-details-sold-residential-11124931/"
"Ballarat East","38 Princes St.N","house",0,315000.0,"2017-10-20","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/38-princes-street-north-ballarat-east-vic/property-details-sold-residential-11136550/"
"Ballarat North","104 Moola St","house",4,408500.0,"2017-10-23","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/104-moola-street-ballarat-north-vic/property-details-sold-residential-11270441/"
"Balwyn","122 Belmore Rd","house",3,1725000.0,"2017-11-11","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/122-belmore-road-balwyn-vic/property-details-buy-residential-11391637/"
"Balwyn","2/115 Strabane Av","townhouse",3,1340000.0,"2017-11-11","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-115-strabane-avenue-balwyn-vic/property-details-buy-residential-11379981/"
"Balwyn","8/34 Weir St","unit",2,530000.0,"2017-11-11","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/8-34-weir-street-balwyn-vic/property-details-buy-residential-11381537/"
