"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","200 Nicholson St","house",2,1012500.0,"2016-05-28","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/secret-place-ask-agent-abbotsford-vic/property-details-buy-residential-10263629/"
"Abbotsford","82/ 84 Trenerry Cr","apartment",2,970000.0,"2016-05-28","auction sale","Biggin & Scott","http://www.realestateview.com.au/real-estate/82-84-trenerry-crescent-abbotsford-vic/property-details-sold-residential-10188110/"
"Abbotsford","4/ 328 Johnston St","apartment",2,"","2016-05-28","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/4-328-johnston-street-abbotsford-vic/property-details-buy-residential-10185154/"
"Aberfeldie","13 Batman St","house",5,2400000.0,"2016-05-28","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/13-batman-street-aberfeldie-vic/property-details-sold-residential-10147608/"
"Aberfeldie","47 Clifton St","house",4,1350000.0,"2016-05-28","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/47-clifton-street-aberfeldie-vic/property-details-buy-residential-10186087/"
"Airport West","1/ 56 Creswell Av","townhouse",3,655000.0,"2016-05-19","private sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-56-creswell-avenue-airport-west-vic/property-details-sold-residential-8918172/"
"Albert Park","6 Brooke St","house",2,980000.0,"2016-05-28","auction sale","Greg Hocking Holdsworth",""
"Albert Park","5 Reed St","house",3,"","2016-05-28","auction sale","Greg Hocking Holdsworth",""
"Albert Park","7 Herbert Pl","house",2,"","2016-05-20","sold before auction","Marshall White & Co",""
"Albert Park","8 Kerferd Pl","house",4,"","2016-05-16","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/8-kerferd-place-albert-park-vic/property-details-buy-residential-10185611/"
"Albion","14 Coolamon St","house",2,572000.0,"2016-05-28","auction sale","Bells Real Estate",""
"Albion","8/ 6 Ridley St","unit",1,145000.0,"2016-05-28","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/8-6-ridley-street-albion-vic/property-details-buy-residential-10124327/"
"Alfredton","17 Dromana St","house",4,395000.0,"2016-05-19","private sale","Trevor Petrie RE","http://www.realestateview.com.au/real-estate/17-dromana-street-alfredton-vic/property-details-sold-residential-10092513/"
"Alfredton","23 Christine Av","house",4,293000.0,"2016-05-09","private sale","Ray White Ballarat","http://www.realestateview.com.au/real-estate/23-christine-avenue-alfredton-vic/property-details-sold-residential-10056820/"
"Alfredton","2 Peppertree Ct","house",0,475000.0,"2016-05-07","private sale","Harcourts Ballarat","http://www.realestateview.com.au/real-estate/2-peppertree-court-alfredton-vic/property-details-sold-residential-9999609/"
"Alfredton","16 Clovedale Av","house",4,325000.0,"2016-05-06","private sale","Trevor Petrie RE","http://www.realestateview.com.au/real-estate/16-clovedale-avenue-alfredton-vic/property-details-sold-residential-10118841/"
"Alfredton","8 Cardigan Av","house",0,305000.0,"2016-05-05","private sale","Harcourts Ballarat","http://www.realestateview.com.au/real-estate/8-cardigan-avenue-alfredton-vic/property-details-sold-residential-9675904/"
"Alfredton","3/ 1861 Sturt St","townhouse",3,354000.0,"2016-05-03","private sale","Trevor Petrie RE",""
"Altona","49 Bent St","house",3,1500000.0,"2016-05-28","auction sale","Barlow McEwan Tribe",""
"Altona","15 Kookaburra St","house",3,900000.0,"2016-05-28","auction sale","Sweeney","http://www.realestateview.com.au/real-estate/15-kookaburra-street-altona-vic/property-details-buy-residential-10180823/"
"Altona","29 Rose St","house",4,1780000.0,"2016-05-28","sold before auction","Greg Hocking Elly Partners",""
"Altona","1/ 63 Mcintyre Dr","house",4,575000.0,"2016-05-07","private sale","Gunn & Co","http://www.realestateview.com.au/real-estate/1-63-mcintyre-drive-altona-vic/property-details-sold-residential-10074945/"
"Altona","1/ 17 Kookaburra St","house",3,"","2016-05-12","private sale","hockingstuart",""
"Altona Meadows","31 Powlett St","house",4,530000.0,"2016-05-28","passed in vendor bid","Sweeney","http://www.realestateview.com.au/real-estate/31-powlett-street-altona-meadows-vic/property-details-buy-residential-10188680/"
"Altona North","10 Knapp St","house",3,625000.0,"2016-05-28","passed in at auction","Hunter French RE",""
"Altona North","29 Misten Av","house",3,770000.0,"2016-05-28","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/29-misten-avenue-altona-north-vic/property-details-sold-residential-10192923/"
"Armadale","17 Kooyong Rd","house",4,2000000.0,"2016-05-28","passed in vendor bid","Marshall White & Co","http://www.realestateview.com.au/real-estate/17-kooyong-road-armadale-vic/property-details-buy-residential-10187706/"
"Armadale","1/ 31 Mercer Rd","apartment",3,869000.0,"2016-05-28","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/1-31-mercer-road-armadale-vic/property-details-sold-residential-10184495/"
"Armadale","896 Malvern Rd","house",3,"","2016-05-28","auction sale","Kay & Burton","http://www.realestateview.com.au/real-estate/896-malvern-road-armadale-vic/property-details-sold-residential-10181477/"
"Armadale","15 Gladstone Av","house",3,"","2016-04-29","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/15-gladstone-avenue-armadale-vic/property-details-sold-residential-10170952/"
"Ascot Vale","1 Bloomfield Rd","house",3,1305000.0,"2016-05-28","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/1-bloomfield-road-ascot-vale-vic/property-details-sold-residential-10163140/"
"Ascot Vale","13/ 4-12 Fisher Pde","townhouse",3,670000.0,"2016-05-28","passed in vendor bid","Nelson Alexander","http://www.realestateview.com.au/real-estate/13-4-12-fisher-parade-ascot-vale-vic/property-details-buy-residential-10173521/"
"Ascot Vale","26 Milton St","house",3,932500.0,"2016-05-28","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/26-milton-street-ascot-vale-vic/property-details-buy-residential-10184539/"
"Ascot Vale","8 Selbourne St","house",3,1275000.0,"2016-05-28","auction sale","Maddison Estate Agents",""
"Ascot Vale","1 Nairn Av","house",2,1150000.0,"2016-05-17","private sale","Jellis Craig","http://www.realestateview.com.au/real-estate/1-nairn-avenue-ascot-vale-vic/property-details-sold-residential-10149177/"
"Ashburton","33 Highgate Gr","house",4,1790000.0,"2016-05-28","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/33-highgate-grove-ashburton-vic/property-details-buy-residential-10185768/"
"Ashburton","9 Pitt St","house",4,1950000.0,"2016-05-28","auction sale","Tim Dwyer Ashburton","http://www.realestateview.com.au/real-estate/9-pitt-street-ashburton-vic/property-details-buy-residential-10173518/"
"Ashburton","9 Ward St","house",3,1600000.0,"2016-05-28","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/9-ward-street-ashburton-vic/property-details-sold-residential-10166441/"
"Ashburton","54 Baker Pde","house",3,"","2016-05-28","auction sale","Marshall White & Co","http://www.realestateview.com.au/real-estate/54-baker-parade-ashburton-vic/property-details-sold-residential-10181915/"
"Ashburton","33 Sunderland Av","house",3,"","2016-05-22","private sale","Jellis Craig","http://www.realestateview.com.au/real-estate/33-sunderland-avenue-ashburton-vic/property-details-sold-residential-10156377/"
"Ashwood","21 Mountain Ash Av","house",3,1162000.0,"2016-05-28","auction sale","Eview Group Frankston","http://www.realestateview.com.au/real-estate/21-mountain-ash-avenue-ashwood-vic/property-details-buy-residential-10182842/"
"Ashwood","4 Newbury Ct","house",3,1200000.0,"2016-05-28","passed in vendor bid","Buxton","http://www.realestateview.com.au/real-estate/4-newbury-court-ashwood-vic/property-details-buy-residential-10178025/"
"Ashwood","13 Ashwood Dr","house",5,"","2016-05-28","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/13-ashwood-drive-ashwood-vic/property-details-sold-residential-10171314/"
"Ashwood","6 Clearview Cl","house",5,"","2016-05-28","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/6-clearview-close-ashwood-vic/property-details-sold-residential-10181142/"
"Aspendale","2/ 106 Station St","house",2,590000.0,"2016-05-28","passed in vendor bid","Ray White Mordialloc","http://www.realestateview.com.au/real-estate/2-106-station-street-aspendale-vic/property-details-buy-residential-10165401/"
"Aspendale","10 Ebb St","house",4,"","2016-05-28","auction sale","Buxton","http://www.realestateview.com.au/real-estate/10-ebb-street-aspendale-vic/property-details-buy-residential-10185900/"
"Aspendale Gardens","3 Langslow Rd","house",4,716000.0,"2016-05-24","sold before auction","Ray White Mordialloc","http://www.realestateview.com.au/real-estate/3-langslow-road-aspendale-gardens-vic/property-details-buy-residential-10193056/"
"Attwood","25 Maddingley Rd","house",4,840000.0,"2016-05-12","sold before auction","Barry Plant",""
"Avoca","5 Vinoca Rd","house",3,175000.0,"2016-05-21","private sale","Ballarat Real Estate Pty Ltd","http://www.realestateview.com.au/real-estate/5-vinoca-road-avoca-vic/property-details-sold-residential-9818394/"
"Avondale Heights","31 Barbara Cr","house",3,795000.0,"2016-05-28","auction sale","Moonee Valley RE",""
"Avondale Heights","1 Herbert St","house",3,840000.0,"2016-05-28","auction sale","Moonee Valley RE",""
"Avondale Heights","49 Rogerson St","house",3,795000.0,"2016-05-28","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/49-rogerson-street-avondale-heights-vic/property-details-sold-residential-10161819/"
"Avondale Heights","43 Skewes St","house",3,634000.0,"2016-05-28","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/43-skewes-street-avondale-heights-vic/property-details-buy-residential-10173119/"
"Avondale Heights","4 Glenside St","house",3,840000.0,"2016-05-20","private sale","Nelson Alexander",""
"Avondale Heights","51 Templewood Cr","house",4,1100000.0,"2016-05-20","private sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/51-templewood-crescent-avondale-heights-vic/property-details-sold-residential-9815637/"
"Avondale Heights","1 Templewood Cr","house",4,895000.0,"2016-05-19","private sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-templewood-crescent-avondale-heights-vic/property-details-sold-residential-10101340/"
"Bairnsdale","38 Anderson St","house",3,140000.0,"2016-05-28","passed in vendor bid","Elders Bairnsdale","http://www.realestateview.com.au/real-estate/38-anderson-street-bairnsdale-vic/property-details-buy-residential-10161265/"
"Bairnsdale","14 Morekana Cr","house",0,320000.0,"2016-05-02","private sale","Elders Bairnsdale",""
"Bairnsdale","100 Jensens Rd","house",3,"","2016-05-28","passed in at auction","LJ Hooker Bairnsdale","http://www.realestateview.com.au/real-estate/100-jensens-road-bairnsdale-vic/property-details-buy-residential-10161374/"
"Balaclava","14 Nightingale St","house",1,818000.0,"2016-05-29","auction sale","David Marshall Property","http://www.realestateview.com.au/real-estate/14-nightingale-street-balaclava-vic/property-details-buy-residential-10148974/"
"Ballarat Central","1011 South St","house",3,291000.0,"2016-05-23","private sale","Ballarat Real Estate Pty Ltd","http://www.realestateview.com.au/real-estate/1011-south-street-ballarat-central-vic/property-details-sold-residential-10122159/"
"Ballarat East","9 Otway St.N","house",0,575000.0,"2016-05-20","private sale","Harcourts Ballarat",""
"Ballarat East","215 Rodier St","house",3,202500.0,"2016-05-18","private sale","Trevor Petrie RE",""
"Ballarat East","160 Victoria St","house",0,388000.0,"2016-04-29","private sale","Harcourts Ballarat","http://www.realestateview.com.au/real-estate/160-victoria-street-ballarat-east-vic/property-details-sold-residential-10054173/"
"Balwyn","6 Abercrombie St","house",3,1810000.0,"2016-05-28","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/6-abercrombie-street-balwyn-vic/property-details-buy-residential-10177160/"
"Balwyn","173 Balwyn Rd","house",3,1400000.0,"2016-05-28","passed in vendor bid","Marshall White & Co","http://www.realestateview.com.au/real-estate/173-balwyn-road-balwyn-vic/property-details-buy-residential-10163378/"
"Balwyn","1/ 74 Balwyn Rd","townhouse",3,1100000.0,"2016-05-28","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/1-74-balwyn-road-balwyn-vic/property-details-buy-residential-10180552/"
"Balwyn","112 Belmore Rd","house",5,3020000.0,"2016-05-28","passed in at auction","Jellis Craig","http://www.realestateview.com.au/real-estate/112-belmore-road-balwyn-vic/property-details-buy-residential-10181361/"
"Balwyn","2 Pembroke Rd","house",3,2950000.0,"2016-05-28","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/2-pembroke-road-balwyn-vic/property-details-sold-residential-10183920/"
"Balwyn","12 Wills St","house",5,2450000.0,"2016-05-28","auction sale","Marshall White & Co","http://www.realestateview.com.au/real-estate/12-wills-street-balwyn-vic/property-details-sold-residential-10185932/"
"Balwyn","23 Wills St","house",3,1912000.0,"2016-05-28","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/23-wills-street-balwyn-vic/property-details-buy-residential-10181024/"
"Balwyn","3/ 32 Deepdene Rd","townhouse",3,"","2016-05-28","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/3-32-deepdene-road-balwyn-vic/property-details-buy-residential-10180551/"
"Balwyn","51 Yarrbat Av","house",4,"","2016-05-28","auction sale","Marshall White & Co","http://www.realestateview.com.au/real-estate/51-yarrbat-avenue-balwyn-vic/property-details-buy-residential-10185791/"
"Balwyn","21 Kalimna St","house",5,"","2016-05-27","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/21-kalimna-street-balwyn-vic/property-details-sold-residential-10177142/"
"Balwyn","63 Yarrbat Av","house",6,"","2016-05-20","private sale","R T Edgar","http://www.realestateview.com.au/real-estate/63-yarrbat-avenue-balwyn-vic/property-details-buy-residential-10133629/"
"Balwyn North","30 Abbott St","house",5,1550000.0,"2016-05-28","passed in vendor bid","Fletchers","http://www.realestateview.com.au/real-estate/30-abbott-street-balwyn-north-vic/property-details-buy-residential-10181363/"
"Balwyn North","10A Bolinda Rd","townhouse",3,1330000.0,"2016-05-28","auction sale","Christopher Russell","http://www.realestateview.com.au/real-estate/10a-bolinda-road-balwyn-north-vic/property-details-buy-residential-9667394/"
"Balwyn North","15 Ellendale St","house",3,1038000.0,"2016-05-28","auction sale","Christopher Russell","http://www.realestateview.com.au/real-estate/15-ellendale-street-balwyn-north-vic/property-details-buy-residential-10189087/"
"Balwyn North","15 Maughan Pde","house",5,1660000.0,"2016-05-28","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/15-maughan-parade-balwyn-north-vic/property-details-buy-residential-10171320/"
"Balwyn North","61 Ray Dr","house",3,1260000.0,"2016-05-28","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/61-ray-drive-balwyn-north-vic/property-details-buy-residential-10187095/"
"Balwyn North","69 Aylmer St","house",5,"","2016-05-28","passed in at auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/69-aylmer-street-balwyn-north-vic/property-details-buy-residential-10185620/"
"Balwyn North","22 Highbury St","house",2,"","2016-05-28","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/22-highbury-street-balwyn-north-vic/property-details-buy-residential-10183214/"
"Balwyn North","41 Lansdown St","house",6,"","2016-05-28","auction sale","Noel Jones",""
"Balwyn North","5 Pam Av","house",3,"","2016-05-28","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/5-pam-avenue-balwyn-north-vic/property-details-buy-residential-10183610/"
"Balwyn North","8 Kalonga Rd","house",4,"","2016-05-26","private sale","Noel Jones","http://www.realestateview.com.au/real-estate/8-kalonga-road-balwyn-north-vic/property-details-buy-residential-10137924/"
"Balwyn North","38 Ferdinand Av","house",4,"","2016-05-24","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/38-ferdinand-avenue-balwyn-north-vic/property-details-sold-residential-10186108/"
"Balwyn North","5 Hosken St","house",4,"","2016-05-19","private sale","Jellis Craig","http://www.realestateview.com.au/real-estate/5-hosken-street-balwyn-north-vic/property-details-sold-residential-10118771/"
