"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","1/ 43 Abbotsford St","apartment",2,505000.0,"2017-05-27","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/1-43-abbotsford-street-abbotsford-vic/property-details-buy-residential-11029099/"
"Abbotsford","67 Yarra St","house",3,1402500.0,"2017-05-27","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/67-yarra-street-abbotsford-vic/property-details-buy-residential-11015525/"
"Aberfeldie","5 Rita St","house",5,2905000.0,"2017-05-27","auction sale","Rendina",""
"Airport West","163 Halsey St","house",2,650000.0,"2017-05-27","auction sale","Prime Property Partners Australia",""
"Airport West","12/ 16-20 Laurence Av","unit",2,475000.0,"2017-05-27","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/12-16-20-laurence-avenue-airport-west-vic/property-details-buy-residential-11014768/"
"Airport West","127A Parer Rd","townhouse",3,856000.0,"2017-05-27","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/127a-parer-road-airport-west-vic/property-details-buy-residential-11026358/"
"Albanvale","34 Angelique Gr","house",3,495000.0,"2017-05-27","auction sale","Biggin & Scott",""
"Albanvale","215 Taylors Rd","house",3,565000.0,"2017-05-20","private sale","Barry Plant",""
"Albert Park","96 Danks St","house",3,1505000.0,"2017-05-27","auction sale","Cayzer","https://www.realestateview.com.au/real-estate/96-danks-street-albert-park-vic/property-details-buy-residential-11026132/"
"Albert Park","99 Merton St","house",3,1900000.0,"2017-05-27","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/99-merton-street-albert-park-vic/property-details-buy-residential-11028208/"
"Albert Park","33 Withers St","house",2,1405000.0,"2017-05-27","auction sale","R T Edgar Albert Park","https://www.realestateview.com.au/real-estate/33-withers-street-albert-park-vic/property-details-buy-residential-11029510/"
"Albert Park","231 Bridport St.W","house",3,"","2017-05-27","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/231-bridport-street-west-albert-park-vic/property-details-buy-residential-11030487/"
"Albert Park","28 St Vincent St","house",3,"","2017-05-27","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/28-st-vincent-street-albert-park-vic/property-details-buy-residential-11028047/"
"Albion","1/ 44 Perth Av","unit",3,575000.0,"2017-05-27","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/1-44-perth-avenue-albion-vic/property-details-buy-residential-11021620/"
"Alfredton","8 Kewley Gr","house",0,380000.0,"2017-05-18","private sale","Harcourts Ballarat",""
"Alfredton","11 Merino Dr","house",0,435000.0,"2017-05-12","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/11-merino-drive-alfredton-vic/property-details-sold-residential-11046998/"
"Alphington","1/ 1 Harker St","townhouse",3,1150000.0,"2017-05-27","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/1-1-harker-street-alphington-vic/property-details-buy-residential-11031123/"
"Altona","7 Maidstone St","house",3,1030000.0,"2017-05-27","auction sale","Barlow McEwan Tribe",""
"Altona","70 Purnell St","house",3,1005000.0,"2017-05-27","auction sale","Barlow McEwan Tribe",""
"Altona","2/ 214 Queen St","townhouse",2,600000.0,"2017-05-19","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-214-queen-street-altona-vic/property-details-sold-residential-11012947/"
"Ararat","10 Eyre St","house",3,185000.0,"2017-05-23","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/10-eyre-street-ararat-vic/property-details-sold-residential-10732542/"
"Ararat","48 King St","house",3,115000.0,"2017-05-19","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/3-and-8-48-king-street-ararat-vic/property-details-sold-residential-10504861/"
"Ardeer","174 Forrest St","house",3,470000.0,"2017-05-27","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/174-forrest-street-ardeer-vic/property-details-buy-residential-10863119/"
"Armadale","8/ 74 Denbigh Rd","apartment",2,410000.0,"2017-05-27","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/8-74-denbigh-road-armadale-vic/property-details-buy-residential-11031405/"
"Armadale","28 Royal Cr","house",3,3650000.0,"2017-05-27","passed in vendor bid","Kay & Burton","https://www.realestateview.com.au/real-estate/28-royal-crescent-armadale-vic/property-details-buy-residential-11020068/"
"Armadale","5/ 6 St James Rd","apartment",2,590000.0,"2017-05-27","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/5-6-st-james-road-armadale-vic/property-details-buy-residential-11027280/"
"Armadale","31A Sutherland Rd","house",3,1850000.0,"2017-05-27","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/31a-sutherland-road-armadale-vic/property-details-buy-residential-11026863/"
"Armadale","1-2/ 55 Llaneast St","land",0,"","2017-05-27","passed in at auction","Marshall White & Co","https://www.realestateview.com.au/real-estate/1-2-55-llaneast-street-armadale-vic/property-details-buy-residential-10904842/"
"Ascot Vale","22 Langs Rd","house",2,1105000.0,"2017-05-27","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/22-langs-road-ascot-vale-vic/property-details-buy-residential-11033175/"
"Ascot Vale","2/ 18 Mascoma St","villa",1,320000.0,"2017-05-27","auction sale","Frank Dowling Essendon",""
"Ascot Vale","39 Middle St","house",3,1530000.0,"2017-05-27","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/39-middle-street-ascot-vale-vic/property-details-buy-residential-11029345/"
"Ascot Vale","30 Milton St","house",3,865000.0,"2017-05-27","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/30-milton-street-ascot-vale-vic/property-details-buy-residential-11028285/"
"Ascot Vale","13 Victory Pde","house",3,1370000.0,"2017-05-27","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/13-victory-parade-ascot-vale-vic/property-details-buy-residential-11028423/"
