"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","Bg12/8 Grosvenor St","apartment",2,440000.0,"2018-06-02","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/bg12-8-grosvenor-street-abbotsford-vic/property-details-buy-residential-11851236/"
"Abbotsford","4/3 Princes St","townhouse",2,830000.0,"2018-06-01","sold before auction","Biggin & Scott","https://www.realestateview.com.au/real-estate/4-3-princes-street-abbotsford-vic/property-details-buy-residential-11846516/"
"Airport West","7 Hilbert Rd","house",4,780000.0,"2018-06-02","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/7-hilbert-road-airport-west-vic/property-details-buy-residential-11839421/"
"Airport West","8 Moorna Dr","house",1,680000.0,"2018-06-02","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/8-moorna-drive-airport-west-vic/property-details-buy-residential-11835441/"
"Airport West","2A Patrick Ct","townhouse",3,,"2018-06-02","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/2a-patrick-court-airport-west-vic/property-details-buy-residential-11845004/"
"Albert Park","44 Barrett St","house",2,1250000.0,"2018-06-02","auction sale","R T Edgar Albert Park",""
"Albert Park","4/13 Young St","apartment",1,530000.0,"2018-06-02","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/4-13-young-street-albert-park-vic/property-details-buy-residential-11845199/"
"Albert Park","202 Kerferd Rd","house",3,,"2018-06-02","auction sale","Cayzer","https://www.realestateview.com.au/real-estate/202-kerferd-road-albert-park-vic/property-details-buy-residential-11846512/"
"Albion","39 Sydney St","house",3,585000.0,"2018-06-02","auction sale","hockingstuart",""
"Alfredton","116 Alfredton Dr","house",4,432000.0,"2018-05-31","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/116-alfredton-drive-alfredton-vic/property-details-buy-residential-11839289/"
"Alfredton","5 Elliotdale Ct","house",4,475600.0,"2018-05-28","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/5-elliotdale-court-alfredton-vic/property-details-buy-residential-11800306/"
"Alfredton","13-15 Indi St","house",5,450000.0,"2018-05-23","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/13-15-indi-street-alfredton-vic/property-details-buy-residential-11698406/"
"Alfredton","1804a Sturt St","house",0,535000.0,"2018-04-23","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/1804a-sturt-street-alfredton-vic/property-details-sold-residential-11735626/"
"Alfredton","1801 Sturt St","house",4,,"2018-06-02","auction sale","Professionals Ballarat",""
"Allansford","630 Hopkins Point Rd","house",4,,"2018-06-02","passed in vendor bid","Ray White Warrnambool","https://www.realestateview.com.au/real-estate/630-hopkins-point-road-allansford-vic/property-details-buy-residential-11818086/"
"Alphington","3 Roemer Cr","house",5,2930000.0,"2018-06-02","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/3-roemer-crescent-alphington-vic/property-details-buy-residential-11849755/"
"Altona North","58 Fifth Av","house",3,,"2018-06-02","passed in at auction","Raine & Horne Williamstown","https://www.realestateview.com.au/real-estate/58-fifth-avenue-altona-north-vic/property-details-buy-residential-11843669/"
"Ardeer","13B Rockbank Rd","house",3,610000.0,"2018-06-02","passed in at auction","hockingstuart",""
"Armadale","80 Kooyong Rd","house",4,1850000.0,"2018-06-02","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/80-kooyong-road-armadale-vic/property-details-buy-residential-11848323/"
"Armadale","3/42 Wattletree Rd","apartment",1,368500.0,"2018-06-02","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/3-42-wattletree-road-armadale-vic/property-details-buy-residential-11851011/"
"Armadale","40 Hampden Rd","house",4,,"2018-05-23","private sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/40-hampden-road-armadale-vic/property-details-sold-residential-11817682/"
"Ascot Vale","16 Federation St","house",3,985000.0,"2018-06-02","passed in at auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/16-federation-street-ascot-vale-vic/property-details-buy-residential-11834178/"
"Ascot Vale","9/52 Mirams St","apartment",2,508000.0,"2018-06-02","auction sale","Edward Thomas","https://www.realestateview.com.au/real-estate/9-52-mirams-street-ascot-vale-vic/property-details-buy-residential-11846643/"
