"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Albanvale","1 Bunya Dr","house",3,710000.0,"2018-05-30","private sale","Barry Plant",""
"Albanvale","3 Kellie Ct","house",4,,"2018-06-09","passed in vendor bid","Elite RE",""
"Albanvale","121 Mccann Dr","land",0,,"2018-06-09","passed in vendor bid","Elite RE",""
"Alfredton","115 Dyson Dr","house",3,410000.0,"2018-06-07","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/115-dyson-drive-alfredton-vic/property-details-buy-residential-11883363/"
"Alfredton","30 Canopy Av","house",4,395000.0,"2018-05-30","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/30-canopy-avenue-alfredton-vic/property-details-sold-residential-11850010/"
"Alfredton","25 Lancaster St","house",4,430000.0,"2018-05-15","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/25-lancaster-street-alfredton-vic/property-details-sold-residential-11704158/"
"Alfredton","7/7-9 Ningana St","unit",0,137500.0,"2018-05-01","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/7-7-9-ningana-street-alfredton-vic/property-details-buy-residential-11152903/"
"Altona","17 Akuna St","unit",2,490000.0,"2018-06-07","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/17-akuna-street-altona-vic/property-details-buy-residential-11859698/"
"Altona North","87A Seventh Av","house",4,1020000.0,"2018-06-09","passed in at auction","Biggin & Scott",""
"Ararat","41 Barkly St","house",4,185000.0,"2018-06-06","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/41-barkly-street-ararat-vic/property-details-buy-residential-11853939/"
"Ararat","26 Henderson St","house",4,417000.0,"2018-06-06","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/26-henderson-street-ararat-vic/property-details-buy-residential-11853940/"
"Avondale Heights","5 River Dr","house",3,838000.0,"2018-06-09","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/5-river-drive-avondale-heights-vic/property-details-buy-residential-11855401/"
"Ballarat Central","1/705 Sebastopol St","house",1,300000.0,"2018-05-25","private sale","PRD Nationwide",""
