"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","144 Vere St","house",2,1100000.0,"2015-12-19","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/144-vere-street-abbotsford/Property-Details-sold-residential-9802942"
"Abbotsford","40 Henry St","house",1,695000.0,"2015-12-16","auction sale","Kay & Burton","http://www.realestateview.com.au/Real-Estate/40-henry-street-abbotsford/Property-Details-sold-residential-9793624"
"Abbotsford","611/ 609 Victoria St","apartment",2,"","2015-12-19","passed in vendor bid","Pagan RE",""
"Abbotsford","Turner St","house",2,"","2015-12-14","private sale","Biggin & Scott","http://www.realestateview.com.au/Real-Estate/79-turner-street-abbotsford/Property-Details-sold-residential-9700624"
"Aberfeldie","6 Allan St","house",2,812000.0,"2015-12-19","auction sale","Brad Teal","http://www.realestateview.com.au/Real-Estate/6-allan-street-aberfeldie/Property-Details-sold-residential-8228640"
"Albert Park","26 Foote St","house",3,"","2015-12-19","auction sale","Marshall White & Co","http://www.realestateview.com.au/Real-Estate/26-foote-street-albert-park/Property-Details-sold-residential-9815170"
"Alfredton","O'shannassy Pde","house",0,500000.0,"2015-12-10","private sale","Harcourts Ballarat","http://www.realestateview.com.au/Real-Estate/45-o-shannassy-parade-alfredton/Property-Details-sold-residential-9786901"
"Alphington","7 View St","house",3,1293000.0,"2015-12-16","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/7-view-street-alphington/Property-Details-sold-residential-9797812"
"Alphington","Rex Av","apartment",2,"","2015-12-09","private sale","Miles RE","http://www.realestateview.com.au/Real-Estate/304-21-rex-avenue-alphington/Property-Details-sold-residential-9769660"
"Altona","1/ 165 Blyth St","unit",2,500000.0,"2015-12-19","passed in at auction","Burnham",""
"Altona","32 Sargood St","house",3,1375000.0,"2015-12-19","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/32-sargood-street-altona/Property-Details-sold-residential-9797489"
"Altona","Sargood St","townhouse",3,965000.0,"2015-12-14","private sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/25-sargood-street-altona/Property-Details-sold-residential-9623176"
"Altona Meadows","Hook St","house",3,420000.0,"2015-12-10","private sale","Sweeney",""
"Altona North","26 Ginifer Av","house",3,710000.0,"2015-12-19","auction sale","Sweeney","http://www.realestateview.com.au/Real-Estate/26-ginifer-avenue-altona-north/Property-Details-sold-residential-9804122"
"Altona North","58 Rosala Av","house",4,671000.0,"2015-12-19","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/58-rosala-avenue-altona-north/Property-Details-sold-residential-9812084"
"Altona North","Marion St","house",4,757000.0,"2015-12-15","private sale","Greg Hocking Lawson Partners",""
