"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Greensborough","6/11 William St","townhouse",3,645000.0,"2018-07-23","private sale","Buckingham & Co","https://www.realestateview.com.au/real-estate/6-11-william-street-greensborough-vic/property-details-buy-residential-11920658/"
"Greensborough","29 Fricker Av","house",4,770000.0,"2018-06-30","private sale","Buckingham & Co","https://www.realestateview.com.au/real-estate/29-fricker-avenue-greensborough-vic/property-details-sold-residential-11825834/"
"Greensborough","45 Adeline St","house",3,,"2018-08-04","passed in at auction","Barry Plant Bundoora","https://www.realestateview.com.au/real-estate/45-adeline-street-greensborough-vic/property-details-buy-residential-11979802/"
"Greensborough","33 Ridge Rd","house",4,,"2018-07-23","private sale","Morrison Kleeman","https://www.realestateview.com.au/real-estate/33-ridge-road-greensborough-vic/property-details-sold-residential-11956759/"
"Greenvale","33 Greenvale Dr","house",4,660500.0,"2018-08-04","auction sale","Harrison Parker","https://www.realestateview.com.au/real-estate/33-greenvale-drive-greenvale-vic/property-details-buy-residential-11979074/"
"Greenvale","10 Moffat Ct","house",4,860000.0,"2018-08-04","auction sale","Ray White Gladstone Park",""
"Greenvale","8 Skuse Ct","house",4,760000.0,"2018-08-04","sold before auction","Stockdale & Leggo Gladstone Park",""
"Greenvale","10 Gainford Ct","house",4,,"2018-08-04","passed in at auction","New Key Real Estate",""
"Hadfield","3 Lockley St","land",3,751250.0,"2018-08-04","auction sale","Claudio + Marwan Residential - Eview Group","https://www.realestateview.com.au/real-estate/3-lockley-street-hadfield-vic/property-details-buy-residential-11977023/"
"Hampton","1/5 Field St","house",3,1012000.0,"2018-08-05","auction sale","Upside Realty",""
"Hampton","9/39-41 Holyrood St","unit",2,830000.0,"2018-07-31","private sale","Buxton",""
"Hampton","67 Teddington Rd","house",2,,"2018-08-04","passed in vendor bid","Buxton","https://www.realestateview.com.au/real-estate/67-teddington-road-hampton-vic/property-details-buy-residential-11980068/"
"Hampton East","2A Dudley Av","townhouse",3,992000.0,"2018-08-04","passed in at auction","Hodges","https://www.realestateview.com.au/real-estate/2a-dudley-avenue-hampton-east-vic/property-details-buy-residential-11973909/"
"Hampton Park","34 Lauren Dr","house",4,479000.0,"2018-07-09","private sale","Ray White Cranbourne",""
"Hawthorn","1/47 Riversdale Rd","apartment",2,770000.0,"2018-08-04","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/1-47-riversdale-road-hawthorn-vic/property-details-buy-residential-11980624/"
"Hawthorn","2/20 Riversdale Rd","apartment",2,873500.0,"2018-08-04","auction sale","Marshall White One","https://www.realestateview.com.au/real-estate/2-20-riversdale-road-hawthorn-vic/property-details-sold-residential-11979591/"
"Hawthorn","18 Hunter St","house",3,,"2018-07-27","private sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/18-hunter-street-hawthorn-vic/property-details-sold-residential-11870986/"
"Hawthorn East","9/1-5 Auburn Gr","apartment",2,660250.0,"2018-08-04","auction sale","Woodards","https://www.realestateview.com.au/real-estate/9-1-5-auburn-grove-hawthorn-east-vic/property-details-buy-residential-11969991/"
"Hawthorn East","13/88 Victoria Rd","apartment",2,,"2018-08-04","passed in at auction","Woodards","https://www.realestateview.com.au/real-estate/13-88-victoria-road-hawthorn-east-vic/property-details-buy-residential-11970116/"
"Heathmont","177 Canterbury Rd","house",3,,"2018-08-04","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/177-canterbury-road-heathmont-vic/property-details-buy-residential-11961476/"
"Heidelberg","4.01/68-72 Cape St","apartment",2,1030000.0,"2018-07-30","private sale","Miles RE",""
"Heidelberg","56 Berkeley Av","house",5,1120000.0,"2018-07-12","private sale","Miles RE","https://www.realestateview.com.au/real-estate/56-berkeley-avenue-heidelberg-vic/property-details-sold-residential-11865456/"
"Heidelberg Heights","23 Bonar St","house",3,715500.0,"2018-08-04","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/23-bonar-street-heidelberg-heights-vic/property-details-buy-residential-11973125/"
"Heidelberg Heights","3/10 Francis St","unit",3,705000.0,"2018-07-31","sold before auction","hockingstuart",""
