"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","54 Charles St","house",3,1310000.0,"2018-06-16","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/54-charles-street-abbotsford-vic/property-details-buy-residential-11877195/"
"Abbotsford","8 Cooke St","house",3,1250000.0,"2018-06-16","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/8-cooke-street-abbotsford-vic/property-details-buy-residential-11877149/"
"Abbotsford","22 Lulie St","house",3,1130000.0,"2018-06-16","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/22-lulie-street-abbotsford-vic/property-details-buy-residential-11871025/"
"Abbotsford","26B/8 Trenerry Cr","apartment",1,550000.0,"2018-06-16","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/26b-8-trenerry-crescent-abbotsford-vic/property-details-buy-residential-11876455/"
"Abbotsford","15-17 James St","house",3,,"2018-06-16","passed in at auction","Harcourts Oakleigh","https://www.realestateview.com.au/real-estate/15-17-james-street-abbotsford-vic/property-details-buy-residential-11855722/"
"Airport West","4/38-40 Highlands Av","unit",3,595000.0,"2018-06-16","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/4-38-40-highlands-avenue-airport-west-vic/property-details-buy-residential-11868423/"
"Airport West","41 Walters Av","house",3,700000.0,"2018-06-16","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/41-walters-avenue-airport-west-vic/property-details-buy-residential-11871009/"
"Albert Park","91 Merton St","house",3,2000000.0,"2018-06-16","passed in at auction","hockingstuart","https://www.realestateview.com.au/real-estate/91-merton-street-albert-park-vic/property-details-buy-residential-11874672/"
"Albert Park","29 Philipson St","house",3,3000000.0,"2018-06-16","passed in vendor bid","Cayzer","https://www.realestateview.com.au/real-estate/29-philipson-street-albert-park-vic/property-details-buy-residential-11873557/"
"Albert Park","15/123 Beaconsfield Pde","apartment",2,1950000.0,"2018-06-12","private sale","Cayzer",""
