"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","78 Little Turner St","house",2,900000.0,"2015-12-05","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/Real-Estate/78-little-turner-street-abbotsford/Property-Details-sold-residential-9786674.html"
"Abbotsford","82 Little Turner St","house",2,955000.0,"2015-12-05","auction sale","Biggin & Scott","http://www.realestateview.com.au/Real-Estate/82-little-turner-street-abbotsford/Property-Details-sold-residential-9786675.html"
"Abbotsford","27 Raphael St","house",1,617500.0,"2015-12-05","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/27-raphael-street-abbotsford/Property-Details-sold-residential-9763004.html"
"Abbotsford","37 Studley St","house",2,850000.0,"2015-12-05","passed in vendor bid","Carlton RE",""
"Airport West","2/ 122 Bowes Av","unit",2,430000.0,"2015-12-05","passed in vendor bid","Nelson Alexander",""
"Airport West","34 Clydesdale Rd","house",4,1055000.0,"2015-12-05","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/34-clydesdale-road-airport-west/Property-Details-sold-residential-9740122.html"
"Airport West","38A Grange Rd","house",3,680000.0,"2015-12-05","passed in vendor bid","Nelson Alexander",""
"Airport West","43 Kingsley Rd","house",5,910000.0,"2015-12-05","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/43-kingsley-road-airport-west/Property-Details-sold-residential-9750989.html"
"Airport West","224 Parer Rd","house",3,550000.0,"2015-12-05","passed in vendor bid","Barry Plant",""
"Airport West","South Rd","townhouse",2,448000.0,"2015-12-04","private sale","Hodges","http://www.realestateview.com.au/Real-Estate/2-7-south-road-airport-west/Property-Details-sold-residential-9796662.html"
"Airport West","Coniston Av","unit",3,585000.0,"2015-11-27","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/3-51-coniston-avenue-airport-west/Property-Details-sold-residential-9713634.html"
"Airport West","3/ 135 Mcnamara Av","unit",3,445000.0,"2015-11-24","sold before auction","Paul McDonald","http://www.realestateview.com.au/Real-Estate/3-135-mcnamara-avenue-airport-west/Property-Details-sold-residential-9769523.html"
"Airport West","Kendale St","house",3,655000.0,"2015-11-10","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/4-kendale-street-airport-west/Property-Details-sold-residential-9316870.html"
