"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","9 Clarke St","house",4,1275000.0,"2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/9-clarke-street-abbotsford/Property-Details-sold-residential-9719479.html"
"Abbotsford","48 Lulie St","house",2,1055000.0,"2015-11-21","passed in at auction","Jellis Craig","http://www.realestateview.com.au/Real-Estate/48-lulie-street-abbotsford/Property-Details-sold-residential-9719445.html"
"Aberfeldie","11/ 37 St Kinnord St","apartment",1,260000.0,"2015-11-21","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/11-37-st-kinnord-street-aberfeldie/Property-Details-sold-residential-9721786.html"
"Aberfeldie","46B Arthur St","townhouse",3,970000.0,"2015-11-19","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/46b-arthur-street-aberfeldie/Property-Details-sold-residential-9717582.html"
"Aberfeldie","2/ 9 Muldowney St","unit",2,590000.0,"2015-11-13","sold before auction","Brad Teal","http://www.realestateview.com.au/Real-Estate/2-9-muldowney-street-aberfeldie/Property-Details-sold-residential-9711343.html"
"Airport West","1/ 81 Hawker St","unit",2,430500.0,"2015-11-21","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/1-81-hawker-street-airport-west/Property-Details-sold-residential-9728071.html"
"Airport West","38 Moorna Dr","house",4,720000.0,"2015-11-21","passed in at auction","Considine RE Strathmore",""
"Airport West","110 Roberts Rd","house",3,570000.0,"2015-11-21","passed in vendor bid","Nelson Alexander",""
"Airport West","157 Victory Rd","house",4,627500.0,"2015-11-21","passed in at auction","Barbounis Real Estate",""
"Airport West","2/ 41 York St","unit",2,470000.0,"2015-11-21","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/2-41-york-street-airport-west/Property-Details-sold-residential-9713552.html"
"Airport West","1/ 45 Coniston Av","townhouse",4,705000.0,"2015-11-19","sold before auction","Barry Plant","http://www.realestateview.com.au/Real-Estate/1-45-coniston-avenue-airport-west/Property-Details-sold-residential-9661696.html"
"Airport West","1 Alsom Pl","house",4,790000.0,"2015-11-18","passed in vendor bid","Barry Plant",""
"Airport West","Parer Rd","townhouse",2,367000.0,"2015-11-12","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/5-76-80-parer-road-airport-west/Property-Details-sold-residential-9649046.html"
"Airport West","3/ 45 Coniston Av","townhouse",2,497000.0,"2015-10-22","sold before auction","Barry Plant","http://www.realestateview.com.au/Real-Estate/3-45-coniston-avenue-airport-west/Property-Details-sold-residential-9662050.html"
"Airport West","129A Marshall Rd","land",0,"","2015-11-21","passed in at auction","YPA Estate Agents Gl...",""
"Airport West","19-21 Matthews Av","house",5,"","2015-11-21","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/19-21-matthews-avenue-airport-west/Property-Details-sold-residential-9675768.html"
"Airport West","48 Victory Rd","house",2,"","2015-11-05","sold before auction","Raine & Horne Essendon",""
"Albanvale","9 Tarlee Dr","house",4,360000.0,"2015-11-21","auction sale","Ray White St Albans","http://www.realestateview.com.au/Real-Estate/9-tarlee-drive-albanvale/Property-Details-sold-residential-9596712.html"
"Albert Park","33 Kerferd Rd","house",4,2800000.0,"2015-11-21","passed in vendor bid","Cayzer",""
"Albion","63 Derrimut St","house",2,460000.0,"2015-11-21","passed in at auction","Bells Real Estate",""
"Alfredton","Regent Ct","house",4,405000.0,"2015-11-19","private sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/5-regent-court-alfredton/Property-Details-sold-residential-9593598.html"
"Alfredton","Learmonth St","house",3,240000.0,"2015-11-16","private sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/1-learmonth-street-alfredton/Property-Details-sold-residential-9642134.html"
"Alfredton","Hunter St","house",4,431000.0,"2015-11-05","private sale","Wilson Estate Agents",""
"Alfredton","Merino Dr","house",0,540000.0,"2015-10-29","private sale","Harcourts Ballarat","http://www.realestateview.com.au/Real-Estate/19-merino-drive-alfredton/Property-Details-sold-residential-9702184.html"
"Alfredton","Prince Of Wales Blvd","land",0,"","2015-11-16","private sale","hockingstuart",""
"Alphington","Fulham Rd","apartment",1,325000.0,"2015-11-14","private sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/8-94-fulham-road-alphington/Property-Details-sold-residential-9730436.html"
"Alphington","Lucerne Cr","house",3,1670000.0,"2015-11-05","private sale","Nelson Alexander",""
"Altona","118 Blyth St","house",3,870000.0,"2015-11-21","auction sale","Compton Green",""
"Altona","11 Keeshan Ct","house",3,655000.0,"2015-11-21","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/11-keeshan-court-altona/Property-Details-sold-residential-9700518.html"
"Altona Meadows","1 Romeril Ct","house",3,"","2015-11-21","passed in at auction","hockingstuart",""
"Altona North","7/ 414-416 Blackshaws Rd","unit",2,305000.0,"2015-11-21","passed in at auction","Sweeney",""
"Altona North","2/ 1 Huxtable Av","unit",3,560000.0,"2015-11-21","passed in vendor bid","Greg Hocking Elly Partners",""
"Altona North","95 Seventh Av","house",4,655000.0,"2015-11-21","auction sale","hockingstuart",""
"Altona North","Hatherley Gr","house",3,540000.0,"2015-11-19","private sale","Gunn & Co",""
"Altona North","33A Fourth Av","house",3,720000.0,"2015-11-02","sold before auction","hockingstuart","http://www.realestateview.com.au/Real-Estate/33a-fourth-avenue-altona-north/Property-Details-sold-residential-9709120.html"
"Apollo Bay","56A Pascoe St","house",4,480000.0,"2015-11-20","sold before auction","Great Ocean Road Real Estate Apollo Bay","http://www.realestateview.com.au/Real-Estate/56a-pascoe-street-apollo-bay/Property-Details-sold-residential-9715804.html"
"Armadale","8A Barkly Av","house",3,"","2015-11-21","auction sale","Marshall White & Co","http://www.realestateview.com.au/Real-Estate/8a-barkly-avenue-armadale/Property-Details-sold-residential-9727144.html"
"Armadale","18/ 47 Denbigh Rd","apartment",2,"","2015-11-21","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/18-47-denbigh-road-armadale/Property-Details-sold-residential-9711972.html"
"Ascot Vale","8/ 133 Epsom Rd","apartment",1,288000.0,"2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/8-133-epsom-road-ascot-vale/Property-Details-sold-residential-9718660.html"
"Ascot Vale","30 Francis St","house",3,1517000.0,"2015-11-21","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/30-francis-street-ascot-vale/Property-Details-sold-residential-9713584.html"
"Ascot Vale","30 North St","house",3,893000.0,"2015-11-21","passed in at auction","Hodges",""
"Ascot Vale","3/ 27 Sandown Rd","townhouse",2,635000.0,"2015-11-21","passed in vendor bid","Edward Thomas",""
"Ascot Vale","3/ 36 Sandown Rd","townhouse",3,820000.0,"2015-11-21","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/3-36-sandown-road-ascot-vale/Property-Details-sold-residential-9706768.html"
"Ascot Vale","67 St Leonards Rd","land",0,1200000.0,"2015-11-21","passed in vendor bid","Barry Plant",""
"Ascot Vale","97 The Crescent","house",2,635000.0,"2015-11-21","passed in at auction","masonmeredith AGENT",""
"Ascot Vale","301/ 51 Sandown Rd","apartment",2,"","2015-11-21","passed in at auction","Barry Plant",""
"Ashburton","16 Annetta Av","house",4,1780000.0,"2015-11-21","auction sale","Noel Jones","http://www.realestateview.com.au/Real-Estate/16-annetta-avenue-ashburton/Property-Details-sold-residential-9717133.html"
"Ashburton","3/ 13 Ashburn Gr","villa",2,600000.0,"2015-11-21","auction sale","Tim Dwyer Ashburton","http://www.realestateview.com.au/Real-Estate/3-13-ashburn-grove-ashburton/Property-Details-sold-residential-9710558.html"
"Ashburton","3/ 278 High St","townhouse",3,995000.0,"2015-11-21","passed in at auction","Marshall White & Co",""
"Ashburton","3 Meaden St","house",3,1290000.0,"2015-11-16","sold before auction","Jellis Craig",""
"Ashburton","1 Meaden St","house",7,1290000.0,"2015-11-16","sold before auction","Jellis Craig",""
"Ashburton","11 Ambon St","house",3,"","2015-11-21","passed in at auction","Fletchers",""
"Ashwood","28 Cleveland Rd","house",3,980000.0,"2015-11-21","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/28-cleveland-road-ashwood/Property-Details-sold-residential-9712319.html"
"Ashwood","1 George St","land",0,1180000.0,"2015-11-21","auction sale","Fletchers","http://www.realestateview.com.au/Real-Estate/1-george-street-ashwood/Property-Details-sold-residential-9711349.html"
"Ashwood","2/ 15 George St","unit",4,800000.0,"2015-11-21","passed in at auction","Barry Plant",""
"Ashwood","1/ 9 Montrose St","unit",3,600000.0,"2015-11-21","passed in vendor bid","Jellis Craig",""
"Ashwood","1/ 6 Teck St","unit",3,750000.0,"2015-11-21","sold before auction","Buxton","http://www.realestateview.com.au/Real-Estate/1-6-teck-street-ashwood/Property-Details-sold-residential-9715524.html"
"Ashwood","15 Vannam Dr","house",4,1320000.0,"2015-11-16","sold before auction","Tim Dwyer Ashburton","http://www.realestateview.com.au/Real-Estate/15-vannam-drive-ashwood/Property-Details-sold-residential-9713874.html"
"Ashwood","2/ 22 Eildon Rd","townhouse",3,1000000.0,"2015-11-06","sold before auction","Buxton","http://www.realestateview.com.au/Real-Estate/2-22-eildon-road-ashwood/Property-Details-sold-residential-9716893.html"
"Ashwood","7 Temple St","house",4,"","2015-11-21","auction sale","Buxton","http://www.realestateview.com.au/Real-Estate/7-temple-street-ashwood/Property-Details-sold-residential-9716028.html"
"Aspendale","2/ 126 Nepean Hwy","unit",3,608000.0,"2015-11-21","auction sale","Barry Plant",""
"Aspendale Gardens","10 Llewellyn Av","house",3,655000.0,"2015-11-21","passed in at auction","Ray White Mordialloc","http://www.realestateview.com.au/Real-Estate/10-llewellyn-avenue-aspendale-gardens/Property-Details-sold-residential-9726649.html"
"Attwood","1 Allison Pl","house",3,400000.0,"2015-11-21","passed in at auction","YPA Estate Agents Gladstone Park",""
"Attwood","2 Chandos Pl","house",4,737000.0,"2015-11-21","auction sale","Brad Teal","http://www.realestateview.com.au/Real-Estate/2-chandos-place-attwood/Property-Details-sold-residential-9726494.html"
"Attwood","34 The Crest","house",3,435000.0,"2015-11-21","passed in at auction","Stockdale & Leggo Gladstone Park",""
"Attwood","5 Trumpington Tce","house",5,"","2015-11-21","passed in at auction","Stockdale & Leggo Gladstone Park",""
"Avondale Heights","2 Barbara Cr","house",4,780000.0,"2015-11-21","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/2-barbara-crescent-avondale-heights/Property-Details-sold-residential-9714476.html"
"Avondale Heights","1 Clough St","house",3,590000.0,"2015-11-21","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/1-clough-street-avondale-heights/Property-Details-sold-residential-9727318.html"
"Avondale Heights","5 Deutscher St","house",2,650000.0,"2015-11-21","auction sale","Brad Teal","http://www.realestateview.com.au/Real-Estate/5-deutscher-street-avondale-heights/Property-Details-sold-residential-9714741.html"
"Avondale Heights","68 Doyle St","house",3,600000.0,"2015-11-21","auction sale","Barry Plant","http://www.realestateview.com.au/Real-Estate/68-doyle-street-avondale-heights/Property-Details-sold-residential-9691290.html"
"Avondale Heights","56 Military Rd","house",2,570000.0,"2015-11-21","auction sale","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/56-military-road-avondale-heights/Property-Details-sold-residential-9748182.html"
"Bairnsdale","83 Williams Pde","house",3,280000.0,"2015-11-21","passed in vendor bid","Elders Bairnsdale",""
"Ballarat Central","Lyons St.S","unit",0,159000.0,"2015-11-06","private sale","Harcourts Ballarat",""
"Ballarat Central","Ascot Street Sth","townhouse",2,333000.0,"2015-11-01","private sale","Ray White Ballarat",""
"Ballarat East","Wilson St","house",4,550000.0,"2015-11-15","private sale","Ballarat Real Estate Pty Ltd","http://www.realestateview.com.au/Real-Estate/629-wilson-street-ballarat-east/Property-Details-sold-residential-9731838.html"
"Ballarat East","Eureka St","unit",0,200000.0,"2015-10-23","private sale","Harcourts Ballarat","http://www.realestateview.com.au/Real-Estate/6-405-eureka-street-ballarat-east/Property-Details-sold-residential-9359818.html"
"Ballarat North","Howitt St","townhouse",3,276500.0,"2015-11-05","private sale","Wilson Estate Agents",""
"Ballarat North","Havelock St","house",0,305000.0,"2015-11-04","private sale","Harcourts Ballarat","http://www.realestateview.com.au/Real-Estate/1211-havelock-street-ballarat-north/Property-Details-sold-residential-9735798.html"
"Ballarat North","Howitt St","house",3,325000.0,"2015-10-21","private sale","Wilson Estate Agents",""
"Balnarring","3110 Frankston-Flinders Rd","land",0,384000.0,"2015-11-22","auction sale","First National Bennetts",""
"Balnarring Beach","92A Bayview Rd","house",4,1800000.0,"2015-11-22","passed in vendor bid","R T Edgar",""
"Balwyn","4 Clapham St","unit",3,1473000.0,"2015-11-21","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/4-clapham-street-balwyn/Property-Details-sold-residential-9716529.html"
"Balwyn","19 Freeman St","house",5,2400000.0,"2015-11-21","passed in vendor bid","hockingstuart","http://www.realestateview.com.au/Real-Estate/19-freeman-street-balwyn/Property-Details-sold-residential-8899258.html"
"Balwyn","9 Kaleno Vw","house",4,1588000.0,"2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/9-kaleno-view-balwyn/Property-Details-sold-residential-9719978.html"
"Balwyn","31 Knutsford St","house",4,2700000.0,"2015-11-21","passed in at auction","Jellis Craig",""
"Balwyn","62 Rochester Rd","house",4,1881000.0,"2015-11-21","auction sale","Fletchers","http://www.realestateview.com.au/Real-Estate/62-rochester-road-balwyn/Property-Details-sold-residential-9713948.html"
"Balwyn","107 Winmalee Rd","house",5,2025000.0,"2015-11-21","passed in at auction","R T Edgar","http://www.realestateview.com.au/Real-Estate/107-winmalee-road-balwyn/Property-Details-sold-residential-9718258.html"
"Balwyn","66 Gordon St","house",6,4880000.0,"2015-11-20","sold before auction","Philip Webb","http://www.realestateview.com.au/Real-Estate/66-gordon-street-balwyn/Property-Details-sold-residential-9699536.html"
"Balwyn","14 Sevenoaks St","house",3,4300000.0,"2015-11-18","passed in vendor bid","R T Edgar Boroondara",""
"Balwyn","Belmore Rd","house",4,3000000.0,"2015-11-06","private sale","Fletchers","http://www.realestateview.com.au/Real-Estate/66-belmore-road-balwyn/Property-Details-sold-residential-9273444.html"
"Balwyn","21 Beckett St","house",3,"","2015-11-19","sold before auction","Jellis Craig","http://www.realestateview.com.au/Real-Estate/21-beckett-street-balwyn/Property-Details-sold-residential-9717001.html"
"Balwyn","7 Lydia Ct","house",3,"","2015-11-13","sold before auction","Marshall White & Co",""
"Balwyn","Belmore Rd","house",3,"","2015-10-24","private sale","Fletchers","http://www.realestateview.com.au/Real-Estate/1-294-belmore-road-balwyn/Property-Details-sold-residential-9273446.html"
"Balwyn North","12 Agnes Av","house",3,2100000.0,"2015-11-21","passed in at auction","Fletchers",""
"Balwyn North","7 Almond St","house",4,2135000.0,"2015-11-21","passed in at auction","Marshall White & Co",""
"Balwyn North","2/ 34 Aylmer St","house",3,1255000.0,"2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/2-34-aylmer-street-balwyn-north/Property-Details-sold-residential-9717391.html"
"Balwyn North","430 Balwyn Rd","house",5,1700000.0,"2015-11-21","passed in at auction","Jellis Craig",""
"Balwyn North","3/ 191 Balwyn Rd","townhouse",3,1080000.0,"2015-11-21","passed in at auction","hockingstuart",""
"Balwyn North","12 Citron Av","house",4,1200000.0,"2015-11-21","passed in vendor bid","Christopher Russell",""
"Balwyn North","21 Dight Av","house",4,1700000.0,"2015-11-21","passed in at auction","Fletchers","http://www.realestateview.com.au/Real-Estate/21-dight-avenue-balwyn-north/Property-Details-sold-residential-9713484.html"
"Balwyn North","340 Doncaster Rd","house",3,1400000.0,"2015-11-21","passed in vendor bid","Noel Jones",""
"Balwyn North","11 Illawarra Rd","house",3,1900000.0,"2015-11-21","passed in at auction","Noel Jones",""
"Balwyn North","22 Inverness Way","house",3,1750000.0,"2015-11-21","auction sale","Marshall White & Co","http://www.realestateview.com.au/Real-Estate/22-inverness-way-balwyn-north/Property-Details-sold-residential-9714291.html"
"Balwyn North","3-5 Loma Linda Gr","house",3,1600000.0,"2015-11-21","passed in vendor bid","Fletchers",""
"Balwyn North","3 Lynton Ct","house",3,1450000.0,"2015-11-21","passed in vendor bid","Fletchers",""
"Balwyn North","2 Osburn Av","house",3,2510000.0,"2015-11-21","passed in at auction","hockingstuart",""
"Balwyn North","18 Pavo St","house",5,2760000.0,"2015-11-21","passed in at auction","hockingstuart",""
"Balwyn North","4 Thea Av","house",3,1420000.0,"2015-11-21","auction sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/4-thea-avenue-balwyn-north/Property-Details-sold-residential-9714312.html"
"Balwyn North","2/ 5 Tower Rd","house",3,1330000.0,"2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/2-5-tower-road-balwyn-north/Property-Details-sold-residential-9727499.html"
"Balwyn North","Albury Rd","townhouse",3,1128000.0,"2015-11-13","private sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/1-25-albury-road-balwyn-north/Property-Details-sold-residential-9556660.html"
"Balwyn North","70 Aylmer St","house",3,1750000.0,"2015-11-10","sold before auction","Nelson Alexander","http://www.realestateview.com.au/Real-Estate/70-aylmer-street-balwyn-north/Property-Details-sold-residential-9719590.html"
"Balwyn North","20 Illawarra Rd","house",5,"","2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/20-illawarra-road-balwyn-north/Property-Details-sold-residential-9715791.html"
"Balwyn North","76 Mountain View Rd","house",3,"","2015-11-21","auction sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/76-mountain-view-road-balwyn-north/Property-Details-sold-residential-9716955.html"
"Balwyn North","20 Ferdinand Av","house",5,"","2015-11-19","sold before auction","Marshall White & Co","http://www.realestateview.com.au/Real-Estate/20-ferdinand-avenue-balwyn-north/Property-Details-sold-residential-9717397.html"
"Balwyn North","9 Hedderwick St","house",5,"","2015-11-16","sold before auction","Marshall White & Co","http://www.realestateview.com.au/Real-Estate/9-hedderwick-street-balwyn-north/Property-Details-sold-residential-9717104.html"
"Balwyn North","Highview Rd","house",5,"","2015-11-16","private sale","Jellis Craig","http://www.realestateview.com.au/Real-Estate/11-highview-road-balwyn-north/Property-Details-sold-residential-9690350.html"
"Balwyn North","Balwyn Rd","house",4,"","2015-11-13","private sale","hockingstuart","http://www.realestateview.com.au/Real-Estate/270-balwyn-road-balwyn-north/Property-Details-sold-residential-9654542.html"
"Bamawm","752 Bamawm Rd","land",3,300000.0,"2015-11-19","auction sale","Ray White Rural Rochester",""
"Bamawm","852 Singer Rd","land",4,450000.0,"2015-11-19","auction sale","Ray White Rural Rochester",""
"Bamawm","849 Singer Rd","land",3,"","2015-11-19","passed in at auction","Ray White Rural Rochester",""
"Baranduda","Lot 29/ 310 Whytes Rd","land",0,"","2015-11-17","sold before auction","Wodonga RE Best Agents",""
"Barrabool","460 Merrawarp Rd","house",3,1100000.0,"2015-11-21","passed in vendor bid","Whitford",""
"Bayswater","6A Ashby Ct","house",4,615000.0,"2015-11-21","passed in at auction","Ray White Wantirna",""
"Bayswater","2 Ernest St","house",3,560000.0,"2015-11-21","auction sale","Ray White Bayswater","http://www.realestateview.com.au/Real-Estate/2-ernest-street-bayswater/Property-Details-sold-residential-9730863.html"
"Bayswater","3 Harris Gr","house",3,965000.0,"2015-11-21","auction sale","Ray White Bayswater","http://www.realestateview.com.au/Real-Estate/3-harris-grove-bayswater/Property-Details-sold-residential-9709938.html"
"Bayswater","8 Mccomb Cr","house",4,725000.0,"2015-11-21","auction sale","Ray White Bayswater",""
"Bayswater","1/ 11 Ozone Rd","unit",3,565000.0,"2015-11-21","auction sale","ITRAK RE",""
"Bayswater","8C Imperial Av","house",3,550000.0,"2015-11-17","auction sale","Ray White Ferntree Gully","http://www.realestateview.com.au/Real-Estate/8c-imperial-avenue-bayswater/Property-Details-sold-residential-9728889.html"
"Bayswater North","54 Burdekin Av","house",4,700000.0,"2015-11-18","sold before auction","hockingstuart","http://www.realestateview.com.au/Real-Estate/54-burdekin-avenue-bayswater-north/Property-Details-sold-residential-9726617.html"
"Bayswater North","Jennifer Cr","house",4,631000.0,"2015-11-08","private sale","Fletchers","http://www.realestateview.com.au/Real-Estate/9-jennifer-crescent-bayswater-north/Property-Details-sold-residential-9697798.html"
"Beaumaris","4 Bellaire Ct","house",3,1617500.0,"2015-11-21","auction sale","Ray White Beaumaris","http://www.realestateview.com.au/Real-Estate/4-bellaire-court-beaumaris/Property-Details-sold-residential-9721949.html"
"Beaumaris","65 Scott St","house",4,1850000.0,"2015-11-21","passed in at auction","Hodges","http://www.realestateview.com.au/Real-Estate/65-scott-street-beaumaris/Property-Details-sold-residential-9402406.html"
"Beaumaris","Tramway Pde","house",4,1495000.0,"2015-11-19","private sale","Hodges","http://www.realestateview.com.au/Real-Estate/68-tramway-parade-beaumaris/Property-Details-sold-residential-9524326.html"
"Beaumaris","Coreen Av","house",3,1495000.0,"2015-11-17","private sale","Buxton","http://www.realestateview.com.au/Real-Estate/9-coreen-avenue-beaumaris/Property-Details-sold-residential-9585136.html"
"Beaumaris","Collins St","unit",1,323500.0,"2015-11-14","private sale","Hodges",""
"Beaumaris","Cromer St","house",4,1800000.0,"2015-11-14","private sale","Hodges","http://www.realestateview.com.au/Real-Estate/24-cromer-road-beaumaris/Property-Details-sold-residential-9572482.html"
"Belgrave","Eric St","house",3,689000.0,"2015-11-04","private sale","Vendor Advocacy Australia",""
"Belgrave","Belgrave Hallam Rd","house",4,368000.0,"2015-10-27","private sale","Bell RE Belgrave",""
"Bell Park","Furner Av","house",0,405000.0,"2015-11-13","private sale","Buxton","http://www.realestateview.com.au/Real-Estate/50-furner-avenue-bell-park/Property-Details-sold-residential-9697438.html"
"Belmont","48 Riverview Tce","house",3,696000.0,"2015-11-21","auction sale","Buxton","http://www.realestateview.com.au/Real-Estate/48-riverview-terrace-belmont/Property-Details-sold-residential-9717283.html"
"Belmont","73 Roslyn Rd","house",2,380000.0,"2015-11-21","auction sale","Vanders Real Estate",""
"Belmont","2/ 31 Watson Av","unit",3,379000.0,"2015-11-21","passed in at auction","Hodges",""
"Belmont","67 Laura Av","house",3,"","2015-11-21","auction sale","Maxwell Collins Geelong",""
"Belmont","28 Ursa St","unit",2,"","2015-11-21","passed in at auction","Hodges",""
"Benalla","20 Ascot Ct","house",4,"","2015-11-21","passed in at auction","Benalla Residential Rural Real Estate",""
"Bendigo","10 Bannerman St","house",1,275000.0,"2015-11-21","passed in vendor bid","Tweed Sutherland First National",""
"Bendigo","10A Bannerman St","land",0,245000.0,"2015-11-14","sold before auction","Tweed Sutherland First National",""
"Bendigo","81 Lily St","house",2,320000.0,"2015-11-06","sold before auction","PH Property","http://www.realestateview.com.au/Real-Estate/81-lily-street-bendigo/Property-Details-sold-residential-9713849.html"
"Bentleigh","40 Brewer Rd","house",2,826000.0,"2015-11-21","auction sale","Century 21 Wilson Pride",""
"Bentleigh","20 St James Av","house",4,1600000.0,"2015-11-21","auction sale","Gary Peer & Associates","http://www.realestateview.com.au/Real-Estate/20-st-james-avenue-bentleigh/Property-Details-sold-residential-9717014.html"
"Bentleigh","5/ 11 Whitmuir Rd","apartment",2,419000.0,"2015-11-21","auction sale","Gary Peer & Associates","http://www.realestateview.com.au/Real-Estate/5-11-whitmuir-road-bentleigh/Property-Details-sold-residential-9717072.html"
"Bentleigh","15 Delhi St","house",3,1186000.0,"2015-11-18","auction sale","Ray White Oakleigh","http://www.realestateview.com.au/Real-Estate/15-delhi-street-bentleigh/Property-Details-sold-residential-9658650.html"
"Bentleigh","Leckie St","house",4,1329000.0,"2015-11-17","private sale","Buxton","http://www.realestateview.com.au/Real-Estate/16-leckie-street-bentleigh/Property-Details-sold-residential-9365712.html"
"Bentleigh East","2/ 4 Bayview St","townhouse",3,925000.0,"2015-11-21","auction sale","Buxton","http://www.realestateview.com.au/Real-Estate/2-4-bayview-street-bentleigh-east/Property-Details-sold-residential-9727813.html"
"Bentleigh East","19 Celia St","house",3,1085000.0,"2015-11-21","auction sale","Buxton","http://www.realestateview.com.au/Real-Estate/19-celia-street-bentleigh-east/Property-Details-sold-residential-9712661.html"
