"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","27/11 Nicholson St","townhouse",0,1050000.0,"2018-03-02","private sale","Biggin & Scott",""
"Abbotsford","512/11 Flockhart St","apartment",1,380000.0,"2018-02-24","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/512-11-flockhart-street-abbotsford-vic/property-details-sold-residential-10417463/"
"Airport West","4/9 West Ct","townhouse",2,555000.0,"2018-03-10","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/4-9-west-court-airport-west-vic/property-details-buy-residential-11659970/"
"Airport West","45 Hillside Gr","house",0,,"2018-03-06","private sale","Nelson Alexander",""
"Albert Park","6-10 Draper St","land",0,,"2018-03-06","private sale","Greg Hocking Holdsworth",""
"Albert Park","29 Kerferd Rd","house",4,,"2018-03-05","private sale","Cayzer","https://www.realestateview.com.au/real-estate/29-kerferd-road-albert-park-vic/property-details-sold-residential-11463018/"
"Alfredton","11 Cuthberts Rd","house",4,370000.0,"2018-03-06","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/11-cuthberts-road-alfredton-vic/property-details-sold-residential-11587733/"
"Alfredton","2/106 Cuthberts Rd","flat/unit/apartment",2,243000.0,"2018-03-02","private sale","Doepel Lilley & Taylor Ballarat",""
"Alfredton","47 Chase Blvd","house",3,330000.0,"2018-02-26","private sale","Buxton",""
"Alfredton","82 Alfredton Dr","house",0,390000.0,"2018-02-21","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/82-alfredton-drive-alfredton-vic/property-details-buy-residential-11633000/"
"Alphington","41 Broomfield Av","house",4,1575000.0,"2018-03-10","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/41-broomfield-avenue-alphington-vic/property-details-buy-residential-11639565/"
"Alphington","37 Keith St","house",4,2158600.0,"2018-02-21","private sale","Miles RE","https://www.realestateview.com.au/real-estate/37-keith-street-alphington-vic/property-details-sold-residential-11642113/"
"Altona","14 Charles Rd","townhouse",3,740000.0,"2018-03-10","passed in at auction","hockingstuart","https://www.realestateview.com.au/real-estate/14-charles-road-altona-vic/property-details-buy-residential-11636209/"
"Altona Meadows","84 Myers Pde","house",4,761000.0,"2018-03-10","auction sale","Reliance Real Estate","https://www.realestateview.com.au/real-estate/84-myers-parade-altona-meadows-vic/property-details-buy-residential-11667125/"
"Altona North","2 Gilligan Rd","land",0,638000.0,"2018-03-10","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-gilligan-road-altona-north-vic/property-details-buy-residential-11678201/"
"Altona North","41 Paringa Rd","townhouse",3,795000.0,"2018-03-08","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/41-paringa-road-altona-north-vic/property-details-buy-residential-11653849/"
"Ararat","22 King St","house",3,182500.0,"2018-03-05","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/22-king-street-ararat-vic/property-details-buy-residential-11449520/"
"Ararat","139 Lambert St","house",3,265000.0,"2018-03-02","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/139-lambert-street-ararat-vic/property-details-sold-residential-11449652/"
"Ardeer","2/38 Holt St","townhouse",4,627000.0,"2018-03-05","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/2-38-holt-street-ardeer-vic/property-details-sold-residential-11466540/"
"Armadale","7/47 Kooyong Rd","apartment",1,329500.0,"2018-02-26","private sale","Hodges","https://www.realestateview.com.au/real-estate/7-47-kooyong-road-armadale-vic/property-details-buy-residential-11632792/"
"Armadale","744 High St","house",3,,"2018-03-10","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/744-high-street-armadale-vic/property-details-buy-residential-11662517/"
"Armadale","6/769 High St","townhouse",3,,"2018-03-06","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/6-769-high-street-armadale-vic/property-details-sold-residential-11662804/"
"Armstrong Creek","56 Warralily Blvd","house",4,590000.0,"2018-03-06","private sale","Barry Plant",""
"Armstrong Creek","12 Ploughman Pl","house",4,540000.0,"2018-03-02","private sale","Barry Plant",""
"Armstrong Creek","Lot 415 Darwen Av","land",0,215000.0,"2018-02-22","private sale","Buxton","https://www.realestateview.com.au/real-estate/lot-415-darwen-avenue-armstrong-creek-vic/property-details-buy-residential-11648576/"
"Ascot Vale","8/230 Ascot Vale Rd","unit",1,270000.0,"2018-02-22","private sale","Hodges","https://www.realestateview.com.au/real-estate/8-230-ascot-vale-road-ascot-vale-vic/property-details-sold-residential-11635320/"
"Aspendale Gardens","47 Branagan Dr","house",5,,"2018-03-10","passed in at auction","Barry Plant",""
"Aspendale Gardens","12 Branagan Dr","house",4,,"2018-03-03","private sale","Buxton","https://www.realestateview.com.au/real-estate/12-branagan-drive-aspendale-gardens-vic/property-details-sold-residential-11586541/"
"Avondale Heights","11 Riverside Av","house",5,1400000.0,"2018-03-09","private sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/11-riverside-avenue-avondale-heights-vic/property-details-buy-residential-11414699/"
"Axe Creek","623 Axe Creek Rd","house",3,,"2018-02-26","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/623-axe-creek-road-axe-creek-vic/property-details-buy-residential-11453824/"
"Bacchus Marsh","44 Riversdale Cr","land",0,229000.0,"2018-03-10","auction sale","Stockdale & Leggo Bacchus Marsh",""
"Balaclava","14/3 Balston St","apartment",1,328000.0,"2018-03-05","private sale","McGrath St Kilda","https://www.realestateview.com.au/real-estate/14-3-balston-street-balaclava-vic/property-details-buy-residential-11646889/"
"Ballarat East","102 Morres St","house",4,452500.0,"2018-03-10","auction sale","Ray White Ballarat","https://www.realestateview.com.au/real-estate/102-morres-street-ballarat-east-vic/property-details-buy-residential-11667666/"
"Ballarat East","44 Hopetoun St","house",5,400000.0,"2018-03-08","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/44-hopetoun-street-ballarat-east-vic/property-details-buy-residential-11411362/"
"Ballarat East","8 Fawkner St","house",3,341500.0,"2018-03-06","private sale","Ballarat Real Estate Pty Ltd",""
"Ballarat East","5/5 Kenny St","unit",3,295000.0,"2018-02-21","private sale","Buxton","https://www.realestateview.com.au/real-estate/5-5-kenny-street-ballarat-east-vic/property-details-sold-residential-11472034/"
"Ballarat North","1116 Havelock St","house",3,330000.0,"2018-03-09","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/1116-havelock-street-ballarat-north-vic/property-details-buy-residential-11626035/"
"Ballarat North","1009 Havelock St","house",0,295000.0,"2018-02-20","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/1009-havelock-street-ballarat-north-vic/property-details-buy-residential-11632295/"
"Balnarring","2914 Frankston Flinders Rd","house",5,3354000.0,"2018-03-11","auction sale","Kay & Burton","https://www.realestateview.com.au/real-estate/2914-frankston-flinders-road-balnarring-vic/property-details-buy-residential-11659743/"
"Balnarring","221 Myers Rd","house",4,,"2018-03-10","auction sale","Prentice Real Estate",""
"Balwyn","6/26 Gordon St","townhouse",2,,"2018-03-07","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/6-26-gordon-street-balwyn-vic/property-details-buy-residential-11626848/"
"Balwyn","14 Jersey St","house",4,,"2018-03-05","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/14-jersey-street-balwyn-vic/property-details-sold-residential-11636866/"
"Balwyn","2 Threadneedle St","house",5,,"2018-03-05","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/2-threadneedle-street-balwyn-vic/property-details-sold-residential-11638722/"
"Balwyn","55 Gordon St","house",5,,"2018-01-29","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/55-gordon-street-balwyn-vic/property-details-buy-residential-11361670/"
"Balwyn North","8 Corhampton Rd","house",3,2315000.0,"2018-03-10","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/8-corhampton-road-balwyn-north-vic/property-details-buy-residential-11662515/"
"Balwyn North","1/31 Hatfield St","unit",2,721000.0,"2018-03-10","auction sale","Buxton","https://www.realestateview.com.au/real-estate/1-31-hatfield-street-balwyn-north-vic/property-details-buy-residential-11656936/"
"Balwyn North","337 Doncaster Rd","house",5,1541000.0,"2018-03-08","private sale","Fletchers","https://www.realestateview.com.au/real-estate/337-doncaster-road-balwyn-north-vic/property-details-buy-residential-11641650/"
"Bangholme","30 Elms Rd","land",0,,"2018-03-10","passed in vendor bid","Ray White Carnegie","https://www.realestateview.com.au/real-estate/30-elms-road-bangholme-vic/property-details-buy-residential-11663770/"
"Barwon Heads","45 Thomson Dr","house",2,805000.0,"2018-03-10","auction sale","Bellarine Property","https://www.realestateview.com.au/real-estate/45-thomson-drive-barwon-heads-vic/property-details-sold-residential-11656227/"
"Bass","63-65 Hade Av","development site",3,440000.0,"2018-02-16","private sale","Eview Group Frankston","https://www.realestateview.com.au/real-estate/63-65-hade-avenue-bass-vic/property-details-sold-residential-11561686/"
"Baxter","1/23 Cerberus Rd","development site",3,495000.0,"2018-02-14","private sale","Eview Group Frankston","https://www.realestateview.com.au/real-estate/1-23-cerberus-road-baxter-vic/property-details-buy-residential-11542615/"
"Bayswater North","1/300 Bayswater Rd","unit",3,707200.0,"2018-03-10","auction sale","McGrath",""
"Beaufort","60 Ingram Rd","house",2,290000.0,"2018-03-05","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/60-ingram-lane-beaufort-vic/property-details-buy-residential-11671281/"
"Beaumaris","10 Reserve Rd","townhouse",4,,"2018-03-03","private sale","Hodges","https://www.realestateview.com.au/real-estate/10-reserve-road-beaumaris-vic/property-details-buy-residential-11471334/"
"Belmont","18 Kardinia St","house",3,635000.0,"2018-03-10","auction sale","Stockdale & Leggo South Barwon",""
"Belmont","40 Oxford St","house",2,610000.0,"2018-03-10","auction sale","Buxton","https://www.realestateview.com.au/real-estate/40-oxford-street-belmont-vic/property-details-buy-residential-11661169/"
"Benloch","1150 Burke And Wills Trk","house",3,,"2018-03-10","passed in at auction","R T Edgar",""
"Bentleigh","26 Hobart St","house",4,1359000.0,"2018-03-01","private sale","Buxton","https://www.realestateview.com.au/real-estate/26-hobart-street-bentleigh-vic/property-details-buy-residential-11667053/"
"Bentleigh","14 Higgins Rd","house",4,,"2018-02-28","private sale","Buxton","https://www.realestateview.com.au/real-estate/14-higgins-road-bentleigh-vic/property-details-sold-residential-11617824/"
"Bentleigh East","273 East Boundary Rd","house",3,1375000.0,"2018-03-08","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/273-east-boundary-road-bentleigh-east-vic/property-details-buy-residential-11628735/"
"Bentleigh East","12 Eastview Cr","house",4,1750000.0,"2018-02-13","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/12-eastview-crescent-bentleigh-east-vic/property-details-buy-residential-11400991/"
"Bentleigh East","2/7 Francesco St","unit",2,,"2018-03-10","passed in vendor bid","Inner Real Estate NEXTRE","https://www.realestateview.com.au/real-estate/2-7-francesco-street-bentleigh-east-vic/property-details-buy-residential-11644658/"
"Bentleigh East","2/45 Elizabeth St","house",2,,"2018-03-02","auction sale","Buxton","https://www.realestateview.com.au/real-estate/2-45-elizabeth-street-bentleigh-east-vic/property-details-buy-residential-11666967/"
"Bentleigh East","15 Millis Av","house",4,,"2018-02-27","private sale","Buxton","https://www.realestateview.com.au/real-estate/15-millis-avenue-bentleigh-east-vic/property-details-sold-residential-11264846/"
"Berwick","8 Bree Ct","house",3,630000.0,"2018-03-09","sold before auction","O'Brien Real Estate","https://www.realestateview.com.au/real-estate/8-bree-court-berwick-vic/property-details-buy-residential-11661307/"
"Beveridge","8 Belleview Cr","house",4,540000.0,"2018-03-02","private sale","Barry Plant",""
"Beveridge","45 Cascade Dr","house",0,,"2018-02-01","private sale","Barry Plant",""
"Birregurra","37 Bowden St","house",2,593000.0,"2018-03-10","auction sale","Charles Stewart & Co","https://www.realestateview.com.au/real-estate/37-bowden-street-birregurra-vic/property-details-buy-residential-11674602/"
"Bittern","Lot 8 Booker Rise","land",0,560000.0,"2018-03-07","private sale","Jacobs & Lowe Mornington",""
"Bittern","Lot 11 Booker Rise","land",0,555000.0,"2018-03-06","private sale","Jacobs & Lowe Mornington",""
"Bittern","Lot 7 Booker Rise","land",0,555000.0,"2018-03-06","private sale","Jacobs & Lowe Mornington",""
"Black Hill","6/508 Havelock St","house",2,260000.0,"2018-03-06","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/6-508-havelock-street-black-hill-vic/property-details-sold-residential-11544294/"
"Black Rock","1 Hunter Av","house",4,,"2018-03-05","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/1-hunter-avenue-black-rock-vic/property-details-buy-residential-11680138/"
"Blackburn","25 Blackburn Rd","house",4,,"2018-03-10","auction sale","Noel Jones","https://www.realestateview.com.au/real-estate/25-blackburn-road-blackburn-vic/property-details-buy-residential-11659705/"
"Blackburn North","28 Diana Dr","house",3,1150000.0,"2018-03-10","auction sale","Noel Jones","https://www.realestateview.com.au/real-estate/28-diana-drive-blackburn-north-vic/property-details-buy-residential-11655949/"
"Blackburn South","1 Garner Ct","house",4,1610000.0,"2018-03-10","auction sale","Woodards","https://www.realestateview.com.au/real-estate/1-garner-court-blackburn-south-vic/property-details-buy-residential-11647582/"
"Blackburn South","15 Illowra Wlk","townhouse",3,,"2018-03-10","passed in vendor bid","First National Real Estate KEW",""
"Blairgowrie","379 Melbourne Rd","house",3,,"2018-02-24","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/379-melbourne-road-blairgowrie-vic/property-details-sold-residential-11622291/"
"Blind Bight","7 Penguin Cl","house",3,530000.0,"2018-02-12","private sale","Ray White Cranbourne",""
"Boronia","2/374 Dorset Rd","unit",3,641000.0,"2018-03-10","auction sale","McGrath",""
"Boronia","51 Tolhurst Av","house",3,700000.0,"2018-02-26","private sale","Biggin & Scott Bayswater",""
"Boronia","3 Donald Ct","house",3,,"2018-03-10","auction sale","Ray White Bayswater","https://www.realestateview.com.au/real-estate/3-donald-court-boronia-vic/property-details-buy-residential-11664083/"
"Botanic Ridge","33 Limeburner Gr","house",4,910000.0,"2018-03-10","auction sale","Ray White Cranbourne",""
"Box Hill","1/2 Henry St","house",3,1280000.0,"2018-03-10","auction sale","Buxton","https://www.realestateview.com.au/real-estate/1-2-henry-street-box-hill-vic/property-details-buy-residential-11644766/"
"Box Hill","12/9-13 Ashted Rd","unit",2,412500.0,"2018-02-14","private sale","Fletchers","https://www.realestateview.com.au/real-estate/12-9-13-ashted-road-box-hill-vic/property-details-sold-residential-11484359/"
"Box Hill North","55 Kerrimuir St","house",3,,"2018-03-10","auction sale","Mandy Lee Real Estate",""
"Box Hill North","487 Middleborough Rd","house",2,,"2018-03-10","auction sale","Woodards",""
"Box Hill North","2/1 Saxton St","townhouse",3,,"2018-03-10","passed in at auction","R T Edgar Boroondara","https://www.realestateview.com.au/real-estate/2-1-saxton-street-box-hill-north-vic/property-details-buy-residential-11660453/"
"Box Hill North","14 Evan St","house",5,,"2018-03-05","private sale","Fletchers","https://www.realestateview.com.au/real-estate/14-evan-street-box-hill-north-vic/property-details-sold-residential-11638406/"
"Box Hill North","42 Woodhouse Gr","house",4,,"2018-03-05","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/42-woodhouse-grove-box-hill-north-vic/property-details-buy-residential-11643443/"
"Box Hill South","1 Massey St","house",5,,"2018-03-05","private sale","Fletchers","https://www.realestateview.com.au/real-estate/1-massey-street-box-hill-south-vic/property-details-buy-residential-11452232/"
"Brighton","2B Barkly St","townhouse",3,1900000.0,"2018-03-10","passed in vendor bid","Jellis Craig","https://www.realestateview.com.au/real-estate/2b-barkly-street-brighton-vic/property-details-buy-residential-11666770/"
"Brighton","9/35 Normanby St","apartment",2,715000.0,"2018-03-02","private sale","Marshall White One","https://www.realestateview.com.au/real-estate/9-35-normanby-street-brighton-vic/property-details-buy-residential-11453936/"
