"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","161 Charles St","house",1,727000.0,"2018-08-12","sold before auction","Biggin & Scott","https://www.realestateview.com.au/real-estate/161-charles-street-abbotsford-vic/property-details-sold-residential-12004506/"
"Abbotsford","111/56 Nicholson St","apartment",2,,"2018-08-18","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/111-56-nicholson-street-abbotsford-vic/property-details-sold-residential-12005499/"
"Aberfeldie","47 Combermere St","house",3,1600000.0,"2018-08-18","passed in at auction","McDonald Upton","https://www.realestateview.com.au/real-estate/47-combermere-street-aberfeldie-vic/property-details-buy-residential-11998958/"
"Aberfeldie","11A May St","house",4,1580000.0,"2018-08-18","passed in vendor bid","Barry Plant","https://www.realestateview.com.au/real-estate/11a-may-street-aberfeldie-vic/property-details-buy-residential-11998718/"
"Airport West","2/35 Green St","unit",2,587000.0,"2018-08-18","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/2-35-green-street-airport-west-vic/property-details-sold-residential-12007420/"
"Alfredton","8 Echo Pl","house",0,335000.0,"2018-08-05","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/8-echo-place-alfredton-vic/property-details-buy-residential-11982960/"
"Alfredton","24 Avoca Cr","house",5,598000.0,"2018-07-24","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/24-avoca-crescent-alfredton-vic/property-details-sold-residential-11982091/"
"Alfredton","12 Cardigan Av","house",0,413500.0,"2018-07-24","private sale","hockingstuart",""
"Alphington","5/35 Coate Av","apartment",2,640000.0,"2018-08-18","passed in at auction","Woodards","https://www.realestateview.com.au/real-estate/5-35-coate-avenue-alphington-vic/property-details-buy-residential-12001657/"
"Altona","4 Charles Rd","house",4,920000.0,"2018-08-18","auction sale","Greg Hocking Elly Partners",""
"Altona","12 Wren St","house",3,915000.0,"2018-07-31","sold before auction","Williams RE",""
"Altona Meadows","43 Roach Dr","house",3,704000.0,"2018-07-17","private sale","hockingstuart",""
"Altona North","68 Cooper Av","house",3,811000.0,"2018-08-18","auction sale","Greg Hocking Elly Partners",""
"Altona North","114B Seventh Av","townhouse",3,760000.0,"2018-08-03","private sale","hockingstuart",""
"Altona North","2/35 Delphin Av","townhouse",3,790000.0,"2018-07-26","sold before auction","Williams RE","https://www.realestateview.com.au/real-estate/2-35-delphin-avenue-altona-north-vic/property-details-sold-residential-11997290/"
"Altona North","3/2 Hearn St","apartment",2,,"2018-08-15","auction sale","hockingstuart",""
"Ardeer","42A Yallourn St","house",4,900000.0,"2018-08-18","passed in vendor bid","Bells Real Estate","https://www.realestateview.com.au/real-estate/42a-yallourn-street-ardeer-vic/property-details-buy-residential-12000468/"
"Ardeer","3/37 Yallourn St","unit",2,440000.0,"2018-07-25","private sale","hockingstuart",""
"Armadale","10/13 Denbigh Rd","apartment",2,866000.0,"2018-08-18","auction sale","RT Edgar","https://www.realestateview.com.au/real-estate/10-13-denbigh-road-armadale-vic/property-details-buy-residential-12002238/"
"Armadale","3/49 Kooyong Rd","apartment",1,345000.0,"2018-08-18","passed in vendor bid","Rodney Morley","https://www.realestateview.com.au/real-estate/3-49-kooyong-road-armadale-vic/property-details-buy-residential-12002215/"
"Armadale","5/18 Mercer Rd","unit",2,,"2018-08-18","passed in vendor bid","Marshall White One","https://www.realestateview.com.au/real-estate/5-18-mercer-road-armadale-vic/property-details-buy-residential-12003365/"
"Armadale","10/50A Wattletree Rd","apartment",2,,"2018-08-18","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/10-50a-wattletree-road-armadale-vic/property-details-buy-residential-12008581/"
"Ascot Vale","47 Francis St","house",3,980000.0,"2018-08-18","passed in at auction","McDonald Upton","https://www.realestateview.com.au/real-estate/47-francis-street-ascot-vale-vic/property-details-buy-residential-11999310/"
"Ascot Vale","11/37 Ascot Vale Rd","unit",2,,"2018-08-18","passed in at auction","Ray White Melbourne CBD",""
"Ashwood","18 Heather Av","house",3,940000.0,"2018-08-16","sold before auction","Gary Peer & Associates","https://www.realestateview.com.au/real-estate/18-heather-avenue-ashwood-vic/property-details-sold-residential-12002137/"
"Ashwood","208/8 Power Av","apartment",2,493000.0,"2018-07-29","private sale","Philip Webb","https://www.realestateview.com.au/real-estate/208-8-power-avenue-ashwood-vic/property-details-sold-residential-11976064/"
"Ashwood","7 Salisbury Rd","house",3,,"2018-08-18","passed in at auction","Buxton Ashburton","https://www.realestateview.com.au/real-estate/7-salisbury-road-ashwood-vic/property-details-buy-residential-12005373/"
"Aspendale","4 Wayne Ct","house",5,1350000.0,"2018-08-18","passed in at auction","Buxton",""
"Aspendale","7A Taylor Av","townhouse",4,,"2018-08-14","private sale","OBrien Real Estate",""
"Aspendale Gardens","10 Alexander Ct","house",4,920000.0,"2018-08-18","auction sale","Barry Plant",""
"Attwood","3 Shirra Pl","house",3,725000.0,"2018-08-18","auction sale","Ray White Gladstone Park",""
"Avondale Heights","21 Medfield Av","house",4,850000.0,"2018-08-18","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/21-medfield-avenue-avondale-heights-vic/property-details-sold-residential-12000271/"
"Avondale Heights","132A Templewood Cr","townhouse",3,940000.0,"2018-08-18","passed in vendor bid","Nelson Alexander","https://www.realestateview.com.au/real-estate/132a-templewood-crescent-avondale-heights-vic/property-details-buy-residential-11996756/"
"Bacchus Marsh","1 Fisken St","house",3,440000.0,"2018-08-18","auction sale","Arbee RE Bacchus Marsh",""
"Bakery Hill","17 Steinfeld St","house",0,310000.0,"2018-08-12","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/17-steinfeld-street-bakery-hill-vic/property-details-buy-residential-11940002/"
"Balaclava","3/36 The Avenue","apartment",2,620000.0,"2018-07-20","sold before auction","Gary Peer & Associates",""
"Ballarat Central","102 Mill St","house",2,560000.0,"2018-08-18","auction sale","Ray White Ballarat","https://www.realestateview.com.au/real-estate/102-mill-street-ballarat-central-vic/property-details-buy-residential-11990671/"
"Ballarat East","11 Newman St","house",3,315000.0,"2018-08-02","private sale","hockingstuart",""
"Ballarat North","30 Lilley St","house",0,490000.0,"2018-08-13","auction sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/30-lilley-street-ballarat-north-vic/property-details-buy-residential-12034619/"
"Balnarring Beach","9 Fethers Rd","house",2,945000.0,"2018-08-18","auction sale","Jacobs & Lowe Mornington","https://www.realestateview.com.au/real-estate/9-fethers-road-balnarring-beach-vic/property-details-buy-residential-11999836/"
"Balwyn","17 Birdwood St","land",0,1840000.0,"2018-08-18","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/17-birdwood-street-balwyn-vic/property-details-buy-residential-12007831/"
"Balwyn","15 Boston Rd","house",5,3600000.0,"2018-08-18","passed in vendor bid","Marshall White & Co","https://www.realestateview.com.au/real-estate/15-boston-road-balwyn-vic/property-details-buy-residential-12003569/"
"Balwyn","7 Bruce St","house",3,1800000.0,"2018-08-18","passed in at auction","Jellis Craig","https://www.realestateview.com.au/real-estate/7-bruce-street-balwyn-vic/property-details-buy-residential-12003375/"
"Balwyn","6/23 Gordon St","apartment",2,450000.0,"2018-08-18","passed in at auction","Buxton",""
"Balwyn","1/66 Metung St","unit",2,970000.0,"2018-08-18","passed in at auction","Noel Jones","https://www.realestateview.com.au/real-estate/1-66-metung-street-balwyn-vic/property-details-buy-residential-12002241/"
