"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Mont Albert North","83 Relowe Cr","house",3,1276000.0,"2016-11-19","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/83-relowe-crescent-mont-albert-north-vic/property-details-buy-residential-10592062/"
"Mont Albert North","1 Sewell St","house",3,760000.0,"2016-11-19","passed in at auction","Hamilton Finley","http://www.realestateview.com.au/real-estate/1-sewell-street-mont-albert-north-vic/property-details-buy-residential-10578782/"
"Mont Albert North","25 Kenmare St","house",4,2580000.0,"2016-11-18","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/25-kenmare-street-mont-albert-north-vic/property-details-buy-residential-10593314/"
"Mont Albert North","1/ 16 Francesca St","house",3,"","2016-11-16","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/1-16-francesca-street-mont-albert-north-vic/property-details-sold-residential-10593224/"
"Montmorency","2/ 36 Kirwana Gr","house",3,850000.0,"2016-11-19","auction sale","Mason White McDougall Hurstbridge","http://www.realestateview.com.au/real-estate/2-36-kirwana-grove-montmorency-vic/property-details-buy-residential-10626986/"
"Montmorency","62 Adam Cr","house",3,"","2016-11-15","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/62-adam-crescent-montmorency-vic/property-details-sold-residential-10609406/"
"Moolap","15 Manton Rd","house",3,464000.0,"2016-11-19","auction sale","Maxwell Collins Geelong","http://www.realestateview.com.au/real-estate/15-manton-road-moolap-vic/property-details-buy-residential-10599618/"
"Moonee Ponds","16/ 51 Buckley St","apartment",1,265000.0,"2016-11-19","passed in vendor bid","Brad Teal","http://www.realestateview.com.au/real-estate/16-51-buckley-street-moonee-ponds-vic/property-details-buy-residential-10592587/"
"Moonee Ponds","3 Pattison St","house",2,849000.0,"2016-11-19","auction sale","Brad Teal","http://www.realestateview.com.au/real-estate/3-pattison-street-moonee-ponds-vic/property-details-buy-residential-10581702/"
"Moonee Ponds","113 Park St","house",4,1950000.0,"2016-11-14","private sale","Brad Teal","http://www.realestateview.com.au/real-estate/113-park-street-moonee-ponds-vic/property-details-sold-residential-10623130/"
