"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","49 Lithgow St","house",3,1490000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/49-lithgow-street-abbotsford-vic/property-details-buy-residential-10899329/"
"Abbotsford","59A Turner St","house",3,1220000.0,"2017-04-01","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/59a-turner-street-abbotsford-vic/property-details-buy-residential-10897218/"
"Abbotsford","119B Yarra St","house",3,1420000.0,"2017-04-01","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/119b-yarra-street-abbotsford-vic/property-details-buy-residential-10903375/"
"Abbotsford","308/ 20 Shamrock St","unit",2,491000.0,"2017-03-20","private sale","Ray White Glen Waverley","https://www.realestateview.com.au/real-estate/308-20-shamrock-street-abbotsford-vic/property-details-sold-residential-10558315/"
"Abbotsford","85-91 Yarra St","land",0,"","2017-04-01","passed in at auction","Biggin & Scott","https://www.realestateview.com.au/real-estate/85-91-yarra-street-abbotsford-vic/property-details-buy-residential-10900655/"
"Aberfeldie","6 Arthur St","house",3,1176000.0,"2017-04-01","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/6-arthur-street-aberfeldie-vic/property-details-buy-residential-10886639/"
"Aberfeldie","68 Vida St","house",3,1515000.0,"2017-04-01","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/68-vida-street-aberfeldie-vic/property-details-buy-residential-10886399/"
"Aberfeldie","58 Waverley St","house",2,930000.0,"2017-03-28","private sale","Brad Teal","https://www.realestateview.com.au/real-estate/58-waverley-street-aberfeldie-vic/property-details-sold-residential-10859145/"
"Airport West","92 Clydesdale Rd","unit",2,670000.0,"2017-04-01","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/92-clydesdale-road-airport-west-vic/property-details-buy-residential-10904138/"
"Airport West","4/ 32 Earl St","townhouse",2,530000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/4-32-earl-street-airport-west-vic/property-details-buy-residential-10897854/"
"Airport West","3/ 74 Hawker St","unit",2,540000.0,"2017-04-01","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/3-74-hawker-street-airport-west-vic/property-details-buy-residential-10900675/"
"Airport West","1/ 26 Highridge Cr","unit",3,715000.0,"2017-03-29","sold before auction","Nelson Alexander","https://www.realestateview.com.au/real-estate/1-26-highridge-crescent-airport-west-vic/property-details-sold-residential-10901547/"
"Airport West","3 Olive Gr","house",3,826000.0,"2017-03-29","private sale","Brad Teal","https://www.realestateview.com.au/real-estate/3-olive-grove-airport-west-vic/property-details-sold-residential-10911139/"
"Albanvale","70 Conrad St","house",3,468000.0,"2017-03-14","private sale","Barry Plant",""
"Albanvale","1 Jackson Cirt","house",6,"","2017-04-01","passed in at auction","hockingstuart","https://www.realestateview.com.au/real-estate/1-jackson-circuit-albanvale-vic/property-details-buy-residential-10899114/"
"Albanvale","55 Tarlee Dr","house",3,"","2017-04-01","passed in at auction","YPA Estate Agents",""
"Albert Park","18 Mills St","house",3,1925000.0,"2017-04-01","auction sale","Cayzer","https://www.realestateview.com.au/real-estate/18-mills-street-albert-park-vic/property-details-buy-residential-10895613/"
"Albert Park","58 St Vincent St","house",3,1815000.0,"2017-04-01","auction sale","Cayzer","https://www.realestateview.com.au/real-estate/58-st-vincent-street-albert-park-vic/property-details-buy-residential-10886592/"
"Albert Park","50 Foote St","house",3,"","2017-03-16","private sale","Marshall White & Co",""
"Albion","3/ 15 Drummartin St","unit",3,515000.0,"2017-04-01","auction sale","Douglas Kay Sunshine",""
"Albion","3A Kororoit St","house",4,717000.0,"2017-04-01","auction sale","Bells Real Estate","https://www.realestateview.com.au/real-estate/3a-kororoit-street-albion-vic/property-details-buy-residential-10899150/"
"Albion","20 Mclean St","house",2,770000.0,"2017-04-01","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/20-mclean-street-albion-vic/property-details-buy-residential-10895253/"
"Alfredton","5 Sapphire Dr","house",4,440000.0,"2017-03-28","private sale","Buxton","https://www.realestateview.com.au/real-estate/5-sapphire-drive-alfredton-vic/property-details-sold-residential-10773302/"
"Alfredton","8 Amana Dr","townhouse",0,287500.0,"2017-03-12","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/8-amana-drive-alfredton-vic/property-details-sold-residential-10013477/"
"Alfredton","Lot 501 Prince Of Wales Blvd","land",0,"","2017-03-30","private sale","hockingstuart",""
"Alfredton","Lot 482 Distinction Dr","land",0,"","2017-03-29","private sale","hockingstuart",""
"Alfredton","Lot 480 Distinction Dr","land",0,"","2017-03-28","private sale","hockingstuart",""
"Alphington","55 Fulham Rd","house",2,1675000.0,"2017-04-01","auction sale","Miles RE","https://www.realestateview.com.au/real-estate/55-fulham-road-alphington-vic/property-details-buy-residential-10895762/"
"Alphington","41 Toolangi Rd","house",4,2008000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/41-toolangi-road-alphington-vic/property-details-buy-residential-10904783/"
"Altona","9 Delmont Av","house",2,860000.0,"2017-04-01","auction sale","Barlow McEwan Tribe",""
"Altona","8 Den Dulk Av","house",4,1408000.0,"2017-04-01","auction sale","Williams RE","https://www.realestateview.com.au/real-estate/8-den-dulk-avenue-altona-vic/property-details-buy-residential-10890243/"
"Altona","14/ 3-5 Robin St","unit",2,340000.0,"2017-03-29","sold before auction","hockingstuart","https://www.realestateview.com.au/real-estate/14-3-5-robin-street-altona-vic/property-details-sold-residential-10904909/"
"Altona","24 Grieve Pde","house",3,"","2017-03-29","private sale","hockingstuart",""
"Altona Meadows","57 Tatman Dr","house",4,702500.0,"2017-04-01","auction sale","Barry Plant",""
"Altona North","14 Seventh Av","house",3,720000.0,"2017-04-01","auction sale","Hunter French RE",""
"Anakie","2395 Ballan Rd","land",0,305000.0,"2017-04-01","passed in at auction","Burns Archer Realty",""
"Armadale","2/ 23-25 Ashleigh Rd","apartment",2,836000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/2-23-25-ashleigh-road-armadale-vic/property-details-buy-residential-10898901/"
"Armadale","6A Auburn Gr","house",2,2110000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/6a-auburn-grove-armadale-vic/property-details-buy-residential-10898918/"
"Armadale","746 High St","house",3,1386000.0,"2017-04-01","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/746-high-street-armadale-vic/property-details-buy-residential-10904422/"
"Armadale","14/ 25 Kooyong Rd","apartment",2,580000.0,"2017-04-01","passed in vendor bid","hockingstuart","https://www.realestateview.com.au/real-estate/14-25-kooyong-road-armadale-vic/property-details-buy-residential-10904272/"
"Armadale","6/ 38 Wattletree Rd","apartment",1,355000.0,"2017-04-01","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/6-38-wattletree-road-armadale-vic/property-details-buy-residential-10904183/"
"Armadale","104 Kooyong Rd","house",4,"","2017-03-30","auction sale","Kay & Burton","https://www.realestateview.com.au/real-estate/104-kooyong-road-armadale-vic/property-details-buy-residential-10897521/"
"Armstrong Creek","9 Coastside Dr","land",0,180000.0,"2017-03-24","private sale","McGrath","https://www.realestateview.com.au/real-estate/9-coastside-drive-armstrong-creek-vic/property-details-sold-residential-10731310/"
"Ascot Vale","8 The Grove","house",3,1123100.0,"2017-04-01","auction sale","Ray White Brunswick","https://www.realestateview.com.au/real-estate/8-the-grove-ascot-vale-vic/property-details-buy-residential-10891225/"
"Ascot Vale","21/ 106-110 Union Rd","apartment",2,495000.0,"2017-03-29","sold before auction","Brad Teal",""
"Ascot Vale","7/ 95 St Leonards Rd","apartment",1,275000.0,"2017-03-25","private sale","Raine & Horne Ascot Vale",""
"Ashburton","1/ 48 Karnak Rd","unit",3,1270000.0,"2017-04-01","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/1-48-karnak-road-ashburton-vic/property-details-sold-residential-10898932/"
"Ashburton","61A Victory Blvd","townhouse",3,1610000.0,"2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/61a-victory-boulevard-ashburton-vic/property-details-buy-residential-10899968/"
"Ashburton","1 Pitt St","house",4,"","2017-04-01","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/1-pitt-street-ashburton-vic/property-details-buy-residential-10899293/"
"Ashburton","108 Albion Rd","house",3,"","2017-03-27","private sale","Buxton","https://www.realestateview.com.au/real-estate/108-albion-road-ashburton-vic/property-details-sold-residential-10935567/"
"Ashwood","43 Douglas St","apartment",4,1435000.0,"2017-04-01","auction sale","Ray White Glen Waverley","https://www.realestateview.com.au/real-estate/43-douglas-street-ashwood-vic/property-details-buy-residential-10908642/"
"Ashwood","3/ 9 Reid St","townhouse",0,1330000.0,"2017-03-30","private sale","Buxton",""
"Ashwood","3/ 8 Silver Ash Av","townhouse",0,945000.0,"2017-03-30","private sale","Buxton",""
"Ashwood","1/ 8 Silver Ash Av","townhouse",0,1078000.0,"2017-03-30","private sale","Buxton",""
"Aspendale","4 Jirrah Ct","house",4,1431000.0,"2017-04-01","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/4-jirrah-court-aspendale-vic/property-details-buy-residential-10899846/"
"Aspendale","24/ 50 Nepean Hwy","apartment",2,"","2017-04-01","passed in at auction","Ray White Mordialloc",""
"Aspendale Gardens","8 Mangrove Ct","house",4,996000.0,"2017-04-01","auction sale","Ray White Mordialloc",""
