"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","16 William St","house",2,1310000.0,"2016-10-15","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/16-william-street-abbotsford-vic/property-details-buy-residential-10515620/"
"Abbotsford","A403/ 609 Victoria St","apartment",2,542000.0,"2016-10-07","private sale","Dingle Partners",""
"Abbotsford","A310/ 8 Grosvenor St","apartment",2,457000.0,"2016-09-23","private sale","MICM Real Estate","http://www.realestateview.com.au/real-estate/a310-8-grosvenor-street-abbotsford-vic/property-details-sold-residential-10496281/"
"Aberfeldie","25 Beaver St","house",2,1705000.0,"2016-10-15","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/25-beaver-street-aberfeldie-vic/property-details-buy-residential-10502428/"
"Aberfeldie","5 Aroona Ct","house",1,"","2016-10-15","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/5-aroona-court-aberfeldie-vic/property-details-buy-residential-10519481/"
"Airport West","71 Bowes Av","house",4,985000.0,"2016-10-15","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/71-bowes-avenue-airport-west-vic/property-details-buy-residential-10513399/"
"Airport West","2/ 40 Earl St","townhouse",3,700000.0,"2016-10-15","passed in at auction","Brad Teal","http://www.realestateview.com.au/real-estate/2-40-earl-street-airport-west-vic/property-details-buy-residential-10509710/"
"Airport West","3 Mcnamara Av","land",0,800000.0,"2016-10-15","auction sale","Compton Green","http://www.realestateview.com.au/real-estate/3-mcnamara-avenue-airport-west-vic/property-details-buy-residential-10573462/"
"Airport West","1/ 72-74 Parer Rd","townhouse",2,430000.0,"2016-10-15","passed in vendor bid","Barry Plant","http://www.realestateview.com.au/real-estate/1-72-74-parer-road-airport-west-vic/property-details-buy-residential-10505940/"
"Airport West","2/ 112 Parer Rd","unit",2,509500.0,"2016-10-14","sold before auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/2-112-parer-road-airport-west-vic/property-details-buy-residential-10499691/"
"Airport West","1/ 40 Mcnamara Av","townhouse",2,510000.0,"2016-09-20","private sale","Barry Plant","http://www.realestateview.com.au/real-estate/1-40-mcnamara-avenue-airport-west-vic/property-details-sold-residential-10458822/"
"Albanvale","201 Opie Rd","house",3,495000.0,"2016-10-13","sold before auction","YPA Estate Agents",""
