"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","31 Turner St","house",4,1542000.0,"2016-09-24","auction sale","Collins Simms","http://www.realestateview.com.au/real-estate/31-turner-street-abbotsford-vic/property-details-buy-residential-10466551/"
"Aberfeldie","1 Chisholm St","unit",3,726000.0,"2016-09-24","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/1-chisholm-street-aberfeldie-vic/property-details-buy-residential-10456129/"
"Aberfeldie","3/ 2 St Kinnord St","apartment",1,295501.0,"2016-09-15","private sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/3-2-st-kinnord-street-aberfeldie-vic/property-details-sold-residential-10437455/"
"Airport West","34 Moorna Dr","house",4,978000.0,"2016-09-24","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/34-moorna-drive-airport-west-vic/property-details-buy-residential-10456771/"
"Albanvale","1H Oakwood Rd","house",5,500000.0,"2016-09-24","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/1h-oakwood-road-albanvale-vic/property-details-buy-residential-10462296/"
"Albert Park","22 Little Page St","house",2,1250000.0,"2016-09-24","passed in vendor bid","Marshall White & Co","http://www.realestateview.com.au/real-estate/22-little-page-street-albert-park-vic/property-details-buy-residential-10469386/"
"Albert Park","49 Page St","house",3,2000000.0,"2016-09-24","passed in at auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/49-page-street-albert-park-vic/property-details-buy-residential-10467110/"
"Albert Park","16 Dinsdale St","house",3,"","2016-09-24","auction sale","Greg Hocking Holdsworth",""
"Albert Park","51 Graham St","house",2,"","2016-09-24","passed in at auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/51-graham-street-albert-park-vic/property-details-buy-residential-10468491/"
"Albert Park","143 Kerferd Rd","house",7,"","2016-09-24","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/143-kerferd-road-albert-park-vic/property-details-buy-residential-10464995/"
"Albert Park","3 Herbert St","house",3,"","2016-09-19","private sale","Cayzer","http://www.realestateview.com.au/real-estate/3-herbert-street-albert-park-vic/property-details-sold-residential-10429490/"
"Albion","25 Brisbane St","unit",2,463000.0,"2016-09-24","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/25-brisbane-street-albion-vic/property-details-buy-residential-10462312/"
"Albion","16/ 20 Talmage St","townhouse",2,319000.0,"2016-09-13","sold before auction","Barry Plant","http://www.realestateview.com.au/real-estate/16-20-talmage-street-albion-vic/property-details-sold-residential-10449252/"
"Alfredton","27 Kallioota St","house",3,282000.0,"2016-09-20","private sale","hockingstuart","http://www.realestateview.com.au/real-estate/27-kallioota-street-alfredton-vic/property-details-sold-residential-10423637/"
"Alfredton","Lot 321 Aspect Pde","land",0,"","2016-09-16","private sale","hockingstuart",""
"Alphington","7/ 1A Hamilton St","townhouse",2,630000.0,"2016-09-24","passed in vendor bid","Love Real Estate",""
"Alphington","7/ 7 Chandler Hwy","unit",0,650000.0,"2016-09-19","sold before auction","Brace RE Thornbury",""
"Alphington","1/ 17 Rex St","apartment",2,650000.0,"2016-09-19","private sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-17-rex-avenue-alphington-vic/property-details-sold-residential-10442494/"
"Altona Meadows","217 Merton St","house",4,540000.0,"2016-09-24","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/217-merton-street-altona-meadows-vic/property-details-buy-residential-10469670/"
"Altona Meadows","217 Merton St","house",4,540000.0,"2016-09-24","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/217-merton-street-altona-meadows-vic/property-details-buy-residential-10469670/"
"Altona Meadows","5 Weber Ct","house",4,480000.0,"2016-09-24","auction sale","LJ Hooker Werribee","http://www.realestateview.com.au/real-estate/5-weber-court-altona-meadows-vic/property-details-buy-residential-10459837/"
"Altona North","35 May St","house",2,610000.0,"2016-09-24","auction sale","R T Edgar Williamstown","http://www.realestateview.com.au/real-estate/35-may-street-altona-north-vic/property-details-buy-residential-10466628/"
"Altona North","35A May St","house",2,610000.0,"2016-09-24","private sale","R T Edgar Williamstown",""
"Ardeer","19 North St","house",3,565000.0,"2016-09-24","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/19-north-street-ardeer-vic/property-details-buy-residential-10456130/"
"Ardeer","22 Sunhill Ct","house",3,515000.0,"2016-09-24","auction sale","Bells Real Estate","http://www.realestateview.com.au/real-estate/22-sunhill-court-ardeer-vic/property-details-buy-residential-10459418/"
"Armadale","7/ 22 Derby St","apartment",1,450000.0,"2016-09-24","passed in at auction","hockingstuart","http://www.realestateview.com.au/real-estate/7-22-derby-street-armadale-vic/property-details-buy-residential-10469672/"
"Armstrong Creek","7 Tenneyson St","house",0,505000.0,"2016-09-16","private sale","Buxton","http://www.realestateview.com.au/real-estate/7-tenneyson-close-armstrong-creek-vic/property-details-sold-residential-10286985/"
"Ascot Vale","78 Francis St","house",3,1135000.0,"2016-09-24","auction sale","Brad Teal","http://www.realestateview.com.au/real-estate/78-francis-street-ascot-vale-vic/property-details-buy-residential-10458728/"
"Ascot Vale","25 Geddes St","house",4,950000.0,"2016-09-24","passed in vendor bid","Nelson Alexander","http://www.realestateview.com.au/real-estate/25-geddes-street-ascot-vale-vic/property-details-buy-residential-10466734/"
"Ascot Vale","106/ 246 Union Rd","apartment",3,790000.0,"2016-09-24","passed in at auction","Weda Partners",""
"Ashburton","1/ 1 Ramu Gr","townhouse",3,1400000.0,"2016-09-21","private sale","Jellis Craig","http://www.realestateview.com.au/real-estate/1-1-ramu-grove-ashburton-vic/property-details-sold-residential-10447070/"
"Ashwood","1/ 27 Electra Av","unit",2,675000.0,"2016-09-24","auction sale","Buxton","http://www.realestateview.com.au/real-estate/1-27-electra-avenue-ashwood-vic/property-details-buy-residential-10462481/"
"Ashwood","12 Leonard St","house",4,1350000.0,"2016-09-24","auction sale","Buxton","http://www.realestateview.com.au/real-estate/12-leonard-street-ashwood-vic/property-details-buy-residential-10460183/"
"Ashwood","4 Teck St","house",2,1110000.0,"2016-09-24","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/4-teck-street-ashwood-vic/property-details-sold-residential-10466594/"
"Ashwood","2/ 21 Lavidge Rd","townhouse",4,"","2016-09-24","passed in at auction","Buxton","http://www.realestateview.com.au/real-estate/2-21-lavidge-road-ashwood-vic/property-details-buy-residential-10468568/"
"Ashwood","1/ 20 Yooralla St","unit",2,"","2016-09-24","auction sale","Ray White Oakleigh","http://www.realestateview.com.au/real-estate/1-20-yooralla-street-ashwood-vic/property-details-buy-residential-10439823/"
"Aspendale","1/ 5 First Av","unit",2,702000.0,"2016-09-24","auction sale","iSell","http://www.realestateview.com.au/real-estate/1-5-first-avenue-aspendale-vic/property-details-buy-residential-10469940/"
"Aspendale","37 Larnook Cr","house",4,840000.0,"2016-09-24","passed in vendor bid","hockingstuart","http://www.realestateview.com.au/real-estate/37-larnook-crescent-aspendale-vic/property-details-buy-residential-10469157/"
"Aspendale","24 Longbeach Cl","townhouse",3,666000.0,"2016-09-24","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/24-longbeach-close-aspendale-vic/property-details-buy-residential-10458962/"
"Aspendale","73 Station St","house",4,970000.0,"2016-09-24","auction sale","hockingstuart","http://www.realestateview.com.au/real-estate/73-station-street-aspendale-vic/property-details-buy-residential-10465581/"
"Aspendale","62 Nirringa Av","house",4,891500.0,"2016-09-16","private sale","hockingstuart",""
"Aspendale Gardens","1/ 3 Mcintosh Ct","unit",2,450000.0,"2016-09-16","sold before auction","Ray White Mordialloc","http://www.realestateview.com.au/real-estate/1-3-mcintosh-court-aspendale-gardens-vic/property-details-sold-residential-10469457/"
"Attwood","11 Bateman St","land",0,385000.0,"2016-09-24","auction sale","Jason RE Tullamarine","http://www.realestateview.com.au/real-estate/11-bateman-street-attwood-vic/property-details-buy-residential-10455459/"
"Attwood","7A Harricks Cr","unit",3,536000.0,"2016-09-24","auction sale","YPA Estate Agents Gladstone Park",""
"Attwood","5 Peas Hill Ct","land",0,411000.0,"2016-09-24","auction sale","Real Estate City",""
"Attwood","27 Alanbrae Tce","house",4,"","2016-09-24","passed in at auction","YPA Estate Agents Gladstone Park",""
"Avondale Heights","1/ 24 Bordeaux St","unit",2,522500.0,"2016-09-24","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-24-bordeaux-street-avondale-heights-vic/property-details-buy-residential-10456856/"
"Avondale Heights","7 Landau Pl","house",4,990000.0,"2016-09-24","auction sale","Moonee Valley RE",""
"Avondale Heights","72 Military Rd","house",4,680000.0,"2016-09-24","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/72-military-road-avondale-heights-vic/property-details-buy-residential-10458625/"
"Avondale Heights","1/ 5 South Tce","unit",3,500000.0,"2016-09-24","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-5-south-terrace-avondale-heights-vic/property-details-buy-residential-10466193/"
"Avondale Heights","1/ 9A Weyburn Pl","land",0,380000.0,"2016-09-14","private sale","Barry Plant",""
"Bacchus Marsh","9 Mimulus Rd","house",4,"","2016-09-24","passed in vendor bid","Arbee RE Bacchus Marsh","http://www.realestateview.com.au/real-estate/9-mimulus-road-bacchus-marsh-vic/property-details-buy-residential-10439665/"
"Bairnsdale","126 Mckean St","house",3,245000.0,"2016-09-05","private sale","Elders Bairnsdale","http://www.realestateview.com.au/real-estate/126-mckean-street-bairnsdale-vic/property-details-sold-residential-10471616/"
"Balaclava","5/ 111 Hotham St","villa",2,"","2016-09-25","auction sale","Gary Peer & Associates",""
"Ballarat Central","2/ 421 Ascot St.S","townhouse",0,282500.0,"2016-09-16","private sale","Harcourts Ballarat",""
"Ballarat Central","412 Raglan St.S","house",0,232000.0,"2016-09-06","private sale","Harcourts Ballarat",""
"Ballarat Central","2/ 322 Ascot St.S","townhouse",2,247500.0,"2016-08-29","private sale","Wilson Estate Agents",""
"Ballarat East","51 Lovenear Gr","house",3,270000.0,"2016-09-21","private sale","Ballarat Real Estate Pty Ltd","http://www.realestateview.com.au/real-estate/51-lovenear-grove-ballarat-east-vic/property-details-buy-residential-10328933/"
"Balnarring","4 Hurley St","house",4,"","2016-09-25","passed in at auction","R T Edgar","http://www.realestateview.com.au/real-estate/4-hurley-street-balnarring-vic/property-details-buy-residential-10468451/"
"Balnarring","2952 Frankston Flinders Rd","house",3,"","2016-09-12","private sale","Jacobs & Lowe Mornington",""
"Balwyn","17&17A Jurang St","development site",4,3850000.0,"2016-09-24","auction sale","Nelson Alexander",""
"Balwyn","27 Metung St","house",4,2410000.0,"2016-09-24","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/27-metung-street-balwyn-vic/property-details-buy-residential-10472207/"
"Balwyn","4/ 35 Weir St","unit",2,650000.0,"2016-09-24","auction sale","Jellis Craig","http://www.realestateview.com.au/real-estate/4-35-weir-street-balwyn-vic/property-details-buy-residential-10471535/"
"Balwyn","3/ 347 Union Rd","unit",3,"","2016-09-24","passed in vendor bid","Mandy Lee Real Estate","http://www.realestateview.com.au/real-estate/3-347-union-road-balwyn-vic/property-details-buy-residential-10446387/"
"Balwyn","61 Balwyn Rd","house",5,"","2016-09-23","sold before auction","Marshall White & Co","http://www.realestateview.com.au/real-estate/61-balwyn-road-balwyn-vic/property-details-sold-residential-10465120/"
"Balwyn","6/ 11 Yarrbat Av","townhouse",3,"","2016-09-14","private sale","Jellis Craig","http://www.realestateview.com.au/real-estate/6-11-yarrbat-avenue-balwyn-vic/property-details-sold-residential-10382877/"
"Balwyn North","3/ 48 Alpha St","unit",2,1040000.0,"2016-09-24","auction sale","Fletchers","http://www.realestateview.com.au/real-estate/3-48-alpha-street-balwyn-north-vic/property-details-buy-residential-10468454/"
"Balwyn North","20 Kelvinside St","house",3,"","2016-09-24","passed in at auction","Barry Plant",""
