"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","16 Federation La","house",3,955000.0,"2018-02-17","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/16-federation-lane-abbotsford-vic/property-details-sold-residential-11614637/"
"Abbotsford","Bg11/8 Grosvenor St","apartment",2,440000.0,"2018-02-17","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/bg11-8-grosvenor-street-abbotsford-vic/property-details-sold-residential-11614105/"
"Abbotsford","31 Park St","house",3,1200000.0,"2018-02-17","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/31-park-street-abbotsford-vic/property-details-sold-residential-11613947/"
"Abbotsford","702/4 Acacia Pl","apartment",1,301000.0,"2018-01-31","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/702-4-acacia-place-abbotsford-vic/property-details-sold-residential-11332216/"
"Abbotsford","93 Nicholson St","townhouse",2,,"2018-02-14","sold before auction","Jellis Craig","https://www.realestateview.com.au/real-estate/93-nicholson-street-abbotsford-vic/property-details-buy-residential-11614131/"
"Abbotsford","A217/627 Victoria St","car park/car space",0,,"2018-02-12","private sale","McGrath Projects",""
"Aberfeldie","2/37 Afton St","house",3,856000.0,"2018-02-17","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/2-37-afton-street-aberfeldie-vic/property-details-buy-residential-11607203/"
"Airport West","2/6 Etzel St","unit",2,500000.0,"2018-02-17","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/2-6-etzel-street-airport-west-vic/property-details-buy-residential-11607152/"
"Airport West","50 Marshall Rd","townhouse",4,910000.0,"2018-02-17","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/50-marshall-road-airport-west-vic/property-details-buy-residential-11615890/"
"Airport West","2/174 Parer Rd","townhouse",2,560000.0,"2018-02-17","auction sale","Frank Dowling Essendon",""
"Airport West","23 Matthews Av","house",4,832000.0,"2018-02-15","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/23-matthews-avenue-airport-west-vic/property-details-sold-residential-11469981/"
"Airport West","1/174 Parer Rd","house",3,,"2018-02-17","auction sale","Ray White Brunswick","https://www.realestateview.com.au/real-estate/1-174-parer-road-airport-west-vic/property-details-buy-residential-11607321/"
"Albanvale","38 Appian Dr","house",3,520000.0,"2018-02-10","private sale","Barry Plant",""
"Albert Park","73 Ashworth St","house",2,1957500.0,"2018-02-17","auction sale","Greg Hocking Holdsworth",""
"Albert Park","24 Merton St","house",2,,"2018-02-17","auction sale","Greg Hocking Holdsworth",""
"Albion","1/7 Adelaide St","house",3,658000.0,"2018-02-17","auction sale","hockingstuart",""
"Alfredton","15 Creekstone Dr","house",4,445000.0,"2018-02-16","private sale","PRD Nationwide","https://www.realestateview.com.au/real-estate/15-creekstone-drive-alfredton-vic/property-details-sold-residential-11601231/"
"Alfredton","20 Signature Dr","house",3,440000.0,"2018-02-15","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/20-signature-drive-alfredton-vic/property-details-buy-residential-11407387/"
"Alfredton","19 Dromana St","house",3,380000.0,"2018-02-12","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/19-dromana-street-alfredton-vic/property-details-sold-residential-11523566/"
"Alfredton","1879 Sturt St","house",0,565000.0,"2018-02-12","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/1879-sturt-street-alfredton-vic/property-details-sold-residential-11649877/"
"Alfredton","6 Wensleydale Dr","house",4,450000.0,"2018-02-08","private sale","Buxton","https://www.realestateview.com.au/real-estate/6-wensleydale-drive-alfredton-vic/property-details-sold-residential-11587537/"
"Alfredton","12 Leopold St","house",3,359500.0,"2018-02-06","private sale","Bartrop RE","https://www.realestateview.com.au/real-estate/12-leopold-street-alfredton-vic/property-details-sold-residential-11586775/"
"Alfredton","25 Gillies St.S","house",3,,"2018-02-12","private sale","Buxton",""
"Altona","21A Blyth St","townhouse",4,1210000.0,"2018-02-17","passed in at auction","Greg Hocking Elly Partners",""
"Altona","12A Fisher Ct","townhouse",4,,"2018-02-16","sold before auction","hockingstuart","https://www.realestateview.com.au/real-estate/12a-fisher-court-altona-vic/property-details-buy-residential-11592688/"
"Altona","2/5 Mulga St","townhouse",3,,"2018-02-12","private sale","hockingstuart","https://www.realestateview.com.au/real-estate/2-5-mulga-street-altona-vic/property-details-buy-residential-11572283/"
"Altona Meadows","13 Dillon Ct","house",4,783000.0,"2018-02-17","auction sale","Barry Plant",""
"Altona Meadows","12 Point Cook Rd","house",3,,"2018-02-15","private sale","Barry Plant","https://www.realestateview.com.au/real-estate/12-point-cook-road-altona-meadows-vic/property-details-sold-residential-11517221/"
"Altona North","2/118 Second Av","townhouse",2,655000.0,"2018-02-17","private sale","R T Edgar",""
"Altona North","77 Second Av","house",4,990000.0,"2018-02-05","private sale","Gunn & Co","https://www.realestateview.com.au/real-estate/77-second-avenue-altona-north-vic/property-details-sold-residential-11673345/"
"Ararat","19 Wilmot St","house",3,140000.0,"2018-02-17","passed in vendor bid","Landmark Harcourts Ararat",""
"Ararat","24 King St","house",3,180000.0,"2018-02-05","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/24-king-street-ararat-vic/property-details-sold-residential-11523111/"
"Armadale","2/21 Ashleigh Rd","apartment",2,832000.0,"2018-02-17","auction sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/2-21-ashleigh-road-armadale-vic/property-details-buy-residential-11617191/"
"Armadale","7/377 Dandenong Rd","apartment",2,798000.0,"2018-02-17","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/7-377-dandenong-road-armadale-vic/property-details-buy-residential-11613925/"
"Armadale","11 New St","house",2,,"2018-02-17","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/11-new-street-armadale-vic/property-details-buy-residential-11610726/"
"Armadale","8 Rose St","house",3,,"2018-02-17","auction sale","hockingstuart","https://www.realestateview.com.au/real-estate/8-rose-street-armadale-vic/property-details-buy-residential-11615693/"
"Armadale","18/25 Kooyong Rd","apartment",2,,"2018-02-14","sold before auction","Abercromby's RE",""
"Armstrong Creek","30 Coastside Dr","house",4,575000.0,"2018-02-09","private sale","Buxton","https://www.realestateview.com.au/real-estate/30-coastside-drive-armstrong-creek-vic/property-details-sold-residential-11426725/"
"Arthurs Seat","36 Pindara Rd","land",0,575000.0,"2018-02-05","private sale","Kay & Burton","https://www.realestateview.com.au/real-estate/36-pindara-road-arthurs-seat-vic/property-details-sold-residential-10794994/"
"Ascot Vale","21A Elliott St","house",2,809000.0,"2018-02-17","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/21a-elliott-street-ascot-vale-vic/property-details-buy-residential-11595975/"
"Ascot Vale","8/123 Epsom Rd","apartment",2,420000.0,"2018-02-17","auction sale","Jellis Craig","https://www.realestateview.com.au/real-estate/8-123-epsom-road-ascot-vale-vic/property-details-buy-residential-11630359/"
"Ascot Vale","12 Mirams St","house",3,1550000.0,"2018-02-17","passed in at auction","Rendina",""
"Ascot Vale","4/188-190 The Parade","apartment",2,490000.0,"2018-02-17","passed in at auction","Biggin & Scott",""
"Ascot Vale","24/33 Fisher Pde","apartment",3,565000.0,"2018-02-14","private sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/24-33-fisher-parade-ascot-vale-vic/property-details-sold-residential-11592438/"
"Ascot Vale","3/43 Fisher Pde","unit",4,2500000.0,"2018-02-12","private sale","alexkarbon",""
"Ashbourne","21 Einsporns Rd","house",4,1020000.0,"2018-02-07","private sale","R T Edgar",""
"Ashburton","10 Highgate Gr","house",4,,"2018-02-17","auction sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/10-highgate-grove-ashburton-vic/property-details-buy-residential-11617066/"
"Ashwood","204/8 Power Av","apartment",2,,"2018-02-17","auction sale","Buxton Ashburton","https://www.realestateview.com.au/real-estate/204-8-power-avenue-ashwood-vic/property-details-buy-residential-11577534/"
"Avondale Heights","1A Arvern Av","house",3,775500.0,"2018-02-17","auction sale","Nelson Alexander","https://www.realestateview.com.au/real-estate/1a-arvern-avenue-avondale-heights-vic/property-details-buy-residential-11607242/"
