"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","97 Nicholson St","house",3,1350000.0,"2016-12-17","auction sale","Biggin & Scott","http://www.realestateview.com.au/real-estate/97-nicholson-street-abbotsford-vic/property-details-sold-residential-10672187/"
"Abbotsford","135/ 56 Nicholson St","townhouse",3,1145000.0,"2016-12-16","sold before auction","Jellis Craig","http://www.realestateview.com.au/real-estate/135-56-nicholson-street-abbotsford-vic/property-details-sold-residential-10671327/"
"Abbotsford","48 Abbostsford St","house",3,1511000.0,"2016-12-07","private sale","Jellis Craig",""
"Abbotsford","4 Church St","house",4,"","2016-12-17","passed in at auction","Biggin & Scott","http://www.realestateview.com.au/real-estate/4-church-street-abbotsford-vic/property-details-buy-residential-10672039/"
"Aberfeldie","14 Arthur St","house",4,1900000.0,"2016-12-17","passed in vendor bid","Nelson Alexander","http://www.realestateview.com.au/real-estate/14-arthur-street-aberfeldie-vic/property-details-buy-residential-10663110/"
"Aberfeldie","241 Buckley St","house",4,1275000.0,"2016-12-17","passed in at auction","Barry Plant","http://www.realestateview.com.au/real-estate/241-buckley-street-aberfeldie-vic/property-details-sold-residential-10664752/"
"Aberfeldie","31 Combermere St","house",5,2700000.0,"2016-12-17","passed in vendor bid","Nelson Alexander","http://www.realestateview.com.au/real-estate/31-combermere-street-aberfeldie-vic/property-details-buy-residential-10678253/"
"Airport West","42 Bedford St","house",5,1000000.0,"2016-12-17","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/42-bedford-street-airport-west-vic/property-details-buy-residential-10676714/"
"Airport West","1/ 26 Cameron St","townhouse",3,830000.0,"2016-12-17","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/1-26-cameron-street-airport-west-vic/property-details-sold-residential-10671702/"
"Airport West","50A Creswell Av","townhouse",3,950000.0,"2016-12-17","auction sale","Nelson Alexander","http://www.realestateview.com.au/real-estate/50a-creswell-avenue-airport-west-vic/property-details-sold-residential-10672758/"
"Airport West","476 Fullarton Rd","house",3,840000.0,"2016-12-17","auction sale","Barry Plant","http://www.realestateview.com.au/real-estate/476-fullarton-road-airport-west-vic/property-details-sold-residential-10668167/"
"Airport West","56A Grange Rd","house",3,670000.0,"2016-12-17","passed in at auction","Nelson Alexander","http://www.realestateview.com.au/real-estate/56a-grange-road-airport-west-vic/property-details-buy-residential-10675280/"
