"Suburb","AddressLine","Classification","NumberOfBedrooms","Price","OutcomeDate","Outcome","Agent","WebUrl"
"Abbotsford","4 Church St","house",4,1535000.0,"2017-03-04","private sale","Biggin & Scott","https://www.realestateview.com.au/real-estate/4-church-street-abbotsford-vic/property-details-sold-residential-10672039/"
"Abbotsford","420/ 88 Trenerry Cr","apartment",1,655000.0,"2017-03-01","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/420-88-trenerry-crescent-abbotsford-vic/property-details-sold-residential-10794282/"
"Airport West","5 El Reno Cr","house",3,780000.0,"2017-03-11","passed in vendor bid","Brad Teal","https://www.realestateview.com.au/real-estate/5-el-reno-crescent-airport-west-vic/property-details-buy-residential-10841143/"
"Albanvale","25 Albanvale Dr","house",3,"","2017-03-09","sold before auction","People In RE",""
"Albert Park","38 Merton St","house",3,"","2017-03-08","private sale","Marshall White & Co",""
"Albert Park","22 Young St","house",4,"","2017-03-03","private sale","Marshall White & Co",""
"Alfredton","1786 Sturt St","house",4,795000.0,"2017-03-08","private sale","Buxton","https://www.realestateview.com.au/real-estate/1786-sturt-street-alfredton-vic/property-details-sold-residential-10607755/"
"Alphington","107/ 21 Rex Av","apartment",2,700000.0,"2017-03-06","private sale","Miles RE",""
"Altona","54 Seves St","house",3,766000.0,"2017-03-11","auction sale","Williams RE","https://www.realestateview.com.au/real-estate/54-seves-street-altona-vic/property-details-buy-residential-10835771/"
"Altona North","1/ 256 Mason St","townhouse",2,640000.0,"2017-03-11","auction sale","Williams RE","https://www.realestateview.com.au/real-estate/1-256-mason-street-altona-north-vic/property-details-buy-residential-10837353/"
"Altona North","3/ 13 Stapley Cr","apartment",2,350000.0,"2017-02-23","sold before auction","Gunn & Co","https://www.realestateview.com.au/real-estate/3-13-stapley-crescent-altona-north-vic/property-details-sold-residential-10153137/"
"Anglesea","11 Lubel St","house",4,810000.0,"2017-03-10","sold before auction","Great Ocean Road Real Estate Anglesea","https://www.realestateview.com.au/real-estate/11-lubel-street-anglesea-vic/property-details-sold-residential-10831802/"
"Ardeer","21 Verdant Av","house",3,574000.0,"2017-02-16","sold before auction","Barry Plant","https://www.realestateview.com.au/real-estate/21-verdant-avenue-ardeer-vic/property-details-sold-residential-10843043/"
"Arthurs Seat","6 Bellingham Rd","house",4,2025000.0,"2017-03-04","private sale","R T Edgar","https://www.realestateview.com.au/real-estate/6-bellingham-road-arthurs-seat-vic/property-details-sold-residential-10881112/"
"Ascot Vale","11 Ascot St","house",2,955000.0,"2017-03-11","auction sale","Woodards","https://www.realestateview.com.au/real-estate/11-ascot-street-ascot-vale-vic/property-details-buy-residential-10844362/"
"Ashburton","25 Nicholas St","house",3,"","2017-03-11","auction sale","Ray White","https://www.realestateview.com.au/real-estate/25-nicholas-street-ashburton-vic/property-details-buy-residential-10834776/"
"Ashwood","23 Silver Ash Av","house",0,1561000.0,"2017-03-11","auction sale","R T Edgar",""
"Aspendale","1/ 7 Parkview Dr","townhouse",3,"","2017-03-11","auction sale","Bayside Beaches Real Estate",""
"Ballan","10 Lyon Pl","land",0,170000.0,"2017-03-07","private sale","Peter McErvale RE","https://www.realestateview.com.au/real-estate/10-lyon-place-ballan-vic/property-details-sold-residential-10723926/"
"Ballarat Central","419 Drummond St.S","house",4,332000.0,"2017-03-08","private sale","Buxton",""
"Ballarat Central","412 Errard St.S","house",4,"","2017-02-20","sold before auction","Harcourts Ballarat",""
"Ballarat East","231 York St","house",3,331500.0,"2017-02-13","private sale","Ray White Ballarat",""
"Ballarat North","920 Sherrard St","house",0,281000.0,"2017-02-18","private sale","Harcourts Ballarat","https://www.realestateview.com.au/real-estate/920-sherrard-street-ballarat-north-vic/property-details-buy-residential-10846120/"
"Ballarat North","1128 Ligar St","house",3,305000.0,"2017-02-17","private sale","Trevor Petrie RE","https://www.realestateview.com.au/real-estate/1128-ligar-street-ballarat-north-vic/property-details-sold-residential-10800715/"
"Balnarring","1/ 25 Balnarring Rd","house",3,790000.0,"2017-03-04","sold before auction","Harcourts Hastings",""
"Balwyn","11 Monash Av","house",5,3350000.0,"2017-03-11","passed in at auction","hockingstuart","https://www.realestateview.com.au/real-estate/11-monash-avenue-balwyn-vic/property-details-buy-residential-10843704/"
"Balwyn","7 Cherry Rd","land",0,6010000.0,"2017-03-08","auction sale","Fletchers","https://www.realestateview.com.au/real-estate/7-cherry-road-balwyn-vic/property-details-buy-residential-10833095/"
"Balwyn","2/ 204 Whitehorse Rd","apartment",2,539000.0,"2017-03-01","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/2-204-whitehorse-road-balwyn-vic/property-details-sold-residential-10830130/"
"Balwyn North","13 Lucifer St","house",4,1670000.0,"2017-03-09","sold before auction","Marshall White & Co","https://www.realestateview.com.au/real-estate/13-lucifer-street-balwyn-north-vic/property-details-sold-residential-10844457/"
"Balwyn North","2 Joy St","house",0,1600000.0,"2017-03-08","private sale","Fletchers",""
"Balwyn North","25 Fortuna Av","house",4,"","2017-03-09","private sale","Marshall White & Co","https://www.realestateview.com.au/real-estate/25-fortuna-avenue-balwyn-north-vic/property-details-buy-residential-10781958/"
"Balwyn North","5-7 Jaserfold St","house",4,"","2017-03-07","private sale","Fletchers","https://www.realestateview.com.au/real-estate/5-7-jaserfold-street-balwyn-north-vic/property-details-buy-residential-10605972/"
"Balwyn North","88 Longview Rd","house",3,"","2017-03-07","private sale","Jellis Craig","https://www.realestateview.com.au/real-estate/88-longview-road-balwyn-north-vic/property-details-sold-residential-10830240/"
"Bayswater","2A Cumberland Av","unit",2,475000.0,"2017-03-07","private sale","Ray White Blackburn","https://www.realestateview.com.au/real-estate/2a-cumberland-avenue-bayswater-vic/property-details-sold-residential-10832125/"
"Bayswater","25 Fairlawn Pl","house",3,730000.0,"2017-03-01","private sale","Harcourts",""
"Bayswater North","3 Fair La","house",3,714000.0,"2017-03-11","auction sale","Barry Plant","https://www.realestateview.com.au/real-estate/3-fair-lane-bayswater-north-vic/property-details-buy-residential-10852920/"
"Bayswater North","46 Home St","house",4,890000.0,"2017-03-02","private sale","Ray White Croydon","https://www.realestateview.com.au/real-estate/46-home-street-bayswater-north-vic/property-details-sold-residential-10852083/"
"Beaumaris","505 Balcombe Rd","house",4,1680000.0,"2017-03-09","sold before auction","Ray White Beaumaris","https://www.realestateview.com.au/real-estate/505-balcombe-road-beaumaris-vic/property-details-buy-residential-10843560/"
"Beaumaris","28 Hepburn Av","house",3,"","2017-03-06","private sale","Nick Johnstone Real Estate","https://www.realestateview.com.au/real-estate/28-hepburn-avenue-beaumaris-vic/property-details-sold-residential-10659964/"
"Beaumaris","1/ 85 Charman Rd","apartment",1,"","2017-03-04","private sale","Buxton","https://www.realestateview.com.au/real-estate/1-85-charman-road-beaumaris-vic/property-details-sold-residential-10799513/"
"Belgrave","24 Belgrave Gembrook Rd","house",2,475000.0,"2017-02-24","private sale","Bell RE Belgrave","https://www.realestateview.com.au/real-estate/24-belgrave-gembrook-road-belgrave-vic/property-details-buy-residential-10783524/"
"Belgrave","69 Bayview Rd","house",3,600000.0,"2017-02-16","private sale","Bell RE Belgrave","https://www.realestateview.com.au/real-estate/69-bayview-road-belgrave-vic/property-details-buy-residential-10832588/"
"Belgrave Heights","48 Bartley Rd","house",4,663000.0,"2017-02-28","private sale","Bell RE Belgrave","https://www.realestateview.com.au/real-estate/48-bartley-road-belgrave-heights-vic/property-details-buy-residential-10864254/"
"Bell Park","33 Deakin St","house",3,357000.0,"2017-03-11","auction sale","Harcourts North Geelong","https://www.realestateview.com.au/real-estate/33-deakin-street-bell-park-vic/property-details-buy-residential-10850168/"
"Bell Park","5 Furner Av","house",3,378500.0,"2017-03-11","auction sale","Harcourts North Geelong","https://www.realestateview.com.au/real-estate/5-furner-avenue-bell-park-vic/property-details-buy-residential-10845032/"
"Bell Park","61 Hedgeley Rd","house",4,"","2017-03-03","private sale","Buxton","https://www.realestateview.com.au/real-estate/61-hedgeley-road-bell-park-vic/property-details-sold-residential-10631992/"
"Belmont","24 Bailey St","house",3,347000.0,"2017-03-11","auction sale","Buxton","https://www.realestateview.com.au/real-estate/24-bailey-street-belmont-vic/property-details-buy-residential-10844442/"
"Belmont","16 Nott St","house",3,455000.0,"2017-03-11","auction sale","Hayeswinckle",""
"Bentleigh","16 Strathmore St","house",4,"","2017-03-11","auction sale","Ray White Carnegie","https://www.realestateview.com.au/real-estate/16-strathmore-street-bentleigh-vic/property-details-buy-residential-10847769/"
"Bentleigh","32 Railway Cr","house",2,"","2017-02-28","private sale","Buxton",""
"Bentleigh East","77B Stockdale Av","townhouse",4,1235000.0,"2017-03-03","sold before auction","hockingstuart","https://www.realestateview.com.au/real-estate/77b-stockdale-avenue-bentleigh-east-vic/property-details-sold-residential-10797034/"
"Bentleigh East","40 Goodrich St","house",0,1225000.0,"2017-03-02","private sale","Branon Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/40-goodrich-street-bentleigh-east-vic/property-details-sold-residential-10864418/"
"Bentleigh East","33A George St","townhouse",4,"","2017-03-11","auction sale","Iceberg & Co",""
"Bentleigh East","1/ 1 Lilac St","townhouse",2,"","2017-03-06","private sale","hockingstuart",""
"Bentleigh East","35A Barrani St","townhouse",4,"","2017-02-11","private sale","Buxton","https://www.realestateview.com.au/real-estate/35a-barrani-street-bentleigh-east-vic/property-details-sold-residential-10771997/"
"Black Hill","24 Gregory St","house",3,316500.0,"2017-03-08","private sale","Ballarat Real Estate Pty Ltd","https://www.realestateview.com.au/real-estate/24-gregory-street-black-hill-vic/property-details-sold-residential-10867043/"
"Blackburn","21 Larch St","house",3,1402000.0,"2017-03-11","auction sale","Ray White Blackburn","https://www.realestateview.com.au/real-estate/21-larch-street-blackburn-vic/property-details-buy-residential-10842865/"
"Blackburn","2/ 12A Lithgow Av","unit",3,850000.0,"2017-03-11","passed in vendor bid","Woodards","https://www.realestateview.com.au/real-estate/2-12a-lithgow-avenue-blackburn-vic/property-details-buy-residential-10824821/"
"Blackburn","48 Alandale Rd","house",4,1250000.0,"2017-03-04","private sale","Noel Jones","https://www.realestateview.com.au/real-estate/48-alandale-road-blackburn-vic/property-details-sold-residential-10840999/"
